Year,Month,StationName,Ascending_pass,Descending_pass,Rank
2026,3,נתניה,49858,48520,12 מתוך 67
2026,3,תל אביב ההגנה,2661,2661,52 מתוך 67
2026,3,חיפה מרכז,50625,49307,11 מתוך 67
2026,3,כפר יהושע,0,0,60 מתוך 67
2026,3,באר יעקב,9849,9730,37 מתוך 67
2026,3,יבנה מערב,23681,24217,21 מתוך 67
2026,3,ראש העין צפון,13687,12889,32 מתוך 67
2026,3,נתיבות,10297,10465,36 מתוך 67
2026,3,הוד השרון,5808,5727,46 מתוך 67
2026,3,לוד,66178,67711,6 מתוך 67
2026,3,ירושלים/יצחק נבון,76065,71230,5 מתוך 67
2026,3,מרכזית המפרץ,5370,5602,47 מתוך 67
2026,3,רעננה מערב,6073,6276,45 מתוך 67
2026,3,אחיהוד,0,0,60 מתוך 67
2026,3,עכו,20625,19002,25 מתוך 67
2026,3,קרית מוצקין,24667,21984,20 מתוך 67
2026,3,צומת חולון,0,0,60 מתוך 67
2026,3,חדרה מערב,35905,33448,16 מתוך 67
2026,3,קרית אריה,12505,8961,34 מתוך 67
2026,3,דימונה,67,37,59 מתוך 67
2026,3,בנימינה,61143,59291,7 מתוך 67
2026,3,קרית מלאכי,5138,5204,48 מתוך 67
2026,3,באר שבע מרכז,51254,51227,10 מתוך 67
2026,3,בית שאן,6194,5900,44 מתוך 67
2026,3,אשדוד עד הלום,55245,59347,9 מתוך 67
2026,3,כפר ברוך,1175,1177,56 מתוך 67
2026,3,קרית חיים,0,0,60 מתוך 67
2026,3,שדרות,12009,12342,35 מתוך 67
2026,3,בת ים קוממיות,0,0,60 מתוך 67
2026,3,יבנה מזרח,2422,2279,53 מתוך 67
2026,3,באר שבע צפון,19118,19116,26 מתוך 67
2026,3,נהריה,40745,37516,14 מתוך 67
2026,3,מודיעין מרכז,16641,15817,30 מתוך 67
2026,3,חוצות מפרץ,0,0,60 מתוך 67
2026,3,עפולה,9445,9004,39 מתוך 67
2026,3,רמלה,9536,9470,38 מתוך 67
2026,3,השלום,181444,195002,1 מתוך 67
2026,3,עתלית,590,537,58 מתוך 67
2026,3,"רשל""צ משה דיין",23150,25536,23 מתוך 67
2026,3,הרצליה,76749,79348,4 מתוך 67
2026,3,אופקים,17241,16463,29 מתוך 67
2026,3,פאתי מודיעין,4202,4575,51 מתוך 67
2026,3,מרכזית המפרץ/קו החוף,37045,37414,15 מתוך 67
2026,3,"נתב""ג",33697,38164,18 מתוך 67
2026,3,כפר חבד,0,0,60 מתוך 67
2026,3,רחובות,32785,34190,19 מתוך 67
2026,3,תל אביב מרכז,161170,150385,2 מתוך 67
2026,3,קיסריה פרדס חנה,17570,17480,28 מתוך 67
2026,3,אשקלון,56072,55899,8 מתוך 67
2026,3,כפר סבא,13324,13455,33 מתוך 67
2026,3,בת גלים,35797,36790,17 מתוך 67
2026,3,תא אוניברסיטה,103176,103526,3 מתוך 67
2026,3,בת ים יוספטל,14122,14826,31 מתוך 67
2026,3,בית יהושע,23520,22442,22 מתוך 67
2026,3,קרית גת,18522,19497,27 מתוך 67
2026,3,חולון וולפסון,6279,5803,43 מתוך 67
2026,3,לוד גני אביב,984,1252,57 מתוך 67
2026,3,ראשונים,1401,1532,55 מתוך 67
2026,3,בני ברק,4447,4199,50 מתוך 67
2026,3,מזכרת בתיה,6417,6616,41 מתוך 67
2026,3,להבים רהט,4467,4400,49 מתוך 67
2026,3,רעננה דרום,0,0,60 מתוך 67
2026,3,חוף הכרמל,45943,49977,13 מתוך 67
2026,3,סגולה,2038,2231,54 מתוך 67
2026,3,כרמיאל,22734,20858,24 מתוך 67
2026,3,בית שמש,6800,6556,40 מתוך 67
2026,3,נתניה קריית ספיר,6406,7603,42 מתוך 67
