FromStationName,ToStationName,Month,Year,SUM_Values_Pass
תל אביב מרכז,"נתב""ג",5,2026,14270
בת ים יוספטל,רמלה,5,2026,190
בת ים קוממיות,חוצות מפרץ,5,2026,49
קרית חיים,רעננה מערב,5,2026,9
חיפה מרכז,נהריה,5,2026,7478
רחובות,מודיעין מרכז,5,2026,246
רעננה דרום,נהריה,5,2026,194
מרכזית המפרץ/קו החוף,עכו,5,2026,10047
כרמיאל,לוד,5,2026,1006
רעננה מערב,אשדוד עד הלום,5,2026,510
"רשל""צ משה דיין",כפר סבא,5,2026,1350
נתניה קריית ספיר,ירושלים/יצחק נבון,5,2026,3452
כפר ברוך,חוצות מפרץ,5,2026,36
אשדוד עד הלום,תא אוניברסיטה,5,2026,9003
בת ים יוספטל,ירושלים/יצחק נבון,5,2026,2178
נתניה קריית ספיר,רמלה,5,2026,65
עכו,נהריה,5,2026,9126
מזכרת בתיה,אשדוד עד הלום,5,2026,22
קרית מלאכי,קרית מוצקין,5,2026,173
חוף הכרמל,הוד השרון,5,2026,502
בת ים קוממיות,כפר חבד,5,2026,24
לוד גני אביב,הוד השרון,5,2026,23
חיפה מרכז,קיסריה פרדס חנה,5,2026,650
כפר חבד,בת ים קוממיות,5,2026,26
קרית חיים,חולון וולפסון,5,2026,31
חולון וולפסון,באר שבע מרכז,5,2026,807
ראש העין צפון,השלום,5,2026,12932
חולון וולפסון,תא אוניברסיטה,5,2026,1676
באר שבע צפון,"נתב""ג",5,2026,1280
בית שמש,מזכרת בתיה,5,2026,67
עתלית,קרית מלאכי,5,2026,61
נתיבות,ראשונים,5,2026,11
צומת חולון,השלום,5,2026,965
כרמיאל,קרית מוצקין,5,2026,4711
כרמיאל,קרית חיים,5,2026,552
ירושלים/יצחק נבון,להבים רהט,5,2026,330
פאתי מודיעין,לוד גני אביב,5,2026,31
קרית חיים,תא אוניברסיטה,5,2026,679
שדרות,כפר חבד,5,2026,36
יבנה מזרח,נתניה קריית ספיר,5,2026,364
לוד,נתניה,5,2026,2679
פאתי מודיעין,רחובות,5,2026,87
סגולה,באר שבע מרכז,5,2026,665
יבנה מזרח,"נתב""ג",5,2026,102
אופקים,כפר יהושע,5,2026,20
בת ים קוממיות,חולון וולפסון,5,2026,88
סגולה,חולון וולפסון,5,2026,309
לוד,בת גלים,5,2026,461
ירושלים/יצחק נבון,מרכזית המפרץ/קו החוף,5,2026,4518
קרית מלאכי,קרית חיים,5,2026,25
סגולה,רעננה מערב,5,2026,152
"רשל""צ משה דיין",לוד,5,2026,560
יבנה מזרח,בת ים קוממיות,5,2026,7
בני ברק,מזכרת בתיה,5,2026,46
דימונה,מזכרת בתיה,5,2026,4
לוד,מרכזית המפרץ/קו החוף,5,2026,1104
תל אביב מרכז,נתניה קריית ספיר,5,2026,10424
אחיהוד,צומת חולון,5,2026,8
בית שאן,ירושלים/יצחק נבון,5,2026,152
באר שבע צפון,נתניה קריית ספיר,5,2026,416
תל אביב מרכז,חדרה מערב,5,2026,24219
עכו,הרצליה,5,2026,1215
נתיבות,מזכרת בתיה,5,2026,12
קרית חיים,בת ים יוספטל,5,2026,36
לוד,שדרות,5,2026,365
קרית גת,קרית חיים,5,2026,38
רמלה,כפר חבד,5,2026,34
אשקלון,לוד,5,2026,4839
רחובות,נתניה קריית ספיר,5,2026,1627
קרית חיים,רמלה,5,2026,48
קרית אריה,ראש העין צפון,5,2026,1847
אופקים,לוד גני אביב,5,2026,24
אשקלון,כפר סבא,5,2026,1126
תל אביב מרכז,מודיעין מרכז,5,2026,14842
לוד,צומת חולון,5,2026,60
בנימינה,נהריה,5,2026,2317
נתניה קריית ספיר,קרית מוצקין,5,2026,622
קרית חיים,ירושלים/יצחק נבון,5,2026,478
תא אוניברסיטה,יבנה מערב,5,2026,4258
קרית מוצקין,להבים רהט,5,2026,81
קרית מוצקין,"רשל""צ משה דיין",5,2026,807
כפר סבא,ראש העין צפון,5,2026,1023
אחיהוד,להבים רהט,5,2026,6
רעננה מערב,הרצליה,5,2026,591
יבנה מערב,לוד גני אביב,5,2026,102
אשקלון,יבנה מזרח,5,2026,1333
כפר סבא,באר שבע צפון,5,2026,692
אשקלון,ראש העין צפון,5,2026,1280
בית שמש,השלום,5,2026,11023
יבנה מערב,כפר יהושע,5,2026,33
סגולה,יבנה מזרח,5,2026,3
קרית מוצקין,הוד השרון,5,2026,172
להבים רהט,באר שבע צפון,5,2026,1240
באר שבע צפון,כרמיאל,5,2026,918
כפר ברוך,כפר חבד,5,2026,86
כפר סבא,קרית אריה,5,2026,3034
קרית גת,תא אוניברסיטה,5,2026,2728
בית שאן,רמלה,5,2026,37
קרית מלאכי,תא אוניברסיטה,5,2026,1164
תל אביב מרכז,נתיבות,5,2026,2658
השלום,קרית גת,5,2026,10057
עתלית,ראש העין צפון,5,2026,67
דימונה,הרצליה,5,2026,44
שדרות,כפר סבא,5,2026,304
ראשונים,"רשל""צ משה דיין",5,2026,12
נתניה קריית ספיר,אופקים,5,2026,120
נתניה,הוד השרון,5,2026,231
יבנה מערב,באר שבע מרכז,5,2026,1584
כרמיאל,קרית מלאכי,5,2026,105
אשקלון,בית שמש,5,2026,261
יבנה מזרח,בית יהושע,5,2026,167
אופקים,עכו,5,2026,66
בית יהושע,רמלה,5,2026,224
בנימינה,לוד,5,2026,1178
חולון וולפסון,עתלית,5,2026,77
יבנה מזרח,אופקים,5,2026,16
קרית גת,כפר חבד,5,2026,417
באר שבע מרכז,בני ברק,5,2026,306
באר שבע מרכז,לוד,5,2026,5782
יבנה מזרח,חדרה מערב,5,2026,271
באר שבע צפון,אחיהוד,5,2026,142
בית יהושע,ירושלים/יצחק נבון,5,2026,3271
להבים רהט,קרית חיים,5,2026,16
לוד גני אביב,השלום,5,2026,6754
בית שאן,אחיהוד,5,2026,21
קרית אריה,קרית חיים,5,2026,71
בני ברק,ראשונים,5,2026,9
מזכרת בתיה,שדרות,5,2026,10
באר שבע צפון,בת ים קוממיות,5,2026,382
רעננה מערב,כרמיאל,5,2026,170
תל אביב ההגנה,קיסריה פרדס חנה,5,2026,3166
נתניה קריית ספיר,תא אוניברסיטה,5,2026,2299
לוד,קרית אריה,5,2026,263
אשדוד עד הלום,חוצות מפרץ,5,2026,155
בת ים יוספטל,רעננה מערב,5,2026,368
לוד,הוד השרון,5,2026,186
סגולה,חוף הכרמל,5,2026,382
רמלה,באר יעקב,5,2026,16
נהריה,חולון וולפסון,5,2026,204
סגולה,באר שבע צפון,5,2026,350
מזכרת בתיה,עכו,5,2026,115
"נתב""ג",תא אוניברסיטה,5,2026,4320
בית שמש,הרצליה,5,2026,1551
באר יעקב,כפר יהושע,5,2026,16
בת ים יוספטל,עפולה,5,2026,53
להבים רהט,רחובות,5,2026,253
בת ים יוספטל,עכו,5,2026,184
דימונה,בנימינה,5,2026,10
קרית חיים,כפר סבא,5,2026,34
תל אביב מרכז,אופקים,5,2026,2626
נהריה,נתניה,5,2026,1521
אשקלון,קרית מוצקין,5,2026,486
להבים רהט,בית שמש,5,2026,31
חוף הכרמל,אשקלון,5,2026,1001
ראשונים,תא אוניברסיטה,5,2026,339
תא אוניברסיטה,יבנה מזרח,5,2026,1411
נתניה,אשקלון,5,2026,2597
הרצליה,רעננה דרום,5,2026,462
באר שבע מרכז,באר יעקב,5,2026,344
השלום,מרכזית המפרץ/קו החוף,5,2026,9780
בית שאן,בת ים יוספטל,5,2026,62
בת גלים,תא אוניברסיטה,5,2026,4003
בית יהושע,קרית אריה,5,2026,171
חולון וולפסון,בת גלים,5,2026,213
מזכרת בתיה,השלום,5,2026,9712
נהריה,מרכזית המפרץ/קו החוף,5,2026,23477
יבנה מזרח,כרמיאל,5,2026,67
חדרה מערב,באר יעקב,5,2026,476
בת ים יוספטל,כפר ברוך,5,2026,16
חדרה מערב,לוד,5,2026,1937
רעננה דרום,להבים רהט,5,2026,49
קיסריה פרדס חנה,רחובות,5,2026,1525
נהריה,באר יעקב,5,2026,152
סגולה,חוצות מפרץ,5,2026,24
תא אוניברסיטה,באר שבע מרכז,5,2026,3692
עפולה,השלום,5,2026,3152
ראש העין צפון,קיסריה פרדס חנה,5,2026,306
רמלה,יבנה מערב,5,2026,63
שדרות,תל אביב ההגנה,5,2026,2782
נהריה,לוד,5,2026,804
נתניה קריית ספיר,בית שאן,5,2026,53
"נתב""ג",כפר סבא,5,2026,580
כפר יהושע,בני ברק,5,2026,20
אשקלון,כפר יהושע,5,2026,51
רעננה דרום,הוד השרון,5,2026,62
בני ברק,קרית גת,5,2026,78
"נתב""ג",בית שמש,5,2026,203
חיפה מרכז,בנימינה,5,2026,3069
יבנה מזרח,נתיבות,5,2026,61
"נתב""ג",רמלה,5,2026,210
בית שמש,בת ים קוממיות,5,2026,46
אשדוד עד הלום,באר שבע צפון,5,2026,4017
בת גלים,כפר סבא,5,2026,295
הוד השרון,קיסריה פרדס חנה,5,2026,191
קרית גת,יבנה מזרח,5,2026,5
בת ים קוממיות,רעננה דרום,5,2026,179
מודיעין מרכז,תל אביב מרכז,5,2026,13961
אופקים,רעננה מערב,5,2026,138
ראשונים,קרית אריה,5,2026,9
נתניה קריית ספיר,בית יהושע,5,2026,154
סגולה,קרית מוצקין,5,2026,129
הרצליה,רעננה מערב,5,2026,640
השלום,דימונה,5,2026,200
קיסריה פרדס חנה,"רשל""צ משה דיין",5,2026,492
הרצליה,קרית חיים,5,2026,238
לוד,עתלית,5,2026,104
חולון וולפסון,חוף הכרמל,5,2026,385
קרית מלאכי,באר יעקב,5,2026,37
יבנה מזרח,ירושלים/יצחק נבון,5,2026,216
באר יעקב,חוצות מפרץ,5,2026,67
אחיהוד,אשקלון,5,2026,25
ראש העין צפון,עכו,5,2026,245
סגולה,עפולה,5,2026,40
אשקלון,פאתי מודיעין,5,2026,98
כפר חבד,מרכזית המפרץ/קו החוף,5,2026,244
רעננה דרום,בית שמש,5,2026,85
בת ים יוספטל,לוד גני אביב,5,2026,188
מודיעין מרכז,דימונה,5,2026,2
צומת חולון,אשקלון,5,2026,461
הוד השרון,השלום,5,2026,12192
מודיעין מרכז,השלום,5,2026,28225
פאתי מודיעין,חיפה מרכז,5,2026,162
חוצות מפרץ,רמלה,5,2026,59
קרית מלאכי,עכו,5,2026,160
בנימינה,פאתי מודיעין,5,2026,733
"נתב""ג",קרית חיים,5,2026,662
בני ברק,בת ים קוממיות,5,2026,365
להבים רהט,תל אביב ההגנה,5,2026,1714
פאתי מודיעין,לוד,5,2026,82
עפולה,נתיבות,5,2026,50
מרכזית המפרץ/קו החוף,לוד,5,2026,1101
באר יעקב,חוף הכרמל,5,2026,440
אופקים,בת ים יוספטל,5,2026,798
לוד גני אביב,קיסריה פרדס חנה,5,2026,48
עכו,"רשל""צ משה דיין",5,2026,350
יבנה מערב,תא אוניברסיטה,5,2026,4185
עפולה,אשדוד עד הלום,5,2026,206
רעננה מערב,בנימינה,5,2026,389
הוד השרון,אחיהוד,5,2026,22
בית שאן,כפר יהושע,5,2026,1860
יבנה מערב,בת ים יוספטל,5,2026,4698
