FromStationName,ToStationName,Month,Year,SUM_Values_Pass
תל אביב מרכז,קרית אריה,3,2026,807
כפר סבא,יבנה מערב,3,2026,422
אופקים,חדרה מערב,3,2026,232
רמלה,השלום,3,2026,1895
"רשל""צ משה דיין",דימונה,3,2026,1
בנימינה,כפר ברוך,3,2026,16
הרצליה,הוד השרון,3,2026,275
בני ברק,באר יעקב,3,2026,12
הרצליה,נתניה קריית ספיר,3,2026,389
יבנה מערב,בני ברק,3,2026,206
להבים רהט,כרמיאל,3,2026,14
תל אביב מרכז,מרכזית המפרץ/קו החוף,3,2026,3126
מזכרת בתיה,קרית אריה,3,2026,13
לוד,לוד גני אביב,3,2026,56
בנימינה,חולון וולפסון,3,2026,194
להבים רהט,בת ים יוספטל,3,2026,5
לוד,באר שבע צפון,3,2026,1554
לוד גני אביב,פאתי מודיעין,3,2026,8
השלום,נתניה,3,2026,8232
חולון וולפסון,נתניה קריית ספיר,3,2026,56
ראש העין צפון,יבנה מזרח,3,2026,2
פאתי מודיעין,בנימינה,3,2026,168
קרית מוצקין,קרית מלאכי,3,2026,110
להבים רהט,רמלה,3,2026,239
יבנה מזרח,קרית אריה,3,2026,2
בית יהושע,בנימינה,3,2026,540
בנימינה,כרמיאל,3,2026,299
מזכרת בתיה,פאתי מודיעין,3,2026,1
ראשונים,תל אביב מרכז,3,2026,72
רמלה,בני ברק,3,2026,50
עפולה,תא אוניברסיטה,3,2026,140
נהריה,אופקים,3,2026,157
סגולה,תל אביב מרכז,3,2026,216
הרצליה,מודיעין מרכז,3,2026,433
קרית מוצקין,סגולה,3,2026,17
ראשונים,קרית מוצקין,3,2026,20
מרכזית המפרץ/קו החוף,שדרות,3,2026,138
מזכרת בתיה,בית שמש,3,2026,12
אשדוד עד הלום,בנימינה,3,2026,490
נתיבות,קרית גת,3,2026,3
להבים רהט,"נתב""ג",3,2026,19
הרצליה,חדרה מערב,3,2026,2128
קרית אריה,עכו,3,2026,53
קרית אריה,סגולה,3,2026,19
קרית גת,ראשונים,3,2026,31
יבנה מערב,בית יהושע,3,2026,229
ראשונים,רמלה,3,2026,16
להבים רהט,רעננה מערב,3,2026,10
עפולה,"רשל""צ משה דיין",3,2026,30
"נתב""ג",נתיבות,3,2026,21
חולון וולפסון,מודיעין מרכז,3,2026,70
בית יהושע,חדרה מערב,3,2026,440
באר יעקב,ראשונים,3,2026,1
שדרות,מזכרת בתיה,3,2026,2
דימונה,קרית גת,3,2026,6
נהריה,עכו,3,2026,2165
רעננה מערב,חוף הכרמל,3,2026,72
קיסריה פרדס חנה,לוד גני אביב,3,2026,12
תא אוניברסיטה,ראשונים,3,2026,7
באר שבע מרכז,בת ים יוספטל,3,2026,854
בנימינה,רעננה מערב,3,2026,134
רחובות,באר שבע צפון,3,2026,303
בת גלים,ירושלים/יצחק נבון,3,2026,705
לוד גני אביב,קרית אריה,3,2026,2
קרית מלאכי,ראשונים,3,2026,12
"רשל""צ משה דיין",ראשונים,3,2026,1
בת גלים,רמלה,3,2026,67
