from_station_name,to_station_name,month,year,sum_values_pass
קרית גת,בת ים יוספטל,11,2025,228
להבים רהט,באר שבע צפון,11,2025,1218
עתלית,ירושלים/יצחק נבון,11,2025,856
חוף הכרמל,באר שבע צפון,11,2025,1611
יבנה מערב,עפולה,11,2025,92
כפר חבד,מודיעין מרכז,11,2025,114
חוצות מפרץ,מודיעין מרכז,11,2025,296
סגולה,רעננה מערב,11,2025,202
רחובות,תל אביב ההגנה,11,2025,6903
ראשונים,לוד,11,2025,1670
עפולה,"רשל""צ משה דיין",11,2025,158
בני ברק,בת גלים,11,2025,164
להבים רהט,יבנה מערב,11,2025,19
כרמיאל,דימונה,11,2025,8
אופקים,מודיעין מרכז,11,2025,259
ראשונים,חיפה מרכז,11,2025,96
בת ים קוממיות,כפר חבד,11,2025,33
עכו,באר שבע מרכז,11,2025,895
קרית גת,חולון וולפסון,11,2025,143
מזכרת בתיה,אשדוד עד הלום,11,2025,10
הרצליה,בת ים קוממיות,11,2025,575
רעננה דרום,תא אוניברסיטה,11,2025,639
עכו,נהריה,11,2025,10163
נתיבות,השלום,11,2025,3358
בית שמש,מזכרת בתיה,11,2025,46
קיסריה פרדס חנה,בית שמש,11,2025,113
קרית חיים,נתיבות,11,2025,10
חולון וולפסון,תא אוניברסיטה,11,2025,1951
לוד,ראש העין צפון,11,2025,144
בת ים יוספטל,רמלה,11,2025,207
רחובות,עתלית,11,2025,184
אחיהוד,כפר סבא,11,2025,28
כפר יהושע,בת גלים,11,2025,3251
ראשונים,יבנה מערב,11,2025,2
סגולה,רעננה דרום,11,2025,43
רעננה דרום,באר שבע מרכז,11,2025,272
עכו,באר יעקב,11,2025,77
הוד השרון,אשקלון,11,2025,576
קרית חיים,חולון וולפסון,11,2025,45
קרית מלאכי,רעננה מערב,11,2025,34
ראשונים,באר שבע צפון,11,2025,477
אחיהוד,מרכזית המפרץ/קו החוף,11,2025,1989
בית יהושע,כפר יהושע,11,2025,47
עכו,תל אביב ההגנה,11,2025,1935
"רשל""צ משה דיין",יבנה מערב,11,2025,3228
בת גלים,חוצות מפרץ,11,2025,1365
אשדוד עד הלום,עכו,11,2025,243
"רשל""צ משה דיין",כפר סבא,11,2025,1379
בית שמש,נתיבות,11,2025,73
אופקים,קרית מלאכי,11,2025,44
ראשונים,קרית מוצקין,11,2025,93
באר יעקב,בת ים יוספטל,11,2025,62
הרצליה,סגולה,11,2025,458
קרית מוצקין,כפר סבא,11,2025,314
תא אוניברסיטה,נתיבות,11,2025,960
אשקלון,חוצות מפרץ,11,2025,145
כפר חבד,הרצליה,11,2025,1042
אופקים,נתניה קריית ספיר,11,2025,177
פאתי מודיעין,לוד גני אביב,11,2025,24
ירושלים/יצחק נבון,צומת חולון,11,2025,460
רעננה מערב,אשקלון,11,2025,619
השלום,תל אביב מרכז,11,2025,3891
חולון וולפסון,בית שאן,11,2025,25
מרכזית המפרץ/קו החוף,סגולה,11,2025,253
כפר סבא,ירושלים/יצחק נבון,11,2025,2626
ראשונים,בת ים יוספטל,11,2025,7
אשדוד עד הלום,כפר חבד,11,2025,422
ירושלים/יצחק נבון,מרכזית המפרץ/קו החוף,11,2025,4681
חוצות מפרץ,"נתב""ג",11,2025,1268
ירושלים/יצחק נבון,פאתי מודיעין,11,2025,11917
מרכזית המפרץ/קו החוף,בית שאן,11,2025,4875
באר יעקב,קרית חיים,11,2025,13
קרית גת,תא אוניברסיטה,11,2025,2932
להבים רהט,כפר חבד,11,2025,56
נתיבות,צומת חולון,11,2025,210
ראשונים,מרכזית המפרץ/קו החוף,11,2025,90
עפולה,רחובות,11,2025,166
אשקלון,נהריה,11,2025,757
עתלית,בת גלים,11,2025,1758
צומת חולון,חיפה מרכז,11,2025,57
כפר ברוך,באר שבע מרכז,11,2025,189
לוד גני אביב,ראשונים,11,2025,107
ראשונים,נתניה,11,2025,242
קרית מוצקין,רמלה,11,2025,295
נתניה קריית ספיר,באר שבע מרכז,11,2025,849
קיסריה פרדס חנה,חדרה מערב,11,2025,798
ראשונים,נתיבות,11,2025,12
חוף הכרמל,בית שאן,11,2025,2057
חוף הכרמל,כפר סבא,11,2025,697
להבים רהט,ראשונים,11,2025,67
לוד גני אביב,בת ים יוספטל,11,2025,164
מודיעין מרכז,באר יעקב,11,2025,68
לוד גני אביב,נתיבות,11,2025,28
באר יעקב,"רשל""צ משה דיין",11,2025,21
עפולה,קרית מלאכי,11,2025,62
באר שבע צפון,פאתי מודיעין,11,2025,69
נתיבות,באר שבע צפון,11,2025,3375
קרית חיים,באר שבע צפון,11,2025,50
בת ים יוספטל,תא אוניברסיטה,11,2025,4364
בית שמש,בת ים יוספטל,11,2025,180
בת גלים,בת ים קוממיות,11,2025,141
עתלית,להבים רהט,11,2025,30
אופקים,בית שמש,11,2025,117
נתניה,"נתב""ג",11,2025,8478
הוד השרון,ירושלים/יצחק נבון,11,2025,1762
מזכרת בתיה,חולון וולפסון,11,2025,52
בת ים קוממיות,יבנה מזרח,11,2025,1
בני ברק,כפר סבא,11,2025,2256
חוף הכרמל,רמלה,11,2025,577
חיפה מרכז,סגולה,11,2025,224
סגולה,קרית אריה,11,2025,296
יבנה מערב,שדרות,11,2025,1038
בת ים קוממיות,עתלית,11,2025,19
תל אביב ההגנה,נתניה קריית ספיר,11,2025,2738
חדרה מערב,הרצליה,11,2025,7512
בת ים קוממיות,תל אביב ההגנה,11,2025,741
מזכרת בתיה,נתיבות,11,2025,22
צומת חולון,כפר סבא,11,2025,507
מרכזית המפרץ/קו החוף,קיסריה פרדס חנה,11,2025,780
באר שבע צפון,בת גלים,11,2025,510
ירושלים/יצחק נבון,אחיהוד,11,2025,231
רמלה,ראש העין צפון,11,2025,133
רחובות,באר יעקב,11,2025,1635
רעננה מערב,תל אביב מרכז,11,2025,4483
רמלה,חוף הכרמל,11,2025,603
להבים רהט,נתיבות,11,2025,6
עכו,כפר חבד,11,2025,58
שדרות,הרצליה,11,2025,622
אשקלון,נתיבות,11,2025,2042
ראשונים,אחיהוד,11,2025,6
כפר יהושע,בנימינה,11,2025,188
לוד,ירושלים/יצחק נבון,11,2025,2129
כפר יהושע,עפולה,11,2025,1425
חוף הכרמל,ירושלים/יצחק נבון,11,2025,7685
להבים רהט,מזכרת בתיה,11,2025,286
תל אביב מרכז,כפר יהושע,11,2025,1344
עכו,תל אביב מרכז,11,2025,5397
רעננה דרום,בית שאן,11,2025,21
בית שאן,נהריה,11,2025,455
"נתב""ג",בני ברק,11,2025,188
בית שאן,רעננה מערב,11,2025,29
הוד השרון,כפר חבד,11,2025,66
בני ברק,לוד,11,2025,273
הוד השרון,תל אביב מרכז,11,2025,6838
בת גלים,נתיבות,11,2025,44
קרית מלאכי,קרית אריה,11,2025,57
השלום,יבנה מזרח,11,2025,4453
מזכרת בתיה,אופקים,11,2025,62
כרמיאל,הוד השרון,11,2025,227
לוד גני אביב,תא אוניברסיטה,11,2025,1743
מודיעין מרכז,בית שמש,11,2025,59
בית יהושע,באר שבע צפון,11,2025,816
מרכזית המפרץ/קו החוף,חולון וולפסון,11,2025,206
יבנה מזרח,חוף הכרמל,11,2025,132
עכו,נתיבות,11,2025,64
קרית גת,באר שבע צפון,11,2025,4193
להבים רהט,אשדוד עד הלום,11,2025,37
נהריה,בנימינה,11,2025,2311
עכו,אופקים,11,2025,124
צומת חולון,באר שבע מרכז,11,2025,156
מזכרת בתיה,תא אוניברסיטה,11,2025,2738
חיפה מרכז,בית שאן,11,2025,1464
ראשונים,קרית גת,11,2025,253
תל אביב ההגנה,"נתב""ג",11,2025,12254
קרית חיים,נהריה,11,2025,1655
נתניה קריית ספיר,נתניה,11,2025,676
תל אביב מרכז,לוד גני אביב,11,2025,3951
חוף הכרמל,דימונה,11,2025,15
קרית אריה,תל אביב מרכז,11,2025,1265
רעננה דרום,אשדוד עד הלום,11,2025,397
"נתב""ג",בת ים קוממיות,11,2025,565
סגולה,נהריה,11,2025,271
עפולה,בית יהושע,11,2025,51
להבים רהט,אחיהוד,11,2025,2
חוצות מפרץ,רחובות,11,2025,132
באר יעקב,צומת חולון,11,2025,27
תא אוניברסיטה,שדרות,11,2025,1628
בנימינה,אופקים,11,2025,595
רעננה מערב,חולון וולפסון,11,2025,99
באר שבע צפון,בית שמש,11,2025,138
בת ים יוספטל,לוד,11,2025,447
פאתי מודיעין,כפר יהושע,11,2025,34
ראשונים,רעננה מערב,11,2025,24
יבנה מזרח,סגולה,11,2025,4
יבנה מזרח,בת ים קוממיות,11,2025,4
חיפה מרכז,עתלית,11,2025,801
בת גלים,כפר חבד,11,2025,110
ראשונים,ירושלים/יצחק נבון,11,2025,87
נהריה,בית שמש,11,2025,308
דימונה,קרית גת,11,2025,18
שדרות,רעננה מערב,11,2025,147
קרית חיים,קרית אריה,11,2025,52
חוף הכרמל,חיפה מרכז,11,2025,815
דימונה,לוד,11,2025,63
שדרות,כפר חבד,11,2025,60
עכו,סגולה,11,2025,150
חוצות מפרץ,חוף הכרמל,11,2025,518
"רשל""צ משה דיין",אחיהוד,11,2025,39
סגולה,באר שבע מרכז,11,2025,548
אשקלון,ירושלים/יצחק נבון,11,2025,1674
נהריה,בית יהושע,11,2025,475
חיפה מרכז,רחובות,11,2025,530
תא אוניברסיטה,כפר חבד,11,2025,2421
בת ים קוממיות,חולון וולפסון,11,2025,144
בת גלים,קרית אריה,11,2025,344
כפר יהושע,רחובות,11,2025,75
קרית אריה,בית שאן,11,2025,79
בת ים יוספטל,רעננה דרום,11,2025,330
ראש העין צפון,לוד,11,2025,147
עכו,קרית אריה,11,2025,215
באר שבע מרכז,חולון וולפסון,11,2025,489
נתניה קריית ספיר,תא אוניברסיטה,11,2025,2870
לוד גני אביב,הוד השרון,11,2025,40
השלום,חולון וולפסון,11,2025,2067
רעננה מערב,אשדוד עד הלום,11,2025,407
סגולה,בית שאן,11,2025,46
קרית מלאכי,אופקים,11,2025,42
רעננה דרום,נהריה,11,2025,163
באר יעקב,לוד,11,2025,1076
קרית מוצקין,נתיבות,11,2025,87
מרכזית המפרץ/קו החוף,עכו,11,2025,11630
הוד השרון,באר יעקב,11,2025,57
רחובות,מודיעין מרכז,11,2025,246
פאתי מודיעין,בית שמש,11,2025,13
רעננה דרום,רעננה מערב,11,2025,76
עכו,חוף הכרמל,11,2025,4384
קרית אריה,חוף הכרמל,11,2025,1357
הוד השרון,נתיבות,11,2025,99
כפר יהושע,מודיעין מרכז,11,2025,94
קרית חיים,רעננה מערב,11,2025,16
דימונה,כפר סבא,11,2025,4
בת ים קוממיות,בני ברק,11,2025,660
רעננה מערב,אופקים,11,2025,162
חוף הכרמל,לוד,11,2025,1374
יבנה מזרח,בית שמש,11,2025,54
כרמיאל,תא אוניברסיטה,11,2025,3783
מזכרת בתיה,רעננה דרום,11,2025,76
רעננה מערב,בני ברק,11,2025,653
מזכרת בתיה,רעננה מערב,11,2025,56
נתניה קריית ספיר,ירושלים/יצחק נבון,11,2025,3508
עכו,חוצות מפרץ,11,2025,2611
תל אביב מרכז,רחובות,11,2025,22350
דימונה,באר שבע צפון,11,2025,162
באר יעקב,רמלה,11,2025,12
אופקים,עפולה,11,2025,97
בנימינה,חולון וולפסון,11,2025,736
מודיעין מרכז,לוד גני אביב,11,2025,43
יבנה מערב,כרמיאל,11,2025,204
יבנה מערב,פאתי מודיעין,11,2025,55
רמלה,באר שבע מרכז,11,2025,2698
יבנה מערב,חדרה מערב,11,2025,453
חדרה מערב,חוצות מפרץ,11,2025,462
אחיהוד,באר שבע צפון,11,2025,140
קרית מלאכי,חולון וולפסון,11,2025,37
חוף הכרמל,רעננה דרום,11,2025,576
עפולה,בת גלים,11,2025,4826
כפר יהושע,פאתי מודיעין,11,2025,46
אחיהוד,צומת חולון,11,2025,5
בני ברק,מזכרת בתיה,11,2025,58
להבים רהט,ראש העין צפון,11,2025,121
ראשונים,קרית אריה,11,2025,7
השלום,קיסריה פרדס חנה,11,2025,15004
כפר סבא,השלום,11,2025,14213
בת גלים,יבנה מזרח,11,2025,32
סגולה,יבנה מזרח,11,2025,9
נתניה,חוף הכרמל,11,2025,2524
אופקים,כפר יהושע,11,2025,25
שדרות,עתלית,11,2025,40
צומת חולון,קרית מוצקין,11,2025,78
קרית חיים,באר שבע מרכז,11,2025,144
הרצליה,אשקלון,11,2025,3215
קרית גת,ראשונים,11,2025,210
ראש העין צפון,יבנה מערב,11,2025,910
באר שבע מרכז,בני ברק,11,2025,170
ראש העין צפון,חיפה מרכז,11,2025,329
נתיבות,הוד השרון,11,2025,95
הרצליה,קיסריה פרדס חנה,11,2025,5755
בת ים יוספטל,נהריה,11,2025,327
חוף הכרמל,רעננה מערב,11,2025,429
קרית חיים,בת ים קוממיות,11,2025,19
רעננה דרום,צומת חולון,11,2025,115
"רשל""צ משה דיין",ראש העין צפון,11,2025,1198
בית שמש,אחיהוד,11,2025,20
כרמיאל,מזכרת בתיה,11,2025,72
ראש העין צפון,באר שבע צפון,11,2025,484
נתניה,חולון וולפסון,11,2025,362
ראשונים,בית שאן,11,2025,26
אופקים,ראשונים,11,2025,5
באר שבע מרכז,דימונה,11,2025,15
הרצליה,בת ים יוספטל,11,2025,1353
רעננה מערב,כפר סבא,11,2025,357
אשקלון,קרית אריה,11,2025,2116
עפולה,השלום,11,2025,3194
רעננה מערב,כרמיאל,11,2025,171
לוד גני אביב,באר יעקב,11,2025,184
בני ברק,תל אביב מרכז,11,2025,814
ראש העין צפון,חדרה מערב,11,2025,433
לוד גני אביב,השלום,11,2025,6441
נתניה,פאתי מודיעין,11,2025,282
בת ים יוספטל,רעננה מערב,11,2025,346
תל אביב ההגנה,הרצליה,11,2025,9855
ירושלים/יצחק נבון,אשדוד עד הלום,11,2025,2021
אשקלון,אחיהוד,11,2025,34
קרית מלאכי,תל אביב מרכז,11,2025,2744
קרית מוצקין,קרית מלאכי,11,2025,214
מזכרת בתיה,קרית חיים,11,2025,35
לוד,חולון וולפסון,11,2025,304
ירושלים/יצחק נבון,רחובות,11,2025,1265
בנימינה,דימונה,11,2025,10
אשדוד עד הלום,באר שבע צפון,11,2025,2647
מרכזית המפרץ/קו החוף,אחיהוד,11,2025,2029
בית יהושע,פאתי מודיעין,11,2025,112
ראש העין צפון,נתניה קריית ספיר,11,2025,196
תל אביב ההגנה,בת ים קוממיות,11,2025,596
יבנה מזרח,קרית אריה,11,2025,8
לוד גני אביב,ראש העין צפון,11,2025,14
חולון וולפסון,אופקים,11,2025,250
שדרות,חוף הכרמל,11,2025,355
כפר יהושע,בני ברק,11,2025,24
קרית אריה,ראשונים,11,2025,8
באר שבע מרכז,חיפה מרכז,11,2025,1045
בת ים יוספטל,כפר ברוך,11,2025,10
קרית מוצקין,כפר יהושע,11,2025,57
צומת חולון,בנימינה,11,2025,150
קרית מוצקין,בת ים קוממיות,11,2025,135
עפולה,אשקלון,11,2025,253
עכו,לוד,11,2025,419
השלום,לוד,11,2025,17678
הוד השרון,תא אוניברסיטה,11,2025,3382
בנימינה,קרית מלאכי,11,2025,305
ראש העין צפון,אופקים,11,2025,620
קרית מלאכי,כפר סבא,11,2025,75
רעננה מערב,מודיעין מרכז,11,2025,148
נהריה,בת גלים,11,2025,9619
רעננה מערב,נתניה קריית ספיר,11,2025,128
כפר ברוך,בית שמש,11,2025,25
עפולה,ראש העין צפון,11,2025,63
מודיעין מרכז,חוף הכרמל,11,2025,1964
תל אביב מרכז,עפולה,11,2025,2547
בית יהושע,לוד גני אביב,11,2025,80
הוד השרון,בת ים יוספטל,11,2025,498
כפר יהושע,אשקלון,11,2025,78
מודיעין מרכז,להבים רהט,11,2025,98
בת ים קוממיות,נתניה קריית ספיר,11,2025,173
כפר יהושע,לוד,11,2025,77
כרמיאל,באר שבע מרכז,11,2025,2982
מזכרת בתיה,לוד,11,2025,864
חדרה מערב,נתניה,11,2025,3162
בית יהושע,חדרה מערב,11,2025,603
תא אוניברסיטה,בת ים קוממיות,11,2025,2627
כפר סבא,קיסריה פרדס חנה,11,2025,357
קרית מלאכי,חוף הכרמל,11,2025,432
לוד,כפר ברוך,11,2025,52
חוצות מפרץ,יבנה מזרח,11,2025,11
לוד,כרמיאל,11,2025,786
באר שבע מרכז,אשקלון,11,2025,3874
שדרות,תא אוניברסיטה,11,2025,1760
בת ים יוספטל,"רשל""צ משה דיין",11,2025,1255
"נתב""ג",בית שמש,11,2025,333
נהריה,שדרות,11,2025,206
תל אביב מרכז,עכו,11,2025,5898
קרית גת,יבנה מזרח,11,2025,11
חיפה מרכז,בנימינה,11,2025,3616
נהריה,מרכזית המפרץ/קו החוף,11,2025,25573
יבנה מזרח,נתיבות,11,2025,61
בנימינה,קרית גת,11,2025,521
קיסריה פרדס חנה,קרית אריה,11,2025,491
פאתי מודיעין,הרצליה,11,2025,795
לוד,רחובות,11,2025,4962
תא אוניברסיטה,באר שבע מרכז,11,2025,3906
קיסריה פרדס חנה,כרמיאל,11,2025,202
יבנה מזרח,מרכזית המפרץ/קו החוף,11,2025,91
פאתי מודיעין,אחיהוד,11,2025,8
בנימינה,חיפה מרכז,11,2025,2965
נתיבות,בנימינה,11,2025,147
רמלה,קרית חיים,11,2025,41
נהריה,באר יעקב,11,2025,165
בת ים קוממיות,חדרה מערב,11,2025,222
רעננה דרום,להבים רהט,11,2025,43
עכו,רמלה,11,2025,361
חוף הכרמל,הוד השרון,11,2025,558
מזכרת בתיה,בת ים קוממיות,11,2025,38
ראש העין צפון,נתניה,11,2025,496
אחיהוד,ראש העין צפון,11,2025,24
סגולה,חולון וולפסון,11,2025,231
כפר סבא,חוצות מפרץ,11,2025,30
מרכזית המפרץ/קו החוף,עתלית,11,2025,1321
אשקלון,חיפה מרכז,11,2025,511
כרמיאל,אשדוד עד הלום,11,2025,440
נהריה,מודיעין מרכז,11,2025,1016
חיפה מרכז,בת ים קוממיות,11,2025,225
אשדוד עד הלום,בית שאן,11,2025,111
אחיהוד,נתיבות,11,2025,2
לוד,מזכרת בתיה,11,2025,785
כפר חבד,בית שאן,11,2025,32
כרמיאל,קרית מוצקין,11,2025,5023
צומת חולון,השלום,11,2025,1893
ראש העין צפון,אחיהוד,11,2025,23
יבנה מערב,להבים רהט,11,2025,46
כפר סבא,אשדוד עד הלום,11,2025,778
צומת חולון,ראש העין צפון,11,2025,405
כפר חבד,סגולה,11,2025,37
מזכרת בתיה,עכו,11,2025,107
דימונה,תא אוניברסיטה,11,2025,82
"נתב""ג",תל אביב מרכז,11,2025,15053
להבים רהט,רעננה מערב,11,2025,44
נתיבות,רעננה מערב,11,2025,75
קרית גת,הוד השרון,11,2025,140
צומת חולון,אחיהוד,11,2025,7
רעננה מערב,בית שאן,11,2025,39
בנימינה,תא אוניברסיטה,11,2025,17929
בית שמש,יבנה מערב,11,2025,84
שדרות,אשקלון,11,2025,1561
בית שמש,כפר סבא,11,2025,147
כרמיאל,כפר סבא,11,2025,292
שדרות,עכו,11,2025,108
יבנה מזרח,חדרה מערב,11,2025,252
בית יהושע,מזכרת בתיה,11,2025,112
כרמיאל,לוד,11,2025,986
באר שבע מרכז,נתיבות,11,2025,4068
בית שמש,חיפה מרכז,11,2025,175
חיפה מרכז,באר יעקב,11,2025,131
אשדוד עד הלום,תא אוניברסיטה,11,2025,9960
רמלה,תל אביב מרכז,11,2025,5602
חולון וולפסון,באר שבע מרכז,11,2025,537
נתניה קריית ספיר,רמלה,11,2025,100
בית שמש,קרית גת,11,2025,28
קרית אריה,אשקלון,11,2025,2499
קרית מלאכי,נתיבות,11,2025,35
באר שבע מרכז,כפר חבד,11,2025,361
עתלית,קרית מוצקין,11,2025,645
השלום,סגולה,11,2025,5081
קרית חיים,תל אביב מרכז,11,2025,1690
רמלה,אשדוד עד הלום,11,2025,178
מודיעין מרכז,קרית מלאכי,11,2025,28
אשדוד עד הלום,נתיבות,11,2025,3585
רמלה,אופקים,11,2025,83
הוד השרון,חוף הכרמל,11,2025,678
השלום,תא אוניברסיטה,11,2025,9054
תל אביב מרכז,בית שמש,11,2025,7534
קיסריה פרדס חנה,עכו,11,2025,177
לוד גני אביב,רעננה דרום,11,2025,42
קרית אריה,הרצליה,11,2025,1379
בית שמש,רמלה,11,2025,1312
דימונה,נתניה,11,2025,23
פאתי מודיעין,בנימינה,11,2025,820
להבים רהט,קרית אריה,11,2025,91
בית שאן,באר שבע מרכז,11,2025,418
חוף הכרמל,באר שבע מרכז,11,2025,2876
אשקלון,קרית גת,11,2025,15
כפר יהושע,בית שמש,11,2025,34
קרית מוצקין,צומת חולון,11,2025,112
רעננה דרום,דימונה,11,2025,1
פאתי מודיעין,מודיעין מרכז,11,2025,630
עתלית,שדרות,11,2025,30
לוד,בת גלים,11,2025,448
ראש העין צפון,מרכזית המפרץ/קו החוף,11,2025,672
דימונה,בת גלים,11,2025,15
עפולה,כפר ברוך,11,2025,129
בית שמש,לוד,11,2025,2654
כפר יהושע,בית יהושע,11,2025,53
בת ים קוממיות,הרצליה,11,2025,555
נתיבות,רעננה דרום,11,2025,78
נתיבות,קרית אריה,11,2025,273
קרית מוצקין,באר שבע צפון,11,2025,597
ראש העין צפון,בת גלים,11,2025,420
לוד גני אביב,נהריה,11,2025,42
רמלה,נהריה,11,2025,421
יבנה מזרח,נתניה קריית ספיר,11,2025,322
קרית מלאכי,בת ים יוספטל,11,2025,51
ראשונים,הוד השרון,11,2025,20
חולון וולפסון,נתיבות,11,2025,241
בת גלים,תל אביב ההגנה,11,2025,2975
נתיבות,נתניה,11,2025,421
תא אוניברסיטה,רמלה,11,2025,1721
יבנה מזרח,"נתב""ג",11,2025,141
יבנה מזרח,מודיעין מרכז,11,2025,32
סגולה,בני ברק,11,2025,1019
דימונה,באר שבע מרכז,11,2025,10
אשדוד עד הלום,בת ים קוממיות,11,2025,1445
כפר ברוך,נהריה,11,2025,111
בת גלים,אשקלון,11,2025,416
יבנה מערב,תא אוניברסיטה,11,2025,5373
ראשונים,מזכרת בתיה,11,2025,24
קרית מוצקין,קרית אריה,11,2025,455
בת ים קוממיות,באר שבע מרכז,11,2025,515
רחובות,כפר חבד,11,2025,940
באר יעקב,בית יהושע,11,2025,318
נתיבות,מרכזית המפרץ/קו החוף,11,2025,178
קרית אריה,"נתב""ג",11,2025,288
קרית מוצקין,כפר ברוך,11,2025,69
באר שבע מרכז,יבנה מזרח,11,2025,127
אשדוד עד הלום,נתניה,11,2025,2650
בית יהושע,השלום,11,2025,27405
כפר יהושע,ירושלים/יצחק נבון,11,2025,391
חולון וולפסון,בת ים קוממיות,11,2025,93
ירושלים/יצחק נבון,קרית חיים,11,2025,618
בת ים יוספטל,הרצליה,11,2025,1350
אשקלון,דימונה,11,2025,11
בנימינה,ירושלים/יצחק נבון,11,2025,8761
כפר חבד,קרית אריה,11,2025,23
אופקים,באר שבע צפון,11,2025,2601
רעננה מערב,באר יעקב,11,2025,51
בת ים קוממיות,כפר יהושע,11,2025,22
צומת חולון,הוד השרון,11,2025,263
אחיהוד,עפולה,11,2025,32
באר יעקב,תא אוניברסיטה,11,2025,5359
הוד השרון,לוד,11,2025,198
רעננה מערב,באר שבע מרכז,11,2025,387
קיסריה פרדס חנה,מזכרת בתיה,11,2025,84
אופקים,צומת חולון,11,2025,112
עכו,"נתב""ג",11,2025,5311
לוד גני אביב,קרית מוצקין,11,2025,40
פאתי מודיעין,חיפה מרכז,11,2025,282
"רשל""צ משה דיין",כפר ברוך,11,2025,40
כפר חבד,רעננה מערב,11,2025,59
בית שאן,נתניה,11,2025,249
אשקלון,חולון וולפסון,11,2025,2247
מזכרת בתיה,בת ים יוספטל,11,2025,104
ראש העין צפון,כפר יהושע,11,2025,13
נתיבות,תא אוניברסיטה,11,2025,967
חוף הכרמל,מזכרת בתיה,11,2025,481
רחובות,להבים רהט,11,2025,360
קרית גת,ראש העין צפון,11,2025,253
צומת חולון,קיסריה פרדס חנה,11,2025,94
בית שאן,באר יעקב,11,2025,28
בית שאן,ראשונים,11,2025,22
תל אביב ההגנה,רעננה מערב,11,2025,935
חוף הכרמל,הרצליה,11,2025,9992
נהריה,כפר סבא,11,2025,411
ראשונים,קרית מלאכי,11,2025,50
יבנה מזרח,תל אביב מרכז,11,2025,2371
חוצות מפרץ,אשקלון,11,2025,179
הוד השרון,יבנה מערב,11,2025,534
תא אוניברסיטה,חולון וולפסון,11,2025,2032
בת גלים,דימונה,11,2025,7
נתניה,הרצליה,11,2025,6202
"רשל""צ משה דיין",שדרות,11,2025,1128
חולון וולפסון,בת ים יוספטל,11,2025,277
קרית מוצקין,לוד גני אביב,11,2025,38
באר יעקב,נתיבות,11,2025,77
תל אביב ההגנה,שדרות,11,2025,2128
עפולה,קרית מוצקין,11,2025,413
"רשל""צ משה דיין",רעננה מערב,11,2025,515
חדרה מערב,הוד השרון,11,2025,225
עכו,הוד השרון,11,2025,123
רמלה,כפר סבא,11,2025,165
בית יהושע,ראש העין צפון,11,2025,170
ירושלים/יצחק נבון,ראשונים,11,2025,63
באר שבע צפון,אופקים,11,2025,2389
קרית חיים,השלום,11,2025,1889
אשדוד עד הלום,באר שבע מרכז,11,2025,4557
עתלית,נהריה,11,2025,391
כפר חבד,רעננה דרום,11,2025,156
קרית מוצקין,רעננה מערב,11,2025,167
חולון וולפסון,מזכרת בתיה,11,2025,59
דימונה,נתיבות,11,2025,2
לוד גני אביב,צומת חולון,11,2025,6
נתניה,בת ים קוממיות,11,2025,339
עפולה,אשדוד עד הלום,11,2025,174
נתיבות,בית שאן,11,2025,37
רעננה מערב,ראשונים,11,2025,17
חיפה מרכז,בת ים יוספטל,11,2025,417
מודיעין מרכז,עכו,11,2025,549
חוצות מפרץ,עכו,11,2025,2384
בת ים יוספטל,אחיהוד,11,2025,5
חיפה מרכז,נתיבות,11,2025,80
בית שמש,חולון וולפסון,11,2025,86
שדרות,ראש העין צפון,11,2025,581
רמלה,מודיעין מרכז,11,2025,25
נתניה,כפר יהושע,11,2025,95
קרית מלאכי,בת גלים,11,2025,190
פאתי מודיעין,לוד,11,2025,79
דימונה,בית שמש,11,2025,1
"רשל""צ משה דיין",לוד גני אביב,11,2025,237
לוד,בת ים קוממיות,11,2025,101
קרית גת,אשקלון,11,2025,15
חיפה מרכז,בית יהושע,11,2025,390
קרית מוצקין,רעננה דרום,11,2025,188
בית שמש,אופקים,11,2025,151
עתלית,רעננה מערב,11,2025,35
כפר חבד,ירושלים/יצחק נבון,11,2025,1856
כרמיאל,קיסריה פרדס חנה,11,2025,238
ראשונים,אשקלון,11,2025,120
רעננה דרום,חדרה מערב,11,2025,244
שדרות,צומת חולון,11,2025,147
חוצות מפרץ,קרית חיים,11,2025,262
נתניה קריית ספיר,חוף הכרמל,11,2025,2169
עתלית,הרצליה,11,2025,748
יבנה מזרח,ראש העין צפון,11,2025,9
אשדוד עד הלום,צומת חולון,11,2025,677
בית שאן,בת גלים,11,2025,1248
להבים רהט,אשקלון,11,2025,34
אשדוד עד הלום,להבים רהט,11,2025,25
קרית מלאכי,עתלית,11,2025,71
רעננה מערב,עפולה,11,2025,25
מודיעין מרכז,לוד,11,2025,103
בת ים קוממיות,נתניה,11,2025,384
בנימינה,נתניה קריית ספיר,11,2025,3693
ראשונים,בני ברק,11,2025,7
ראש העין צפון,בית שאן,11,2025,90
השלום,קרית חיים,11,2025,1940
אשקלון,מזכרת בתיה,11,2025,26
באר שבע מרכז,בית יהושע,11,2025,1509
פאתי מודיעין,קרית אריה,11,2025,75
רמלה,בת גלים,11,2025,203
שדרות,להבים רהט,11,2025,18
ירושלים/יצחק נבון,תל אביב מרכז,11,2025,60798
כפר חבד,לוד,11,2025,3418
לוד,"נתב""ג",11,2025,747
באר יעקב,אשקלון,11,2025,1306
נתיבות,רחובות,11,2025,821
בת גלים,אחיהוד,11,2025,1903
אחיהוד,"נתב""ג",11,2025,125
