from_station_name,to_station_name,month,year,sum_values_pass
חוף הכרמל,קרית חיים,11,2025,671
קרית חיים,אשדוד עד הלום,11,2025,84
רעננה דרום,נתיבות,11,2025,75
בת גלים,אופקים,11,2025,70
פאתי מודיעין,קיסריה פרדס חנה,11,2025,120
רעננה דרום,אופקים,11,2025,136
הרצליה,בית שמש,11,2025,1296
רעננה מערב,עכו,11,2025,126
הוד השרון,סגולה,11,2025,83
חוצות מפרץ,באר יעקב,11,2025,32
רחובות,לוד גני אביב,11,2025,806
עתלית,קרית גת,11,2025,60
ראש העין צפון,ירושלים/יצחק נבון,11,2025,1587
ירושלים/יצחק נבון,קרית מוצקין,11,2025,3582
"נתב""ג",באר יעקב,11,2025,293
חוף הכרמל,בת ים יוספטל,11,2025,585
רחובות,עכו,11,2025,363
באר יעקב,השלום,11,2025,14976
קרית אריה,נהריה,11,2025,681
קרית מוצקין,ירושלים/יצחק נבון,11,2025,3506
בת ים יוספטל,ראש העין צפון,11,2025,860
באר שבע צפון,סגולה,11,2025,305
תא אוניברסיטה,אשדוד עד הלום,11,2025,9955
חולון וולפסון,אשדוד עד הלום,11,2025,2674
כפר ברוך,חולון וולפסון,11,2025,16
מודיעין מרכז,כפר יהושע,11,2025,86
חדרה מערב,בת ים קוממיות,11,2025,149
רעננה מערב,רעננה דרום,11,2025,47
באר שבע צפון,לוד גני אביב,11,2025,55
באר שבע מרכז,רעננה דרום,11,2025,279
יבנה מזרח,לוד גני אביב,11,2025,55
חיפה מרכז,לוד גני אביב,11,2025,47
לוד,רמלה,11,2025,213
לוד גני אביב,אופקים,11,2025,69
עפולה,נתניה קריית ספיר,11,2025,82
"רשל""צ משה דיין",נתניה,11,2025,1699
נתניה קריית ספיר,יבנה מזרח,11,2025,303
כפר ברוך,קרית גת,11,2025,28
להבים רהט,נתניה,11,2025,189
בני ברק,כפר ברוך,11,2025,12
אחיהוד,ירושלים/יצחק נבון,11,2025,195
נהריה,קיסריה פרדס חנה,11,2025,472
הוד השרון,בית שאן,11,2025,56
רמלה,קרית אריה,11,2025,156
אשדוד עד הלום,קרית אריה,11,2025,1753
"נתב""ג",חוף הכרמל,11,2025,10188
בית שאן,קרית אריה,11,2025,80
ראשונים,אשדוד עד הלום,11,2025,82
עכו,חולון וולפסון,11,2025,145
תל אביב ההגנה,חדרה מערב,11,2025,6011
נתניה קריית ספיר,נהריה,11,2025,606
עפולה,חדרה מערב,11,2025,107
נתניה,סגולה,11,2025,126
יבנה מערב,קרית מלאכי,11,2025,3
נתניה,רחובות,11,2025,3319
בית יהושע,מרכזית המפרץ/קו החוף,11,2025,690
תל אביב ההגנה,רחובות,11,2025,5714
ירושלים/יצחק נבון,כרמיאל,11,2025,2415
דימונה,ראשונים,11,2025,9
"נתב""ג",הרצליה,11,2025,8969
רמלה,אשקלון,11,2025,283
קיסריה פרדס חנה,בית יהושע,11,2025,806
רעננה דרום,חיפה מרכז,11,2025,105
נתניה,מודיעין מרכז,11,2025,1123
בית שמש,לוד גני אביב,11,2025,143
קרית אריה,מזכרת בתיה,11,2025,138
כפר חבד,כפר סבא,11,2025,131
רעננה דרום,בית יהושע,11,2025,15
"נתב""ג","רשל""צ משה דיין",11,2025,922
בית יהושע,קיסריה פרדס חנה,11,2025,839
יבנה מזרח,תא אוניברסיטה,11,2025,1112
קרית מוצקין,כרמיאל,11,2025,4567
בנימינה,מודיעין מרכז,11,2025,1868
חיפה מרכז,ראשונים,11,2025,138
כפר ברוך,"רשל""צ משה דיין",11,2025,53
באר יעקב,קיסריה פרדס חנה,11,2025,399
"נתב""ג",מרכזית המפרץ/קו החוף,11,2025,3763
אופקים,נהריה,11,2025,307
באר שבע מרכז,בנימינה,11,2025,2605
חוצות מפרץ,תא אוניברסיטה,11,2025,1487
ראשונים,הרצליה,11,2025,274
בנימינה,בית יהושע,11,2025,1009
"נתב""ג",שדרות,11,2025,402
דימונה,רחובות,11,2025,18
בת ים קוממיות,להבים רהט,11,2025,20
רחובות,קרית מוצקין,11,2025,645
הרצליה,נתניה,11,2025,8255
נתניה,ראשונים,11,2025,183
רעננה מערב,קרית חיים,11,2025,14
לוד גני אביב,כרמיאל,11,2025,44
חיפה מרכז,רעננה דרום,11,2025,118
תא אוניברסיטה,תל אביב ההגנה,11,2025,6675
רחובות,כפר סבא,11,2025,602
"נתב""ג",אשדוד עד הלום,11,2025,3207
באר שבע מרכז,נתניה קריית ספיר,11,2025,898
פאתי מודיעין,באר שבע צפון,11,2025,62
כפר ברוך,להבים רהט,11,2025,10
בת ים קוממיות,צומת חולון,11,2025,80
באר שבע צפון,יבנה מזרח,11,2025,50
חוף הכרמל,סגולה,11,2025,407
קרית חיים,שדרות,11,2025,21
רמלה,נתניה,11,2025,626
אשדוד עד הלום,שדרות,11,2025,3418
תל אביב מרכז,רעננה מערב,11,2025,4313
פאתי מודיעין,נהריה,11,2025,349
יבנה מזרח,קרית חיים,11,2025,17
קיסריה פרדס חנה,הוד השרון,11,2025,254
ראשונים,חדרה מערב,11,2025,130
תל אביב ההגנה,חיפה מרכז,11,2025,2854
הוד השרון,קרית מוצקין,11,2025,190
השלום,כפר ברוך,11,2025,1204
"נתב""ג",צומת חולון,11,2025,295
כפר חבד,כפר יהושע,11,2025,16
מודיעין מרכז,ראש העין צפון,11,2025,109
אופקים,קרית גת,11,2025,124
נתיבות,קרית מלאכי,11,2025,39
תל אביב ההגנה,בת ים יוספטל,11,2025,997
חוף הכרמל,כפר יהושע,11,2025,1550
קיסריה פרדס חנה,צומת חולון,11,2025,96
"רשל""צ משה דיין",אשקלון,11,2025,7776
כפר סבא,בית יהושע,11,2025,75
בית שמש,קרית מלאכי,11,2025,23
שדרות,"רשל""צ משה דיין",11,2025,1244
קרית מוצקין,עכו,11,2025,4327
תא אוניברסיטה,עתלית,11,2025,1923
תא אוניברסיטה,קיסריה פרדס חנה,11,2025,6151
"נתב""ג",הוד השרון,11,2025,855
מודיעין מרכז,קרית חיים,11,2025,77
עתלית,בני ברק,11,2025,48
חדרה מערב,בית יהושע,11,2025,564
נתניה קריית ספיר,באר יעקב,11,2025,785
להבים רהט,מודיעין מרכז,11,2025,86
יבנה מזרח,לוד,11,2025,1509
בת ים יוספטל,בית שמש,11,2025,176
השלום,כפר יהושע,11,2025,1881
בת ים יוספטל,באר יעקב,11,2025,101
חוף הכרמל,רחובות,11,2025,1613
חדרה מערב,נתניה קריית ספיר,11,2025,7064
לוד גני אביב,כפר ברוך,11,2025,7
באר שבע צפון,ראש העין צפון,11,2025,523
חוצות מפרץ,כפר סבא,11,2025,38
בני ברק,עכו,11,2025,113
כפר ברוך,בת גלים,11,2025,1834
קרית אריה,אחיהוד,11,2025,32
יבנה מערב,קרית אריה,11,2025,1249
ראשונים,מודיעין מרכז,11,2025,21
דימונה,לוד גני אביב,11,2025,1
קרית מלאכי,תל אביב ההגנה,11,2025,1092
לוד,תל אביב מרכז,11,2025,13016
נהריה,הוד השרון,11,2025,328
כפר יהושע,בית שאן,11,2025,1948
בית יהושע,עתלית,11,2025,150
חדרה מערב,בנימינה,11,2025,1607
מזכרת בתיה,כרמיאל,11,2025,49
מודיעין מרכז,באר שבע מרכז,11,2025,816
תל אביב ההגנה,יבנה מערב,11,2025,4900
"נתב""ג",נתניה,11,2025,7713
נתניה,ירושלים/יצחק נבון,11,2025,11568
יבנה מזרח,באר שבע מרכז,11,2025,163
תל אביב מרכז,תא אוניברסיטה,11,2025,5717
נתיבות,פאתי מודיעין,11,2025,18
תל אביב ההגנה,כפר חבד,11,2025,1520
מודיעין מרכז,כפר סבא,11,2025,237
תל אביב מרכז,בת ים יוספטל,11,2025,8769
צומת חולון,כפר ברוך,11,2025,5
חולון וולפסון,באר שבע צפון,11,2025,308
חדרה מערב,רעננה דרום,11,2025,327
ראשונים,חוצות מפרץ,11,2025,5
מרכזית המפרץ/קו החוף,נתיבות,11,2025,173
כפר חבד,אשקלון,11,2025,495
חיפה מרכז,כרמיאל,11,2025,7388
קרית חיים,בית שאן,11,2025,22
עפולה,מזכרת בתיה,11,2025,55
לוד,בנימינה,11,2025,1061
אשדוד עד הלום,יבנה מערב,11,2025,3702
חולון וולפסון,צומת חולון,11,2025,102
בנימינה,רמלה,11,2025,359
דימונה,חדרה מערב,11,2025,29
חדרה מערב,רעננה מערב,11,2025,260
תל אביב ההגנה,עפולה,11,2025,804
כפר ברוך,עכו,11,2025,53
נהריה,יבנה מזרח,11,2025,64
"רשל""צ משה דיין",עפולה,11,2025,119
בת ים יוספטל,באר שבע צפון,11,2025,452
בית שאן,יבנה מערב,11,2025,153
אופקים,בת ים יוספטל,11,2025,568
מזכרת בתיה,צומת חולון,11,2025,18
יבנה מזרח,להבים רהט,11,2025,6
בית שאן,חיפה מרכז,11,2025,1475
עפולה,אחיהוד,11,2025,21
כפר יהושע,תל אביב מרכז,11,2025,1666
כפר סבא,אשקלון,11,2025,1140
דימונה,אופקים,11,2025,1
אשקלון,ראשונים,11,2025,91
באר יעקב,כרמיאל,11,2025,121
באר יעקב,אשדוד עד הלום,11,2025,1612
חיפה מרכז,נהריה,11,2025,9409
בית שאן,לוד,11,2025,168
כפר סבא,באר יעקב,11,2025,101
יבנה מערב,תל אביב ההגנה,11,2025,5042
קרית מוצקין,עפולה,11,2025,435
מרכזית המפרץ/קו החוף,בית שמש,11,2025,437
רעננה דרום,שדרות,11,2025,160
חיפה מרכז,אופקים,11,2025,123
"רשל""צ משה דיין",קיסריה פרדס חנה,11,2025,515
תא אוניברסיטה,בית שאן,11,2025,745
בנימינה,"נתב""ג",11,2025,10803
לוד גני אביב,הרצליה,11,2025,695
חוצות מפרץ,עתלית,11,2025,270
"רשל""צ משה דיין",רמלה,11,2025,97
כפר חבד,רמלה,11,2025,45
מודיעין מרכז,כפר ברוך,11,2025,80
צומת חולון,רעננה מערב,11,2025,106
תל אביב מרכז,"נתב""ג",11,2025,15640
בת ים קוממיות,חיפה מרכז,11,2025,223
באר שבע מרכז,"נתב""ג",11,2025,2126
חוצות מפרץ,קרית אריה,11,2025,112
צומת חולון,שדרות,11,2025,156
אשקלון,נתניה,11,2025,2489
אחיהוד,רעננה דרום,11,2025,13
תא אוניברסיטה,"רשל""צ משה דיין",11,2025,7734
יבנה מערב,"נתב""ג",11,2025,406
אשדוד עד הלום,חיפה מרכז,11,2025,556
פאתי מודיעין,באר יעקב,11,2025,19
ראש העין צפון,בנימינה,11,2025,598
דימונה,כרמיאל,11,2025,9
חולון וולפסון,קרית מוצקין,11,2025,160
כרמיאל,נתניה,11,2025,1020
רעננה דרום,כפר ברוך,11,2025,8
קרית אריה,ירושלים/יצחק נבון,11,2025,1370
אחיהוד,נהריה,11,2025,25
בני ברק,רחובות,11,2025,223
קרית חיים,ראשונים,11,2025,9
קרית אריה,לוד גני אביב,11,2025,52
מזכרת בתיה,קרית מוצקין,11,2025,178
יבנה מערב,רחובות,11,2025,16
אשדוד עד הלום,קרית גת,11,2025,62
קרית גת,"רשל""צ משה דיין",11,2025,330
חוצות מפרץ,שדרות,11,2025,50
שדרות,סגולה,11,2025,288
כפר ברוך,השלום,11,2025,1196
דימונה,אשדוד עד הלום,11,2025,17
כפר יהושע,"נתב""ג",11,2025,464
כפר חבד,"נתב""ג",11,2025,169
חיפה מרכז,פאתי מודיעין,11,2025,338
בני ברק,תל אביב ההגנה,11,2025,1385
עתלית,רמלה,11,2025,53
אופקים,מזכרת בתיה,11,2025,45
רעננה מערב,לוד,11,2025,118
בית שאן,קרית גת,11,2025,93
הרצליה,ראש העין צפון,11,2025,1152
באר יעקב,רחובות,11,2025,1712
השלום,הוד השרון,11,2025,13318
באר יעקב,חולון וולפסון,11,2025,66
עכו,רעננה מערב,11,2025,145
בת גלים,ראשונים,11,2025,43
חוצות מפרץ,כפר ברוך,11,2025,41
באר שבע צפון,ראשונים,11,2025,365
בני ברק,הוד השרון,11,2025,1486
כפר סבא,נתניה,11,2025,451
בת ים יוספטל,בנימינה,11,2025,524
מזכרת בתיה,באר שבע צפון,11,2025,2342
כפר סבא,עכו,11,2025,171
מודיעין מרכז,"רשל""צ משה דיין",11,2025,175
מרכזית המפרץ/קו החוף,בת ים יוספטל,11,2025,519
בת ים יוספטל,חוצות מפרץ,11,2025,92
בית שמש,בית יהושע,11,2025,233
כפר יהושע,קרית אריה,11,2025,41
נהריה,חולון וולפסון,11,2025,195
כרמיאל,עכו,11,2025,166
קרית מלאכי,לוד גני אביב,11,2025,5
בת ים קוממיות,כפר ברוך,11,2025,5
תא אוניברסיטה,לוד גני אביב,11,2025,1739
הרצליה,רעננה דרום,11,2025,440
סגולה,לוד גני אביב,11,2025,8
אשדוד עד הלום,כרמיאל,11,2025,388
לוד,חוף הכרמל,11,2025,1457
ירושלים/יצחק נבון,קרית אריה,11,2025,1297
שדרות,כרמיאל,11,2025,142
תל אביב מרכז,אשדוד עד הלום,11,2025,18938
קרית אריה,כפר יהושע,11,2025,37
יבנה מערב,נתיבות,11,2025,981
בני ברק,נהריה,11,2025,131
סגולה,כפר ברוך,11,2025,13
קרית חיים,כרמיאל,11,2025,628
ראש העין צפון,הרצליה,11,2025,1298
חדרה מערב,"רשל""צ משה דיין",11,2025,1082
בית יהושע,סגולה,11,2025,56
קרית מלאכי,"נתב""ג",11,2025,151
"נתב""ג",קרית מוצקין,11,2025,7274
קרית גת,עפולה,11,2025,113
רחובות,הוד השרון,11,2025,582
קיסריה פרדס חנה,בת ים יוספטל,11,2025,189
להבים רהט,פאתי מודיעין,11,2025,16
הרצליה,בנימינה,11,2025,6894
רעננה מערב,צומת חולון,11,2025,106
לוד,תל אביב ההגנה,11,2025,8042
שדרות,כפר ברוך,11,2025,26
השלום,מזכרת בתיה,11,2025,9311
נהריה,רעננה מערב,11,2025,208
קרית מוצקין,תל אביב ההגנה,11,2025,3152
קיסריה פרדס חנה,קרית מוצקין,11,2025,648
מרכזית המפרץ/קו החוף,דימונה,11,2025,8
אופקים,בית שאן,11,2025,72
לוד,יבנה מזרח,11,2025,1208
מזכרת בתיה,שדרות,11,2025,19
מודיעין מרכז,נתיבות,11,2025,103
הוד השרון,להבים רהט,11,2025,69
קיסריה פרדס חנה,קרית חיים,11,2025,127
כפר חבד,שדרות,11,2025,60
לוד גני אביב,עתלית,11,2025,12
אחיהוד,תל אביב ההגנה,11,2025,278
בנימינה,פאתי מודיעין,11,2025,809
קרית אריה,קרית חיים,11,2025,65
עתלית,בית שאן,11,2025,183
דימונה,עתלית,11,2025,1
חוף הכרמל,עתלית,11,2025,992
"רשל""צ משה דיין",חוצות מפרץ,11,2025,167
נהריה,תא אוניברסיטה,11,2025,4854
כפר ברוך,כרמיאל,11,2025,38
קרית חיים,"נתב""ג",11,2025,936
בית שאן,בית יהושע,11,2025,112
רעננה מערב,שדרות,11,2025,143
עתלית,חוצות מפרץ,11,2025,245
קרית מלאכי,עכו,11,2025,279
שדרות,עפולה,11,2025,58
צומת חולון,אשקלון,11,2025,684
בת ים יוספטל,מודיעין מרכז,11,2025,281
בנימינה,בת גלים,11,2025,4561
סגולה,עפולה,11,2025,28
תא אוניברסיטה,עפולה,11,2025,1224
לוד,עתלית,11,2025,130
קרית מלאכי,עפולה,11,2025,39
בת ים קוממיות,כרמיאל,11,2025,96
באר יעקב,חוצות מפרץ,11,2025,45
בית יהושע,בית שאן,11,2025,107
הרצליה,השלום,11,2025,34307
נהריה,כפר חבד,11,2025,92
רחובות,מרכזית המפרץ/קו החוף,11,2025,1088
בית שאן,מודיעין מרכז,11,2025,281
עכו,בת גלים,11,2025,7375
קרית מוצקין,חוף הכרמל,11,2025,4379
קיסריה פרדס חנה,כפר ברוך,11,2025,7
בנימינה,בית שמש,11,2025,371
"נתב""ג",כפר ברוך,11,2025,426
הרצליה,דימונה,11,2025,33
קרית מלאכי,כפר ברוך,11,2025,10
באר יעקב,סגולה,11,2025,40
פאתי מודיעין,נתיבות,11,2025,17
חדרה מערב,בת גלים,11,2025,2217
רעננה מערב,מרכזית המפרץ/קו החוף,11,2025,305
קיסריה פרדס חנה,כפר סבא,11,2025,369
באר שבע צפון,אשדוד עד הלום,11,2025,2892
תל אביב ההגנה,נהריה,11,2025,3384
רעננה דרום,בת גלים,11,2025,206
בית יהושע,תל אביב מרכז,11,2025,22046
נתניה,באר שבע צפון,11,2025,1014
נתניה,קרית גת,11,2025,540
נתניה קריית ספיר,כרמיאל,11,2025,405
אחיהוד,חוף הכרמל,11,2025,1292
חיפה מרכז,באר שבע צפון,11,2025,479
יבנה מערב,רעננה דרום,11,2025,276
נתניה קריית ספיר,מודיעין מרכז,11,2025,535
אשקלון,רחובות,11,2025,9924
בית שאן,בנימינה,11,2025,359
ראשונים,פאתי מודיעין,11,2025,6
עכו,"רשל""צ משה דיין",11,2025,334
כפר סבא,רחובות,11,2025,542
כפר ברוך,בנימינה,11,2025,119
לוד,באר יעקב,11,2025,865
קרית אריה,כפר סבא,11,2025,2938
מרכזית המפרץ/קו החוף,באר שבע מרכז,11,2025,3530
כפר חבד,חיפה מרכז,11,2025,76
ירושלים/יצחק נבון,רעננה דרום,11,2025,1184
חולון וולפסון,מרכזית המפרץ/קו החוף,11,2025,218
ראש העין צפון,כרמיאל,11,2025,287
הוד השרון,"נתב""ג",11,2025,774
רחובות,בת ים יוספטל,11,2025,389
באר שבע צפון,חוצות מפרץ,11,2025,82
עפולה,חיפה מרכז,11,2025,5066
בת ים יוספטל,קרית אריה,11,2025,967
השלום,כפר חבד,11,2025,5721
רעננה מערב,לוד גני אביב,11,2025,23
ראש העין צפון,רחובות,11,2025,357
נתניה,עכו,11,2025,963
בית שמש,חוצות מפרץ,11,2025,37
הוד השרון,רעננה דרום,11,2025,98
יבנה מזרח,חולון וולפסון,11,2025,5
