FromStationName,ToStationName,Month,Year,SUM_Values_Pass
מרכזית המפרץ/קו החוף,כרמיאל,12,2025,16539
נתניה קריית ספיר,"נתב""ג",12,2025,1336
כפר סבא,עתלית,12,2025,41
באר שבע צפון,נתיבות,12,2025,3236
רעננה דרום,עתלית,12,2025,17
חדרה מערב,באר יעקב,12,2025,525
"רשל""צ משה דיין",קרית אריה,12,2025,1843
קרית גת,יבנה מזרח,12,2025,13
באר שבע מרכז,תל אביב ההגנה,12,2025,8618
רמלה,רחובות,12,2025,202
יבנה מערב,ירושלים/יצחק נבון,12,2025,1213
נתניה,צומת חולון,12,2025,252
"רשל""צ משה דיין",באר שבע מרכז,12,2025,1683
בנימינה,תל אביב ההגנה,12,2025,7419
כפר ברוך,תל אביב מרכז,12,2025,1261
עפולה,צומת חולון,12,2025,33
בית שמש,אשדוד עד הלום,12,2025,367
בני ברק,תל אביב מרכז,12,2025,951
"רשל""צ משה דיין",כפר חבד,12,2025,88
"נתב""ג",רחובות,12,2025,1266
השלום,"נתב""ג",12,2025,13608
קרית חיים,בית שמש,12,2025,16
מזכרת בתיה,קיסריה פרדס חנה,12,2025,72
רמלה,כפר יהושע,12,2025,28
תא אוניברסיטה,סגולה,12,2025,3234
נהריה,בת גלים,12,2025,10102
יבנה מערב,חיפה מרכז,12,2025,282
צומת חולון,תל אביב מרכז,12,2025,2216
הוד השרון,עתלית,12,2025,54
חדרה מערב,להבים רהט,12,2025,132
נתניה,מזכרת בתיה,12,2025,232
רמלה,פאתי מודיעין,12,2025,10
חולון וולפסון,קרית מלאכי,12,2025,62
סגולה,באר יעקב,12,2025,27
בית יהושע,חוצות מפרץ,12,2025,148
חיפה מרכז,נתניה,12,2025,2285
יבנה מזרח,כרמיאל,12,2025,42
כפר ברוך,"נתב""ג",12,2025,810
הוד השרון,בנימינה,12,2025,473
חיפה מרכז,מרכזית המפרץ/קו החוף,12,2025,1395
יבנה מערב,לוד,12,2025,196
צומת חולון,רעננה דרום,12,2025,126
סגולה,חוצות מפרץ,12,2025,51
תל אביב מרכז,חיפה מרכז,12,2025,10436
רעננה דרום,אשקלון,12,2025,434
חוף הכרמל,עכו,12,2025,4473
חוצות מפרץ,כפר ברוך,12,2025,45
אחיהוד,נהריה,12,2025,60
באר שבע צפון,קרית מוצקין,12,2025,765
בית שמש,בני ברק,12,2025,132
נהריה,לוד,12,2025,886
שדרות,רחובות,12,2025,753
בת ים קוממיות,בת גלים,12,2025,180
אשקלון,באר יעקב,12,2025,1443
חיפה מרכז,בת גלים,12,2025,557
בני ברק,קרית גת,12,2025,97
"נתב""ג",בית שמש,12,2025,356
חיפה מרכז,אחיהוד,12,2025,1806
בני ברק,אשקלון,12,2025,1731
בית יהושע,ראש העין צפון,12,2025,147
כרמיאל,חוף הכרמל,12,2025,6217
לוד,בת ים קוממיות,12,2025,143
פאתי מודיעין,יבנה מערב,12,2025,39
כפר חבד,עפולה,12,2025,35
סגולה,פאתי מודיעין,12,2025,27
נתניה קריית ספיר,תל אביב מרכז,12,2025,9262
חיפה מרכז,בנימינה,12,2025,4197
נתיבות,אופקים,12,2025,2055
אופקים,קרית חיים,12,2025,39
מרכזית המפרץ/קו החוף,פאתי מודיעין,12,2025,505
הוד השרון,קיסריה פרדס חנה,12,2025,290
פאתי מודיעין,באר שבע מרכז,12,2025,96
כפר ברוך,קרית מלאכי,12,2025,9
ראשונים,חולון וולפסון,12,2025,8
תל אביב ההגנה,"רשל""צ משה דיין",12,2025,2382
דימונה,הרצליה,12,2025,31
תא אוניברסיטה,בית שאן,12,2025,871
נהריה,באר שבע מרכז,12,2025,2029
רמלה,בית שמש,12,2025,1439
בנימינה,באר יעקב,12,2025,488
תל אביב ההגנה,שדרות,12,2025,2415
הרצליה,קרית חיים,12,2025,284
תל אביב מרכז,יבנה מערב,12,2025,10802
נהריה,נתניה,12,2025,1785
חולון וולפסון,עתלית,12,2025,59
ראש העין צפון,רעננה דרום,12,2025,559
אופקים,קרית מוצקין,12,2025,223
אשדוד עד הלום,לוד גני אביב,12,2025,215
חוצות מפרץ,עפולה,12,2025,272
חולון וולפסון,חוצות מפרץ,12,2025,98
קרית מוצקין,נהריה,12,2025,10460
בנימינה,יבנה מזרח,12,2025,263
נתיבות,הרצליה,12,2025,316
נתניה,בנימינה,12,2025,3104
נתניה,אחיהוד,12,2025,117
כפר יהושע,להבים רהט,12,2025,27
קרית חיים,סגולה,12,2025,33
נתניה,השלום,12,2025,31348
באר שבע מרכז,באר יעקב,12,2025,384
לוד,קרית אריה,12,2025,245
רעננה דרום,תל אביב ההגנה,12,2025,428
צומת חולון,אשקלון,12,2025,663
באר שבע צפון,בת ים יוספטל,12,2025,409
חדרה מערב,נתניה,12,2025,3425
לוד,שדרות,12,2025,429
כפר ברוך,קרית מוצקין,12,2025,67
חדרה מערב,קרית גת,12,2025,730
פאתי מודיעין,בית שאן,12,2025,59
קיסריה פרדס חנה,באר שבע מרכז,12,2025,515
נהריה,באר יעקב,12,2025,162
ראשונים,בת גלים,12,2025,93
קרית גת,קרית חיים,12,2025,42
רמלה,כפר חבד,12,2025,81
תל אביב ההגנה,בני ברק,12,2025,1387
רעננה דרום,להבים רהט,12,2025,38
קרית מלאכי,כפר סבא,12,2025,69
באר יעקב,בית שמש,12,2025,179
קרית אריה,ראש העין צפון,12,2025,1996
בנימינה,צומת חולון,12,2025,252
נהריה,חוף הכרמל,12,2025,9847
אשקלון,באר שבע צפון,12,2025,2753
