Year,Month,WeekPeriod,train_station_code,StationName,Train_number,Planned_Train_Departure_Time,PassengersAscending,PassengersDescending
2025,12,יום חול,4900,תל אביב ההגנה,402,07:37:00,603.0,2714.0
2025,12,שישי,3700,תל אביב מרכז,6723,07:37:00,798.0,15.0
2026,1,יום חול,3600,,403,07:37:00,,
2026,1,יום חול,2100,חיפה מרכז,152,07:37:00,129.0,674.0
2026,1,יום חול,3600,תא אוניברסיטה,403,07:37:00,572.0,2425.0
2026,1,שישי,3700,תל אביב מרכז,6723,07:37:00,884.0,14.0
2026,1,יום חול,3700,תל אביב מרכז,721,07:37:00,3825.0,226.0
2026,1,יום חול,4900,תל אביב ההגנה,402,07:37:00,601.0,3138.0
2025,12,יום חול,2300,,105,07:38:00,,
2025,12,יום חול,5000,לוד,21,07:38:00,1827.0,1044.0
2025,12,יום חול,9600,שדרות,615,07:38:00,101.0,518.0
2025,12,יום חול,5000,,21,07:38:00,,
2025,12,יום חול,5150,לוד גני אביב,957,07:38:00,268.0,234.0
2026,1,יום חול,5150,לוד גני אביב,957,07:38:00,256.0,251.0
2026,1,יום חול,5000,לוד,21,07:38:00,1779.0,1098.0
2026,1,יום חול,9600,שדרות,615,07:38:00,87.0,450.0
2025,12,יום חול,680,ירושלים/יצחק נבון,720,07:39:00,16651.0,0.0
2025,12,יום חול,1250,כפר ברוך,64,07:39:00,241.0,181.0
2025,12,יום חול,2940,,309,07:39:00,,
2025,12,יום חול,3700,,619,07:39:00,,
2025,12,יום חול,3700,תל אביב מרכז,619,07:39:00,2869.0,2579.0
2025,12,יום חול,4660,חולון וולפסון,305,07:39:00,52.0,318.0
2025,12,שישי,4900,תל אביב ההגנה,6223,07:39:00,56.0,51.0
2025,12,שישי,4660,חולון וולפסון,6615,07:39:00,31.0,26.0
2025,12,שישי,4600,השלום,6502,07:39:00,20.0,79.0
2025,12,שישי,3300,נתניה,6224,07:39:00,71.0,81.0
2026,1,יום חול,1250,כפר ברוך,64,07:39:00,248.0,191.0
2025,12,שישי,680,ירושלים/יצחק נבון,6724,07:39:00,886.0,0.0
2026,1,יום חול,680,ירושלים/יצחק נבון,720,07:39:00,16707.0,0.0
2025,12,שישי,4600,,6502,07:39:00,,
2026,1,יום חול,3700,תל אביב מרכז,619,07:39:00,3098.0,2238.0
2026,1,שישי,4900,תל אביב ההגנה,6223,07:39:00,69.0,57.0
2026,1,יום חול,4660,חולון וולפסון,305,07:39:00,65.0,338.0
2026,1,שישי,3300,נתניה,6224,07:39:00,87.0,71.0
2026,1,שישי,4600,השלום,6502,07:39:00,31.0,138.0
2026,1,שישי,4660,חולון וולפסון,6615,07:39:00,24.0,48.0
2026,1,שישי,680,ירושלים/יצחק נבון,6724,07:39:00,1372.0,0.0
2025,12,יום חול,1300,חוצות מפרץ,155,07:40:00,1154.0,751.0
2025,12,יום חול,1400,קרית מוצקין,20,07:40:00,336.0,250.0
2025,12,יום חול,3700,,504,07:40:00,,
2025,12,יום חול,4170,קרית אריה,620,07:40:00,83.0,892.0
2025,12,יום חול,3700,תל אביב מרכז,308,07:40:00,267.0,3539.0
2025,12,יום חול,3700,תל אביב מרכז,504,07:40:00,244.0,2500.0
2026,1,יום חול,1400,קרית מוצקין,20,07:40:00,289.0,275.0
2026,1,יום חול,1300,חוצות מפרץ,155,07:40:00,928.0,708.0
2026,1,יום חול,4170,קרית אריה,620,07:40:00,58.0,737.0
2026,1,יום חול,3700,תל אביב מרכז,504,07:40:00,234.0,2781.0
2026,1,יום חול,3700,תל אביב מרכז,308,07:40:00,271.0,2828.0
2025,12,יום חול,4900,תל אביב ההגנה,103,07:41:00,1788.0,1435.0
2025,12,יום חול,4600,השלום,721,07:41:00,2003.0,561.0
2025,12,יום חול,8700,כפר סבא,306,07:41:00,440.0,183.0
2025,12,שישי,4600,השלום,6723,07:41:00,210.0,16.0
2025,12,שישי,2300,חוף הכרמל,6066,07:41:00,6.0,1.0
2025,12,שישי,3500,הרצליה,6022,07:41:00,305.0,45.0
2025,12,שישי,4900,,6122,07:41:00,,
2025,12,שישי,2200,בת גלים,6020,07:41:00,43.0,58.0
2025,12,שישי,9650,נתיבות,6613,07:41:00,4.0,25.0
2025,12,שישי,4900,תל אביב ההגנה,6122,07:41:00,0.0,132.0
2026,1,יום חול,4600,השלום,721,07:41:00,1679.0,506.0
2026,1,יום חול,4900,תל אביב ההגנה,103,07:41:00,1686.0,1407.0
2026,1,יום חול,8700,כפר סבא,306,07:41:00,535.0,178.0
2026,1,שישי,2200,בת גלים,6020,07:41:00,60.0,91.0
2026,1,שישי,2300,חוף הכרמל,6066,07:41:00,29.0,0.0
2026,1,שישי,4900,תל אביב ההגנה,6122,07:41:00,1.0,164.0
2026,1,שישי,9650,נתיבות,6613,07:41:00,1.0,27.0
2026,1,שישי,2200,בת גלים,8020,07:41:00,11.0,1.0
2026,1,שישי,3500,הרצליה,6022,07:41:00,293.0,65.0
2026,1,שישי,4600,השלום,6723,07:41:00,208.0,39.0
2025,12,יום חול,3100,חדרה מערב,226,07:42:00,660.0,442.0
2025,12,יום חול,4600,השלום,402,07:42:00,662.0,4365.0
2025,12,יום חול,4600,,619,07:42:00,,
2025,12,יום חול,4600,,402,07:42:00,,
2025,12,יום חול,4600,השלום,619,07:42:00,804.0,2812.0
2025,12,יום חול,4900,,718,07:42:00,,
2025,12,יום חול,4900,תל אביב ההגנה,718,07:42:00,239.0,2311.0
2025,12,שישי,5000,לוד,6023,07:42:00,38.0,49.0
2026,1,יום חול,2820,,229,07:42:00,,
2025,12,שישי,1230,מרכזית המפרץ,6065,07:42:00,4.0,133.0
2026,1,יום חול,3100,חדרה מערב,226,07:42:00,674.0,379.0
2026,1,יום חול,4600,השלום,402,07:42:00,786.0,5073.0
2026,1,יום חול,4900,תל אביב ההגנה,718,07:42:00,272.0,2611.0
2026,1,יום חול,3700,תל אביב מרכז,403,07:42:00,1418.0,3088.0
2026,1,שישי,5000,לוד,6023,07:42:00,80.0,65.0
2026,1,שישי,1230,מרכזית המפרץ,6065,07:42:00,10.0,137.0
2026,1,יום חול,4600,השלום,619,07:42:00,859.0,2713.0
2025,12,יום חול,1820,,442,07:43:00,,
2025,12,יום חול,1820,אחיהוד,442,07:43:00,8.0,140.0
2025,12,יום חול,3600,תא אוניברסיטה,505,07:43:00,164.0,1684.0
2025,12,יום חול,3700,תל אביב מרכז,403,07:43:00,3201.0,6916.0
2025,12,יום חול,4800,כפר חבד,225,07:43:00,340.0,296.0
2025,12,יום חול,5010,,21,07:43:00,,
2025,12,יום חול,5010,רמלה,21,07:43:00,662.0,935.0
2025,12,שישי,400,מודיעין מרכז,6545,07:43:00,106.0,0.0
2025,12,יום חול,7300,באר שבע צפון,19,07:43:00,21.0,1779.0
2025,12,יום חול,7300,באר שבע צפון,1019,07:43:00,3.0,362.0
2025,12,שישי,3700,תל אביב מרכז,6849,07:43:00,31.0,0.0
2026,1,יום חול,1820,אחיהוד,442,07:43:00,12.0,126.0
2026,1,יום חול,3700,תל אביב מרכז,403,07:43:00,1177.0,2928.0
2026,1,יום חול,3600,תא אוניברסיטה,505,07:43:00,170.0,1491.0
2026,1,יום חול,4800,כפר חבד,225,07:43:00,396.0,374.0
2026,1,יום חול,7300,באר שבע צפון,1019,07:43:00,2.0,176.0
2026,1,יום חול,3700,,403,07:43:00,,
2026,1,יום חול,5010,רמלה,21,07:43:00,580.0,924.0
2026,1,יום חול,7300,באר שבע צפון,19,07:43:00,13.0,1606.0
2026,1,שישי,400,מודיעין מרכז,6545,07:43:00,117.0,0.0
2025,12,יום חול,3500,הרצליה,228,07:44:00,1131.0,1395.0
2025,12,יום חול,2960,,309,07:44:00,,
2025,12,יום חול,3600,תא אוניברסיטה,504,07:44:00,96.0,1010.0
2025,12,יום חול,3600,,504,07:44:00,,
2025,12,יום חול,3500,,227,07:44:00,,
2025,12,יום חול,3500,,228,07:44:00,,
2025,12,יום חול,4680,בת ים יוספטל,305,07:44:00,93.0,313.0
2025,12,יום חול,5000,לוד,957,07:44:00,1133.0,792.0
2025,12,יום חול,9200,הוד השרון,306,07:44:00,469.0,138.0
2025,12,שישי,8550,להבים רהט,6021,07:44:00,9.0,10.0
2025,12,שישי,4680,בת ים יוספטל,6615,07:44:00,72.0,27.0
2025,12,שישי,4900,תל אביב ההגנה,6620,07:44:00,85.0,196.0
2025,12,שישי,3700,תל אביב מרכז,6502,07:44:00,121.0,33.0
2025,12,שישי,1300,חוצות מפרץ,6027,07:44:00,39.0,32.0
2026,1,יום חול,3500,הרצליה,228,07:44:00,1037.0,1400.0
2026,1,יום חול,300,,549,07:44:00,,
2026,1,יום חול,4680,בת ים יוספטל,305,07:44:00,109.0,357.0
2026,1,יום חול,3600,תא אוניברסיטה,504,07:44:00,76.0,1009.0
2026,1,יום חול,5000,לוד,957,07:44:00,1125.0,699.0
2026,1,שישי,3700,תל אביב מרכז,6502,07:44:00,91.0,69.0
2026,1,יום חול,9200,הוד השרון,306,07:44:00,401.0,127.0
2026,1,שישי,1300,חוצות מפרץ,8027,07:44:00,3.0,9.0
2026,1,שישי,1300,חוצות מפרץ,6027,07:44:00,39.0,44.0
2026,1,שישי,4900,תל אביב ההגנה,6620,07:44:00,74.0,202.0
2026,1,שישי,4680,בת ים יוספטל,6615,07:44:00,68.0,47.0
2026,1,שישי,8550,להבים רהט,6021,07:44:00,13.0,10.0
2025,12,יום חול,1220,מרכזית המפרץ/קו החוף,152,07:45:00,227.0,1034.0
2025,12,יום חול,3600,תא אוניברסיטה,308,07:45:00,823.0,3311.0
2025,12,יום חול,4250,סגולה,620,07:45:00,24.0,330.0
2025,12,יום חול,9000,יבנה מערב,617,07:45:00,309.0,1653.0
2026,1,יום חול,1220,מרכזית המפרץ/קו החוף,152,07:45:00,241.0,892.0
2026,1,יום חול,3600,תא אוניברסיטה,308,07:45:00,788.0,2698.0
2026,1,יום חול,4250,סגולה,620,07:45:00,26.0,283.0
2026,1,יום חול,9000,יבנה מערב,617,07:45:00,275.0,1747.0
2025,12,יום חול,1220,מרכזית המפרץ/קו החוף,155,07:46:00,2347.0,2798.0
2025,12,שישי,4600,,6122,07:46:00,,
2025,12,שישי,300,פאתי מודיעין,6544,07:46:00,0.0,17.0
2025,12,שישי,4600,השלום,6122,07:46:00,0.0,70.0
2025,12,שישי,2100,חיפה מרכז,6020,07:46:00,24.0,186.0
2025,12,שישי,2300,חוף הכרמל,6442,07:46:00,31.0,0.0
2025,12,שישי,4600,השלום,6849,07:46:00,20.0,0.0
2026,1,יום חול,1220,מרכזית המפרץ/קו החוף,155,07:46:00,1982.0,2660.0
2026,1,שישי,300,פאתי מודיעין,6544,07:46:00,0.0,24.0
2026,1,שישי,2100,חיפה מרכז,8020,07:46:00,6.0,1.0
2026,1,שישי,2100,חיפה מרכז,6020,07:46:00,29.0,174.0
2026,1,שישי,4600,השלום,6122,07:46:00,0.0,101.0
2026,1,שישי,2300,חוף הכרמל,6442,07:46:00,49.0,0.0
2025,12,יום חול,2960,רעננה דרום,306,07:47:00,174.0,177.0
2025,12,יום חול,3700,תל אביב מרכז,402,07:47:00,1656.0,4105.0
2025,12,יום חול,4600,השלום,403,07:47:00,1483.0,5167.0
2025,12,יום חול,4900,,622,07:47:00,,
2025,12,יום חול,4900,תל אביב ההגנה,721,07:47:00,2839.0,70.0
2025,12,יום חול,4900,,619,07:47:00,,
2025,12,יום חול,4600,,718,07:47:00,,
2025,12,יום חול,4690,בת ים קוממיות,305,07:47:00,4.0,106.0
2025,12,יום חול,4900,תל אביב ההגנה,619,07:47:00,1322.0,255.0
2025,12,יום חול,4900,תל אביב ההגנה,622,07:47:00,636.0,3092.0
2025,12,יום חול,4600,השלום,718,07:47:00,100.0,2602.0
2025,12,יום חול,5010,,24,07:47:00,,
2025,12,שישי,4690,בת ים קוממיות,6615,07:47:00,35.0,12.0
2025,12,שישי,4900,תל אביב ההגנה,6723,07:47:00,382.0,10.0
2025,12,יום חול,9650,נתיבות,615,07:47:00,173.0,252.0
2025,12,שישי,4800,כפר חבד,6223,07:47:00,11.0,39.0
2025,12,שישי,3700,תל אביב מרכז,6125,07:47:00,124.0,0.0
2026,1,יום חול,2960,רעננה דרום,306,07:47:00,152.0,128.0
2026,1,יום חול,3700,תל אביב מרכז,402,07:47:00,1504.0,3868.0
2026,1,יום חול,4600,השלום,403,07:47:00,1253.0,4781.0
2026,1,יום חול,4600,השלום,718,07:47:00,120.0,3111.0
2026,1,יום חול,4600,,403,07:47:00,,
2026,1,יום חול,4900,תל אביב ההגנה,721,07:47:00,2905.0,65.0
2026,1,יום חול,4900,תל אביב ההגנה,619,07:47:00,1500.0,254.0
2026,1,יום חול,4900,תל אביב ההגנה,622,07:47:00,380.0,2999.0
2026,1,יום חול,4690,בת ים קוממיות,305,07:47:00,27.0,108.0
2026,1,שישי,3700,תל אביב מרכז,6125,07:47:00,132.0,0.0
2026,1,שישי,4900,תל אביב ההגנה,6723,07:47:00,466.0,14.0
2026,1,שישי,4800,כפר חבד,6223,07:47:00,13.0,51.0
2026,1,יום חול,9650,נתיבות,615,07:47:00,140.0,245.0
2026,1,שישי,4690,בת ים קוממיות,6615,07:47:00,44.0,10.0
2026,1,שישי,9650,נתיבות,6847,07:47:00,8.0,2.0
2025,12,יום חול,1260,עפולה,64,07:48:00,105.0,1489.0
2025,12,יום חול,3700,תל אביב מרכז,505,07:48:00,669.0,5178.0
2025,12,יום חול,4900,תל אביב ההגנה,104,07:48:00,581.0,1072.0
2025,12,יום חול,4900,,104,07:48:00,,
2025,12,שישי,4600,השלום,6620,07:48:00,49.0,198.0
2025,12,שישי,5010,רמלה,6023,07:48:00,12.0,25.0
2025,12,שישי,2200,בת גלים,6066,07:48:00,27.0,2.0
2025,12,יום חול,9200,,309,07:48:00,,
2025,12,שישי,3600,תא אוניברסיטה,6502,07:48:00,16.0,56.0
2026,1,יום חול,1260,,64,07:48:00,,
2026,1,יום חול,1260,עפולה,64,07:48:00,95.0,1381.0
2026,1,יום חול,3700,תל אביב מרכז,505,07:48:00,616.0,4937.0
2026,1,יום חול,4900,תל אביב ההגנה,104,07:48:00,552.0,1215.0
2026,1,שישי,4600,השלום,6620,07:48:00,50.0,240.0
2026,1,שישי,5010,רמלה,6023,07:48:00,28.0,30.0
2026,1,שישי,3600,תא אוניברסיטה,6502,07:48:00,12.0,57.0
2026,1,שישי,2200,בת גלים,6066,07:48:00,54.0,3.0
2025,12,יום חול,1300,חוצות מפרץ,152,07:49:00,42.0,281.0
2025,12,יום חול,2820,קיסריה פרדס חנה,226,07:49:00,323.0,890.0
2025,12,יום חול,3600,תא אוניברסיטה,307,07:49:00,162.0,1461.0
2025,12,שישי,1220,מרכזית המפרץ/קו החוף,6027,07:49:00,233.0,243.0
2026,1,יום חול,1300,חוצות מפרץ,152,07:49:00,41.0,247.0
2025,12,שישי,3100,חדרה מערב,6224,07:49:00,37.0,104.0
2026,1,יום חול,2820,קיסריה פרדס חנה,226,07:49:00,368.0,862.0
2026,1,יום חול,3600,תא אוניברסיטה,307,07:49:00,181.0,1295.0
2026,1,שישי,1220,מרכזית המפרץ/קו החוף,6027,07:49:00,217.0,222.0
2026,1,שישי,1220,מרכזית המפרץ/קו החוף,8027,07:49:00,0.0,57.0
2026,1,שישי,3100,חדרה מערב,6224,07:49:00,47.0,125.0
2025,12,יום חול,300,פאתי מודיעין,548,07:50:00,10.0,232.0
2025,12,יום חול,1500,עכו,20,07:50:00,170.0,767.0
2025,12,יום חול,3300,,959,07:50:00,,
2025,12,יום חול,4100,בני ברק,308,07:50:00,32.0,862.0
2025,12,יום חול,4680,בת ים יוספטל,310,07:50:00,3981.0,22.0
2025,12,יום חול,8800,ראש העין צפון,620,07:50:00,384.0,403.0
2026,1,יום חול,300,פאתי מודיעין,548,07:50:00,13.0,234.0
2026,1,יום חול,1500,עכו,20,07:50:00,137.0,840.0
2026,1,יום חול,4100,בני ברק,308,07:50:00,51.0,868.0
2026,1,יום חול,4680,בת ים יוספטל,310,07:50:00,3573.0,14.0
2026,1,יום חול,8800,ראש העין צפון,620,07:50:00,350.0,344.0
2025,12,יום חול,2300,חוף הכרמל,102,07:51:00,181.0,1850.0
2025,12,יום חול,2940,רעננה מערב,306,07:51:00,360.0,139.0
2025,12,יום חול,3600,תא אוניברסיטה,402,07:51:00,1845.0,2449.0
2025,12,יום חול,4600,,622,07:51:00,,
2025,12,יום חול,3600,תא אוניברסיטה,227,07:51:00,315.0,3433.0
2025,12,יום חול,4600,השלום,622,07:51:00,564.0,7328.0
2025,12,יום חול,5000,לוד,225,07:51:00,801.0,1596.0
2025,12,שישי,3600,תא אוניברסיטה,6505,07:51:00,24.0,73.0
2025,12,שישי,9800,"רשל""צ משה דיין",6615,07:51:00,24.0,73.0
2025,12,שישי,4900,תל אביב ההגנה,6849,07:51:00,41.0,3.0
2025,12,יום חול,8700,,309,07:51:00,,
2026,1,יום חול,2300,חוף הכרמל,102,07:51:00,161.0,1741.0
2026,1,יום חול,2940,רעננה מערב,306,07:51:00,350.0,177.0
2026,1,יום חול,3600,תא אוניברסיטה,227,07:51:00,319.0,2793.0
2026,1,יום חול,4600,השלום,622,07:51:00,268.0,6992.0
2026,1,יום חול,3600,תא אוניברסיטה,402,07:51:00,1606.0,2276.0
2026,1,יום חול,5000,לוד,225,07:51:00,774.0,1598.0
2026,1,שישי,9800,"רשל""צ משה דיין",6615,07:51:00,26.0,81.0
2026,1,שישי,3600,תא אוניברסיטה,6505,07:51:00,25.0,73.0
2025,12,יום חול,3500,הרצליה,504,07:52:00,102.0,665.0
2025,12,יום חול,4600,השלום,505,07:52:00,224.0,4238.0
2025,12,יום חול,3700,תל אביב מרכז,718,07:52:00,168.0,2876.0
2025,12,יום חול,3500,,504,07:52:00,,
2025,12,יום חול,4900,תל אביב ההגנה,403,07:52:00,1899.0,1105.0
2025,12,יום חול,6900,,21,07:52:00,,
2025,12,יום חול,8600,"נתב""ג",103,07:52:00,170.0,9261.0
2025,12,שישי,4600,השלום,6125,07:52:00,56.0,0.0
2025,12,שישי,2100,חיפה מרכז,6066,07:52:00,72.0,2.0
2025,12,שישי,3700,תל אביב מרכז,6620,07:52:00,179.0,130.0
2025,12,יום חול,6900,מזכרת בתיה,21,07:52:00,1296.0,997.0
2026,1,יום חול,3700,תל אביב מרכז,718,07:52:00,144.0,2608.0
2026,1,יום חול,3500,הרצליה,504,07:52:00,96.0,722.0
2026,1,יום חול,4600,השלום,505,07:52:00,232.0,4276.0
2026,1,יום חול,3500,,504,07:52:00,,
2026,1,שישי,2100,חיפה מרכז,6066,07:52:00,83.0,5.0
2026,1,שישי,3700,תל אביב מרכז,6620,07:52:00,154.0,125.0
2026,1,יום חול,6900,מזכרת בתיה,21,07:52:00,1320.0,1117.0
2026,1,יום חול,4900,,403,07:52:00,,
2026,1,יום חול,4900,תל אביב ההגנה,403,07:52:00,1655.0,1117.0
2026,1,יום חול,8600,"נתב""ג",103,07:52:00,120.0,7435.0
2026,1,שישי,4600,השלום,6125,07:52:00,67.0,4.0
2025,12,יום חול,700,קרית חיים,152,07:53:00,91.0,71.0
2025,12,יום חול,3400,בית יהושע,228,07:53:00,550.0,325.0
2025,12,יום חול,3400,,228,07:53:00,,
2025,12,יום חול,4600,,104,07:53:00,,
2025,12,יום חול,4600,השלום,104,07:53:00,750.0,2893.0
2025,12,יום חול,4900,תל אביב ההגנה,230,07:53:00,618.0,1848.0
2025,12,יום חול,4900,,230,07:53:00,,
2025,12,שישי,2200,בת גלים,6442,07:53:00,23.0,1.0
2026,1,יום חול,700,קרית חיים,152,07:53:00,76.0,74.0
2026,1,יום חול,1400,,445,07:53:00,,
2026,1,יום חול,3400,בית יהושע,228,07:53:00,462.0,396.0
2026,1,יום חול,4900,תל אביב ההגנה,230,07:53:00,684.0,2157.0
2026,1,שישי,2200,בת גלים,6442,07:53:00,43.0,0.0
2026,1,יום חול,4600,השלום,104,07:53:00,817.0,3291.0
2025,12,יום חול,3700,תל אביב מרכז,307,07:54:00,1674.0,1866.0
2026,1,יום חול,3700,תל אביב מרכז,307,07:54:00,1541.0,1749.0
2026,1,יום חול,9650,נתיבות,847,07:54:00,79.0,0.0
2025,12,יום חול,300,,156,07:55:00,,
2025,12,יום חול,1220,מרכזית המפרץ/קו החוף,25,07:55:00,1779.0,3122.0
2025,12,יום חול,300,פאתי מודיעין,156,07:55:00,3705.0,20.0
2025,12,יום חול,1250,כפר ברוך,67,07:55:00,1975.0,48.0
2025,12,יום חול,2500,עתלית,66,07:55:00,706.0,0.0
2025,12,יום חול,3700,,622,07:55:00,,
2025,12,יום חול,4170,קרית אריה,308,07:55:00,76.0,686.0
2025,12,יום חול,3700,תל אביב מרכז,622,07:55:00,375.0,5053.0
2025,12,יום חול,7300,באר שבע צפון,401,07:55:00,8.0,3390.0
2025,12,שישי,7300,באר שבע צפון,6021,07:55:00,0.0,94.0
2026,1,יום חול,300,,156,07:55:00,,
2025,12,שישי,5000,לוד,6223,07:55:00,77.0,55.0
2026,1,יום חול,1220,מרכזית המפרץ/קו החוף,25,07:55:00,1606.0,2796.0
2025,12,שישי,9700,אופקים,6847,07:55:00,23.0,0.0
2026,1,יום חול,300,פאתי מודיעין,156,07:55:00,3804.0,17.0
2025,12,שישי,1220,מרכזית המפרץ/קו החוף,6020,07:55:00,51.0,169.0
2026,1,יום חול,2500,,66,07:55:00,,
2026,1,יום חול,1250,כפר ברוך,67,07:55:00,1793.0,32.0
2026,1,יום חול,2500,עתלית,66,07:55:00,558.0,0.0
2026,1,יום חול,4170,קרית אריה,308,07:55:00,61.0,610.0
2026,1,יום חול,7300,באר שבע צפון,401,07:55:00,10.0,2927.0
2026,1,שישי,5000,לוד,6223,07:55:00,81.0,72.0
2026,1,שישי,1220,מרכזית המפרץ/קו החוף,6020,07:55:00,71.0,156.0
2026,1,שישי,1220,מרכזית המפרץ/קו החוף,8020,07:55:00,3.0,2.0
2026,1,שישי,7300,באר שבע צפון,6021,07:55:00,0.0,93.0
2026,1,יום חול,3700,תל אביב מרכז,622,07:55:00,364.0,4537.0
2026,1,שישי,9700,אופקים,6847,07:55:00,39.0,1.0
2025,12,יום חול,1400,קרית מוצקין,152,07:56:00,308.0,337.0
2025,12,יום חול,3400,,959,07:56:00,,
2025,12,יום חול,3700,תל אביב מרכז,227,07:56:00,1003.0,9333.0
2025,12,יום חול,3600,תא אוניברסיטה,718,07:56:00,16.0,2872.0
2025,12,יום חול,3600,תא אוניברסיטה,153,07:56:00,259.0,4712.0
2025,12,יום חול,5800,אשדוד עד הלום,617,07:56:00,649.0,682.0
2025,12,יום חול,4900,תל אביב ההגנה,505,07:56:00,424.0,566.0
2025,12,יום חול,8700,כפר סבא,620,07:56:00,478.0,409.0
2025,12,שישי,2820,קיסריה פרדס חנה,6224,07:56:00,13.0,76.0
2025,12,שישי,3500,הרצליה,6502,07:56:00,57.0,64.0
2025,12,שישי,3700,תל אביב מרכז,6505,07:56:00,58.0,104.0
2025,12,יום חול,9800,"רשל""צ משה דיין",619,07:56:00,539.0,2526.0
2026,1,יום חול,1400,קרית מוצקין,152,07:56:00,305.0,338.0
2025,12,יום חול,9800,,619,07:56:00,,
2026,1,יום חול,3700,תל אביב מרכז,227,07:56:00,920.0,7905.0
2026,1,יום חול,3600,תא אוניברסיטה,153,07:56:00,345.0,4074.0
2025,12,שישי,9700,אופקים,6847,07:56:00,6.0,4.0
2026,1,יום חול,3600,תא אוניברסיטה,718,07:56:00,27.0,2465.0
2026,1,יום חול,4900,תל אביב ההגנה,505,07:56:00,395.0,592.0
2026,1,יום חול,9800,"רשל""צ משה דיין",619,07:56:00,541.0,2712.0
2026,1,שישי,3700,תל אביב מרכז,6505,07:56:00,63.0,97.0
2026,1,יום חול,8700,כפר סבא,620,07:56:00,431.0,320.0
2026,1,שישי,2820,קיסריה פרדס חנה,6224,07:56:00,3.0,83.0
2026,1,יום חול,5800,אשדוד עד הלום,617,07:56:00,555.0,696.0
2026,1,שישי,3500,הרצליה,6502,07:56:00,85.0,114.0
2025,12,יום חול,2300,חוף הכרמל,444,07:57:00,123.0,0.0
2025,12,יום חול,2200,בת גלים,102,07:57:00,296.0,2250.0
2025,12,יום חול,3310,,228,07:57:00,,
2025,12,יום חול,3310,נתניה קריית ספיר,228,07:57:00,288.0,1486.0
2025,12,יום חול,4600,השלום,307,07:57:00,334.0,2470.0
2025,12,יום חול,5300,באר יעקב,225,07:57:00,331.0,446.0
2025,12,יום חול,8800,,309,07:57:00,,
2025,12,יום חול,9700,,628,07:57:00,,
2025,12,שישי,3600,תא אוניברסיטה,6620,07:57:00,42.0,268.0
2026,1,יום חול,2300,חוף הכרמל,444,07:57:00,163.0,0.0
2026,1,יום חול,2200,בת גלים,102,07:57:00,262.0,2189.0
2026,1,יום חול,4600,השלום,307,07:57:00,290.0,2663.0
2026,1,יום חול,3310,נתניה קריית ספיר,228,07:57:00,318.0,1417.0
2026,1,שישי,3600,תא אוניברסיטה,6620,07:57:00,44.0,221.0
2026,1,יום חול,5300,באר יעקב,225,07:57:00,304.0,444.0
2025,12,יום חול,2800,,105,07:58:00,,
2025,12,יום חול,4600,,230,07:58:00,,
2025,12,יום חול,3700,תל אביב מרכז,104,07:58:00,2020.0,2377.0
2025,12,יום חול,4600,השלום,230,07:58:00,544.0,6385.0
2025,12,יום חול,8600,"נתב""ג",721,07:58:00,3104.0,1410.0
2025,12,שישי,2100,חיפה מרכז,6442,07:58:00,99.0,0.0
2025,12,שישי,8600,"נתב""ג",6723,07:58:00,134.0,844.0
2025,12,שישי,4900,תל אביב ההגנה,6125,07:58:00,63.0,2.0
2026,1,יום חול,3700,תל אביב מרכז,104,07:58:00,1598.0,2133.0
2025,12,שישי,6900,מזכרת בתיה,6023,07:58:00,9.0,23.0
2026,1,יום חול,4600,השלום,230,07:58:00,648.0,6761.0
2026,1,שישי,2100,חיפה מרכז,6442,07:58:00,87.0,6.0
2026,1,שישי,8600,"נתב""ג",6723,07:58:00,264.0,990.0
2026,1,יום חול,8600,"נתב""ג",721,07:58:00,2454.0,1293.0
2026,1,שישי,4900,תל אביב ההגנה,6125,07:58:00,83.0,8.0
2026,1,שישי,6900,מזכרת בתיה,6023,07:58:00,18.0,35.0
2025,12,יום חול,680,ירושלים/יצחק נבון,550,07:59:00,1167.0,0.0
2025,12,שישי,1230,מרכזית המפרץ,6066,07:59:00,41.0,20.0
2025,12,יום חול,9200,הוד השרון,620,07:59:00,511.0,244.0
2026,1,יום חול,680,ירושלים/יצחק נבון,550,07:59:00,930.0,0.0
2026,1,יום חול,680,,550,07:59:00,,
2025,12,שישי,1300,חוצות מפרץ,6020,07:59:00,10.0,26.0
2025,12,שישי,9000,יבנה מערב,6615,07:59:00,13.0,72.0
2026,1,יום חול,9200,הוד השרון,620,07:59:00,481.0,211.0
2026,1,שישי,1300,חוצות מפרץ,6020,07:59:00,8.0,26.0
2026,1,שישי,1230,מרכזית המפרץ,6066,07:59:00,70.0,34.0
2026,1,שישי,9000,יבנה מערב,6615,07:59:00,11.0,80.0
2026,1,שישי,1300,חוצות מפרץ,8020,07:59:00,2.0,0.0
2025,12,יום חול,1300,,445,08:00:00,,
2025,12,יום חול,1300,חוצות מפרץ,445,08:00:00,140.0,304.0
2025,12,יום חול,3600,,622,08:00:00,,
2025,12,יום חול,4600,השלום,227,08:00:00,473.0,8182.0
2025,12,יום חול,3500,הרצליה,402,08:00:00,2150.0,1495.0
2025,12,יום חול,3600,תא אוניברסיטה,622,08:00:00,1587.0,3854.0
2025,12,יום חול,4250,סגולה,308,08:00:00,14.0,222.0
2025,12,יום חול,4250,,308,08:00:00,,
2025,12,שישי,4600,השלום,6505,08:00:00,27.0,88.0
