Year,Month,WeekPeriod,train_station_code,StationName,Train_number,Planned_Train_Arrivel_Time,PassengersAscending,PassengersDescending,event_type
2026,3,יום חול,2800,,1008,04:00:00,,,to_tlv
2026,3,יום חול,2800,,8,04:00:00,,,to_tlv
2026,3,שישי,2800,,6008,04:00:00,,,to_tlv
2026,3,יום חול,3100,,1005,04:01:00,,,from_tlv
2026,3,יום חול,1400,,7,04:01:00,,,from_tlv
2026,3,שישי,1400,,6007,04:01:00,,,from_tlv
2026,3,יום חול,3100,,5,04:01:00,,,from_tlv
2026,3,יום חול,8600,,707,04:01:00,,,to_tlv
2026,3,יום חול,8600,,9707,04:01:00,,,to_tlv
2026,3,יום חול,8600,,707,04:01:00,,,to_tlv
2026,3,שישי,8600,"נתב""ג",6707,04:01:00,17.0,1.0,to_tlv
2026,3,יום חול,8600,"נתב""ג",707,04:01:00,59.0,2.0,to_tlv
2026,3,שישי,3100,,6005,04:01:00,,,from_tlv
2026,3,יום חול,3100,,5,04:02:00,,,from_tlv
2026,3,יום חול,1500,,6,04:03:00,,,to_tlv
2026,3,יום חול,8600,,707,04:03:00,,,to_tlv
2026,3,שישי,1500,,6006,04:03:00,,,to_tlv
2026,3,יום חול,8600,,1010,04:06:00,,,from_tlv
2026,3,יום חול,8600,,10,04:06:00,,,from_tlv
2026,3,שישי,8600,,6010,04:06:00,,,from_tlv
2026,3,יום חול,3700,,706,04:07:00,,,to_tlv
2026,3,יום חול,3700,,9706,04:07:00,,,to_tlv
2026,3,יום חול,3700,תל אביב מרכז,706,04:07:00,0.0,17.0,to_tlv
2026,3,יום חול,3700,תל אביב מרכז,706,04:07:00,0.0,2.0,to_tlv
2026,3,יום חול,3700,,706,04:07:00,,,to_tlv
2026,3,שישי,3700,תל אביב מרכז,6706,04:07:00,0.0,3.0,to_tlv
2026,3,יום חול,1220,,7,04:10:00,,,from_tlv
2026,3,יום חול,3300,,1005,04:11:00,,,from_tlv
2026,3,יום חול,3300,,5,04:11:00,,,from_tlv
2026,3,שישי,3300,,6005,04:11:00,,,from_tlv
2026,3,יום חול,3300,,5,04:12:00,,,from_tlv
2026,3,יום חול,7320,,8091,04:12:00,,,to_tlv
2026,3,יום חול,7320,באר שבע מרכז,8091,04:12:00,0.0,25.0,to_tlv
2026,3,שישי,7320,באר שבע מרכז,8091,04:12:00,0.0,3.0,to_tlv
2026,3,יום חול,1600,,6,04:16:00,,,to_tlv
2026,3,שישי,1600,,6006,04:16:00,,,to_tlv
2026,3,יום חול,2100,,7,04:17:00,,,from_tlv
2026,3,יום חול,3400,,5,04:17:00,,,from_tlv
2026,3,יום חול,4600,,10,04:17:00,,,to_tlv
2026,3,יום חול,3500,,706,04:17:00,,,to_tlv
