FromStationName,ToStationName,Month,Year,SUM_Values_Pass
קרית גת,בת גלים,1,2026,204
רעננה מערב,רמלה,1,2026,132
השלום,רעננה מערב,1,2026,7581
מזכרת בתיה,רמלה,1,2026,385
אופקים,יבנה מזרח,1,2026,42
מזכרת בתיה,חיפה מרכז,1,2026,140
אשקלון,צומת חולון,1,2026,678
עכו,יבנה מערב,1,2026,200
תל אביב ההגנה,רעננה דרום,1,2026,601
רחובות,חוצות מפרץ,1,2026,126
מזכרת בתיה,ירושלים/יצחק נבון,1,2026,156
פאתי מודיעין,קרית אריה,1,2026,64
מרכזית המפרץ/קו החוף,קרית אריה,1,2026,598
עפולה,סגולה,1,2026,28
לוד גני אביב,עפולה,1,2026,23
אחיהוד,בית יהושע,1,2026,23
לוד,חדרה מערב,1,2026,1542
סגולה,הוד השרון,1,2026,124
פאתי מודיעין,יבנה מזרח,1,2026,17
קרית גת,שדרות,1,2026,10
באר שבע מרכז,מזכרת בתיה,1,2026,2712
קרית חיים,"רשל""צ משה דיין",1,2026,110
רמלה,קרית גת,1,2026,1294
מודיעין מרכז,רעננה מערב,1,2026,160
הרצליה,באר שבע מרכז,1,2026,3801
כפר חבד,תא אוניברסיטה,1,2026,2194
חוף הכרמל,כפר ברוך,1,2026,1205
הוד השרון,דימונה,1,2026,1
אופקים,חוף הכרמל,1,2026,372
אחיהוד,"נתב""ג",1,2026,153
קיסריה פרדס חנה,נהריה,1,2026,452
אשדוד עד הלום,"רשל""צ משה דיין",1,2026,6429
הוד השרון,חיפה מרכז,1,2026,171
באר שבע מרכז,השלום,1,2026,13715
רעננה דרום,מזכרת בתיה,1,2026,66
עכו,רעננה דרום,1,2026,96
באר שבע צפון,רעננה מערב,1,2026,333
תל אביב ההגנה,עכו,1,2026,2115
קרית גת,להבים רהט,1,2026,386
חולון וולפסון,להבים רהט,1,2026,59
רעננה מערב,יבנה מערב,1,2026,413
כפר חבד,קרית מוצקין,1,2026,391
רמלה,באר שבע צפון,1,2026,1430
רעננה מערב,כפר חבד,1,2026,75
נתניה,בית שאן,1,2026,197
בני ברק,"נתב""ג",1,2026,142
דימונה,לוד גני אביב,1,2026,2
ירושלים/יצחק נבון,נתניה קריית ספיר,1,2026,3824
עפולה,עכו,1,2026,382
יבנה מזרח,רעננה מערב,1,2026,23
ראש העין צפון,עפולה,1,2026,56
סגולה,שדרות,1,2026,359
יבנה מערב,באר יעקב,1,2026,52
דימונה,כפר יהושע,1,2026,1
ירושלים/יצחק נבון,בת ים קוממיות,1,2026,1251
בת גלים,הוד השרון,1,2026,297
חוף הכרמל,כרמיאל,1,2026,5187
חוף הכרמל,קרית מוצקין,1,2026,3611
חוצות מפרץ,רעננה מערב,1,2026,15
בית יהושע,חוף הכרמל,1,2026,1003
הרצליה,קרית אריה,1,2026,1266
רעננה דרום,השלום,1,2026,2374
קרית מלאכי,נתניה,1,2026,229
נתניה,נתיבות,1,2026,530
כפר ברוך,באר שבע צפון,1,2026,49
לוד,נתניה קריית ספיר,1,2026,1027
קרית אריה,אשדוד עד הלום,1,2026,2044
קרית מוצקין,"נתב""ג",1,2026,7442
תל אביב מרכז,כפר חבד,1,2026,4894
קרית מוצקין,מודיעין מרכז,1,2026,579
אחיהוד,כרמיאל,1,2026,184
ראש העין צפון,לוד גני אביב,1,2026,31
סגולה,נתניה,1,2026,126
עכו,דימונה,1,2026,9
בית שמש,כפר יהושע,1,2026,13
קרית מוצקין,נתניה קריית ספיר,1,2026,672
השלום,יבנה מערב,1,2026,15622
אופקים,עתלית,1,2026,32
השלום,רמלה,1,2026,7546
יבנה מערב,תל אביב ההגנה,1,2026,5296
קרית מוצקין,בית יהושע,1,2026,270
צומת חולון,עפולה,1,2026,17
תל אביב ההגנה,אופקים,1,2026,1376
פאתי מודיעין,חוף הכרמל,1,2026,835
חיפה מרכז,תל אביב מרכז,1,2026,8690
כרמיאל,להבים רהט,1,2026,115
נתניה,תל אביב מרכז,1,2026,30263
בני ברק,כרמיאל,1,2026,138
ראש העין צפון,כפר יהושע,1,2026,30
נהריה,בני ברק,1,2026,207
חולון וולפסון,שדרות,1,2026,410
בית שאן,כפר סבא,1,2026,62
כפר יהושע,תל אביב מרכז,1,2026,1569
בני ברק,עפולה,1,2026,36
נתיבות,עפולה,1,2026,37
שדרות,נהריה,1,2026,204
עכו,ראשונים,1,2026,25
מודיעין מרכז,חוצות מפרץ,1,2026,284
נתניה קריית ספיר,בית שמש,1,2026,126
סגולה,להבים רהט,1,2026,26
קרית גת,נתניה,1,2026,643
קרית מוצקין,חדרה מערב,1,2026,1120
הוד השרון,יבנה מערב,1,2026,627
קרית מלאכי,מודיעין מרכז,1,2026,36
עפולה,קרית מלאכי,1,2026,53
נתניה קריית ספיר,סגולה,1,2026,88
מרכזית המפרץ/קו החוף,כפר יהושע,1,2026,1668
יבנה מזרח,בת גלים,1,2026,79
בני ברק,תל אביב מרכז,1,2026,803
נתיבות,באר שבע צפון,1,2026,3112
קרית חיים,בית שמש,1,2026,33
רעננה מערב,דימונה,1,2026,1
בת גלים,כפר ברוך,1,2026,1875
בית שאן,נהריה,1,2026,412
רמלה,כפר חבד,1,2026,45
אחיהוד,קרית מוצקין,1,2026,431
בני ברק,כפר סבא,1,2026,2314
