Year,Month,StationName,Ascending_pass,Descending_pass,Rank
2025,11,השלום,767707,770630,2 מתוך 67
2025,11,כפר חבד,29870,29485,48 מתוך 67
2025,11,להבים רהט,20933,20888,56 מתוך 67
2025,11,אופקים,34844,36161,42 מתוך 67
2025,11,הרצליה,323738,324001,6 מתוך 67
2025,11,לוד גני אביב,20835,20737,57 מתוך 67
2025,11,באר שבע מרכז,104759,106321,21 מתוך 67
2025,11,בנימינה,257510,251528,7 מתוך 67
2025,11,כפר יהושע,20692,19178,58 מתוך 67
2025,11,נהריה,141451,140303,16 מתוך 67
2025,11,באר יעקב,48808,47184,35 מתוך 67
2025,11,ירושלים/יצחק נבון,402682,404659,4 מתוך 67
2025,11,נתיבות,27504,27152,50 מתוך 67
2025,11,באר שבע צפון,91184,91835,23 מתוך 67
2025,11,בית שאן,25294,23012,52 מתוך 67
2025,11,חוצות מפרץ,30769,30953,44 מתוך 67
2025,11,מודיעין מרכז,107565,106403,20 מתוך 67
2025,11,מרכזית המפרץ,21237,22542,55 מתוך 67
2025,11,בת ים קוממיות,28341,25922,49 מתוך 67
2025,11,עכו,80421,80095,27 מתוך 67
2025,11,חדרה מערב,139402,134015,18 מתוך 67
2025,11,שדרות,33566,33261,43 מתוך 67
2025,11,חולון וולפסון,26755,25939,51 מתוך 67
2025,11,קיסריה פרדס חנה,71967,70109,29 מתוך 67
2025,11,נתניה,157622,162086,11 מתוך 67
2025,11,מזכרת בתיה,30133,30737,46 מתוך 67
2025,11,"נתב""ג",222471,228851,8 מתוך 67
2025,11,בית יהושע,91827,89068,22 מתוך 67
2025,11,ראשונים,7923,7007,66 מתוך 67
2025,11,חוף הכרמל,182921,194136,10 מתוך 67
2025,11,בת ים יוספטל,57347,61140,32 מתוך 67
2025,11,כפר סבא,55117,55755,33 מתוך 67
2025,11,רעננה דרום,14775,16149,62 מתוך 67
2025,11,עפולה,46884,44229,36 מתוך 67
2025,11,בית שמש,38322,37591,40 מתוך 67
2025,11,דימונה,1241,828,67 מתוך 67
2025,11,קרית מוצקין,82322,79270,26 מתוך 67
2025,11,"רשל""צ משה דיין",87074,91948,25 מתוך 67
2025,11,בני ברק,29930,30954,47 מתוך 67
2025,11,עתלית,24387,23824,53 מתוך 67
2025,11,רמלה,35855,35701,41 מתוך 67
2025,11,הוד השרון,45755,43690,39 מתוך 67
2025,11,כפר ברוך,12904,11744,65 מתוך 67
2025,11,אשקלון,147831,148489,14 מתוך 67
2025,11,בת גלים,110948,113204,19 מתוך 67
2025,11,קרית אריה,46106,40442,38 מתוך 67
2025,11,מרכזית המפרץ/קו החוף,141634,141971,15 מתוך 67
2025,11,תל אביב ההגנה,364255,372821,5 מתוך 67
2025,11,סגולה,24145,23496,54 מתוך 67
2025,11,פאתי מודיעין,46818,47736,37 מתוך 67
2025,11,כרמיאל,89289,83358,24 מתוך 67
2025,11,רעננה מערב,30448,28733,45 מתוך 67
2025,11,חיפה מרכז,196995,191089,9 מתוך 67
2025,11,קרית מלאכי,20664,20799,59 מתוך 67
2025,11,קרית גת,54524,54183,34 מתוך 67
2025,11,תא אוניברסיטה,455618,461838,3 מתוך 67
2025,11,אשדוד עד הלום,157556,160052,12 מתוך 67
2025,11,קרית חיים,18558,17309,60 מתוך 67
2025,11,לוד,157014,163029,13 מתוך 67
2025,11,ראש העין צפון,57953,57190,31 מתוך 67
2025,11,צומת חולון,13109,15909,64 מתוך 67
2025,11,אחיהוד,13676,12922,63 מתוך 67
2025,11,יבנה מזרח,18382,18160,61 מתוך 67
2025,11,יבנה מערב,73469,73622,28 מתוך 67
2025,11,נתניה קריית ספיר,61117,69425,30 מתוך 67
2025,11,רחובות,140508,142063,17 מתוך 67
2025,11,תל אביב מרכז,788918,768543,1 מתוך 67
