Year,Month,StationName,Ascending_pass,Descending_pass,Rank
2026,4,רעננה דרום,5033,5405,64 מתוך 67
2026,4,הרצליה,203564,207831,5 מתוך 67
2026,4,אופקים,26160,25086,42 מתוך 67
2026,4,לוד גני אביב,14306,14315,53 מתוך 67
2026,4,נתיבות,25286,25004,43 מתוך 67
2026,4,בית שאן,15736,14838,50 מתוך 67
2026,4,כפר יהושע,4485,4254,65 מתוך 67
2026,4,ירושלים/יצחק נבון,260921,253703,4 מתוך 67
2026,4,נהריה,84635,83534,18 מתוך 67
2026,4,יבנה מערב,47477,49211,26 מתוך 67
2026,4,עפולה,27307,26282,41 מתוך 67
2026,4,קרית מוצקין,50816,48698,25 מתוך 67
2026,4,רחובות,92738,94343,15 מתוך 67
2026,4,יבנה מזרח,14818,13832,52 מתוך 67
2026,4,נתניה קריית ספיר,35061,42938,33 מתוך 67
2026,4,תל אביב מרכז,488002,469432,1 מתוך 67
2026,4,פאתי מודיעין,28818,29460,38 מתוך 67
2026,4,עתלית,14265,13734,54 מתוך 67
2026,4,מרכזית המפרץ/קו החוף,77574,77308,19 מתוך 67
2026,4,כרמיאל,43956,41248,28 מתוך 67
2026,4,בני ברק,19185,19404,47 מתוך 67
2026,4,בית שמש,27442,26475,39 מתוך 67
2026,4,"רשל""צ משה דיין",60539,63942,23 מתוך 67
2026,4,תל אביב ההגנה,201928,206656,6 מתוך 67
2026,4,בת גלים,70826,73289,21 מתוך 67
2026,4,באר שבע מרכז,85195,83018,17 מתוך 67
2026,4,להבים רהט,13646,13348,55 מתוך 67
2026,4,בנימינה,159597,156951,7 מתוך 67
2026,4,אשקלון,109898,110515,11 מתוך 67
2026,4,כפר סבא,34596,35595,34 מתוך 67
2026,4,קרית אריה,30037,25264,36 מתוך 67
2026,4,ראשונים,5064,4654,63 מתוך 67
2026,4,חולון וולפסון,19424,20086,46 מתוך 67
2026,4,נתניה,101191,103699,13 מתוך 67
2026,4,בית יהושע,56507,55493,24 מתוך 67
2026,4,קיסריה פרדס חנה,43272,43422,29 מתוך 67
2026,4,לוד,110242,114591,10 מתוך 67
2026,4,ראש העין צפון,36599,36768,32 מתוך 67
2026,4,חוף הכרמל,112947,119602,9 מתוך 67
2026,4,"נתב""ג",102533,102338,12 מתוך 67
2026,4,בת ים יוספטל,42899,46402,30 מתוך 67
2026,4,אחיהוד,6609,6326,61 מתוך 67
2026,4,רמלה,23846,23699,44 מתוך 67
2026,4,הוד השרון,29394,28914,37 מתוך 67
2026,4,סגולה,15011,15166,51 מתוך 67
2026,4,כפר ברוך,8191,7593,59 מתוך 67
2026,4,חוצות מפרץ,10957,10811,58 מתוך 67
2026,4,באר שבע צפון,63236,63980,22 מתוך 67
2026,4,השלום,483083,501460,2 מתוך 67
2026,4,כפר חבד,17206,16920,49 מתוך 67
2026,4,מודיעין מרכז,71205,68942,20 מתוך 67
2026,4,חיפה מרכז,100048,91990,14 מתוך 67
2026,4,קרית גת,36968,35017,31 מתוך 67
2026,4,קרית מלאכי,13417,13357,56 מתוך 67
2026,4,באר יעקב,32527,31621,35 מתוך 67
2026,4,חדרה מערב,86749,84356,16 מתוך 67
2026,4,דימונה,733,506,66 מתוך 67
2026,4,צומת חולון,0,0,67 מתוך 67
2026,4,בת ים קוממיות,7430,7003,60 מתוך 67
2026,4,מרכזית המפרץ,12210,12805,57 מתוך 67
2026,4,שדרות,27313,27156,40 מתוך 67
2026,4,רעננה מערב,17699,17510,48 מתוך 67
2026,4,קרית חיים,6333,6112,62 מתוך 67
2026,4,מזכרת בתיה,21310,21025,45 מתוך 67
2026,4,תא אוניברסיטה,268667,268650,3 מתוך 67
2026,4,אשדוד עד הלום,115765,118960,8 מתוך 67
2026,4,עכו,45120,44056,27 מתוך 67
