FromStationName,ToStationName,Month,Year,SUM_Values_Pass
תא אוניברסיטה,חיפה מרכז,10,2025,2496
ראש העין צפון,באר שבע מרכז,10,2025,1207
חולון וולפסון,מודיעין מרכז,11,2025,181
עכו,עתלית,10,2025,102
חיפה מרכז,עפולה,10,2025,2892
מודיעין מרכז,חיפה מרכז,11,2025,701
אופקים,קרית מוצקין,10,2025,189
נתניה קריית ספיר,קיסריה פרדס חנה,10,2025,2506
בני ברק,חולון וולפסון,11,2025,358
סגולה,פאתי מודיעין,10,2025,18
כפר יהושע,עפולה,10,2025,1126
כפר חבד,נתניה,11,2025,862
כפר ברוך,בית שאן,10,2025,497
הרצליה,להבים רהט,10,2025,631
ראש העין צפון,חוף הכרמל,11,2025,713
מודיעין מרכז,יבנה מערב,11,2025,199
דימונה,רמלה,10,2025,7
פאתי מודיעין,צומת חולון,10,2025,15
השלום,בית יהושע,10,2025,21118
חיפה מרכז,מרכזית המפרץ/קו החוף,10,2025,911
מודיעין מרכז,ירושלים/יצחק נבון,11,2025,24146
בית שאן,תל אביב מרכז,10,2025,1312
בת גלים,נתניה,11,2025,1475
תא אוניברסיטה,בנימינה,11,2025,16630
ראש העין צפון,"נתב""ג",11,2025,261
ראשונים,חוף הכרמל,11,2025,126
בת ים יוספטל,אופקים,10,2025,469
רעננה דרום,עכו,10,2025,42
חדרה מערב,שדרות,11,2025,306
רחובות,קרית מלאכי,10,2025,39
צומת חולון,חוף הכרמל,11,2025,123
קרית גת,בית יהושע,11,2025,248
תל אביב ההגנה,כפר יהושע,10,2025,192
קיסריה פרדס חנה,באר שבע צפון,11,2025,262
עתלית,תל אביב מרכז,11,2025,3681
הוד השרון,עתלית,10,2025,37
רמלה,סגולה,10,2025,61
באר שבע צפון,בנימינה,10,2025,1054
להבים רהט,נתיבות,10,2025,11
נהריה,קרית חיים,10,2025,1255
כפר סבא,יבנה מזרח,10,2025,9
להבים רהט,תא אוניברסיטה,10,2025,866
אשדוד עד הלום,פאתי מודיעין,11,2025,78
נתיבות,יבנה מזרח,10,2025,27
בת ים יוספטל,לוד גני אביב,11,2025,155
פאתי מודיעין,להבים רהט,10,2025,10
צומת חולון,יבנה מזרח,11,2025,4
קרית מוצקין,נהריה,10,2025,8152
ירושלים/יצחק נבון,בני ברק,11,2025,824
"נתב""ג",באר שבע צפון,11,2025,1614
להבים רהט,קיסריה פרדס חנה,11,2025,64
נהריה,נתיבות,11,2025,131
חולון וולפסון,חדרה מערב,11,2025,305
חוצות מפרץ,חיפה מרכז,11,2025,547
לוד גני אביב,בת ים יוספטל,10,2025,124
אשקלון,בת גלים,11,2025,467
קרית אריה,מודיעין מרכז,10,2025,142
בנימינה,עפולה,11,2025,231
כרמיאל,ירושלים/יצחק נבון,10,2025,2241
שדרות,לוד גני אביב,10,2025,30
הוד השרון,השלום,11,2025,13101
קרית גת,בנימינה,11,2025,592
יבנה מערב,ירושלים/יצחק נבון,10,2025,1023
כפר יהושע,קרית אריה,11,2025,41
נהריה,חולון וולפסון,11,2025,195
כרמיאל,עכו,11,2025,166
קרית מלאכי,לוד גני אביב,11,2025,5
בת ים קוממיות,כפר ברוך,11,2025,5
אשדוד עד הלום,יבנה מזרח,10,2025,1442
תא אוניברסיטה,לוד גני אביב,11,2025,1739
כפר יהושע,ראשונים,10,2025,11
הרצליה,רעננה דרום,11,2025,440
סגולה,לוד גני אביב,11,2025,8
באר שבע מרכז,אשקלון,10,2025,3239
אשדוד עד הלום,עתלית,10,2025,123
תא אוניברסיטה,באר יעקב,10,2025,2696
יבנה מזרח,כפר יהושע,10,2025,3
בית שאן,סגולה,10,2025,46
אשדוד עד הלום,כרמיאל,11,2025,388
לוד,חוף הכרמל,11,2025,1457
אשדוד עד הלום,תל אביב ההגנה,10,2025,5608
חוצות מפרץ,לוד גני אביב,10,2025,11
חדרה מערב,הרצליה,10,2025,5618
ירושלים/יצחק נבון,קרית אריה,11,2025,1297
חוף הכרמל,עכו,10,2025,3248
כרמיאל,ראש העין צפון,10,2025,245
שדרות,כרמיאל,11,2025,142
תל אביב מרכז,אשדוד עד הלום,11,2025,18938
מרכזית המפרץ/קו החוף,פאתי מודיעין,10,2025,318
קרית אריה,כפר יהושע,11,2025,37
יבנה מערב,נתיבות,11,2025,981
בית שמש,בית שאן,10,2025,32
בני ברק,נהריה,11,2025,131
אשקלון,עתלית,10,2025,109
סגולה,כפר ברוך,11,2025,13
להבים רהט,נהריה,10,2025,145
כרמיאל,באר שבע מרכז,10,2025,2542
עכו,בת ים קוממיות,10,2025,96
ראש העין צפון,הרצליה,11,2025,1298
קרית חיים,כרמיאל,11,2025,628
פאתי מודיעין,קרית מלאכי,10,2025,6
כפר חבד,עפולה,10,2025,25
חדרה מערב,"רשל""צ משה דיין",11,2025,1082
צומת חולון,רעננה דרום,10,2025,100
מודיעין מרכז,כרמיאל,10,2025,440
יבנה מערב,קרית חיים,10,2025,52
בית יהושע,סגולה,11,2025,56
קרית מלאכי,"נתב""ג",11,2025,151
תל אביב מרכז,כפר יהושע,10,2025,978
"נתב""ג",קרית מוצקין,11,2025,7274
קרית גת,עפולה,11,2025,113
בת ים יוספטל,חולון וולפסון,10,2025,174
רחובות,הוד השרון,11,2025,582
ראש העין צפון,אופקים,10,2025,453
עפולה,רעננה דרום,10,2025,10
קיסריה פרדס חנה,בת ים יוספטל,11,2025,189
בית שאן,כפר חבד,10,2025,16
להבים רהט,פאתי מודיעין,11,2025,16
הרצליה,בנימינה,11,2025,6894
רעננה מערב,צומת חולון,11,2025,106
