FromStationName,ToStationName,Month,Year,SUM_Values_Pass
השלום,בנימינה,4,2026,22897
יבנה מזרח,בית שאן,4,2026,7
באר שבע צפון,עכו,4,2026,271
רמלה,מזכרת בתיה,4,2026,273
הרצליה,יבנה מערב,4,2026,557
אופקים,בת ים קוממיות,4,2026,52
סגולה,השלום,4,2026,3439
חוצות מפרץ,רעננה דרום,4,2026,9
בת גלים,קרית מוצקין,4,2026,6710
חוצות מפרץ,בית שאן,4,2026,72
אשדוד עד הלום,כפר סבא,4,2026,549
הוד השרון,מזכרת בתיה,4,2026,52
תל אביב ההגנה,חולון וולפסון,4,2026,552
יבנה מזרח,נהריה,4,2026,58
"רשל""צ משה דיין",באר יעקב,4,2026,15
נתניה,אשדוד עד הלום,4,2026,1944
תל אביב מרכז,באר שבע צפון,4,2026,9249
"רשל""צ משה דיין",בני ברק,4,2026,1155
תל אביב ההגנה,יבנה מזרח,4,2026,609
"נתב""ג",קרית אריה,4,2026,108
ראשונים,כרמיאל,4,2026,39
רמלה,קרית חיים,4,2026,18
קרית מוצקין,קיסריה פרדס חנה,4,2026,474
קיסריה פרדס חנה,רעננה דרום,4,2026,72
נתניה קריית ספיר,לוד גני אביב,4,2026,65
פאתי מודיעין,אשקלון,4,2026,46
בית יהושע,מודיעין מרכז,4,2026,257
רעננה מערב,כפר סבא,4,2026,219
לוד גני אביב,קרית מלאכי,4,2026,17
רחובות,באר שבע צפון,4,2026,1332
בית שמש,בת גלים,4,2026,119
הרצליה,רמלה,4,2026,512
עפולה,אשקלון,4,2026,166
חדרה מערב,כפר ברוך,4,2026,14
מרכזית המפרץ/קו החוף,כפר חבד,4,2026,125
אשדוד עד הלום,לוד,4,2026,3517
בית שאן,שדרות,4,2026,63
לוד,סגולה,4,2026,63
אשקלון,אחיהוד,4,2026,24
ראש העין צפון,מודיעין מרכז,4,2026,74
בת ים קוממיות,באר שבע צפון,4,2026,88
חוף הכרמל,פאתי מודיעין,4,2026,393
"רשל""צ משה דיין",מודיעין מרכז,4,2026,133
הוד השרון,ראש העין צפון,4,2026,455
כפר חבד,באר שבע צפון,4,2026,68
"רשל""צ משה דיין",נתניה קריית ספיר,4,2026,533
סגולה,ראשונים,4,2026,2
קרית אריה,חיפה מרכז,4,2026,120
תל אביב ההגנה,בת ים קוממיות,4,2026,120
"נתב""ג",ראשונים,4,2026,15
דימונה,מודיעין מרכז,4,2026,3
חיפה מרכז,חולון וולפסון,4,2026,90
יבנה מערב,חוצות מפרץ,4,2026,23
שדרות,באר שבע צפון,4,2026,1287
חוף הכרמל,חדרה מערב,4,2026,1552
לוד גני אביב,אחיהוד,4,2026,4
אשקלון,"רשל""צ משה דיין",4,2026,6105
כפר יהושע,חולון וולפסון,4,2026,4
"נתב""ג",באר שבע מרכז,4,2026,743
בני ברק,מודיעין מרכז,4,2026,66
ראש העין צפון,נתניה קריית ספיר,4,2026,107
מרכזית המפרץ/קו החוף,בת ים יוספטל,4,2026,390
עתלית,נתניה קריית ספיר,4,2026,187
בית שאן,קרית מוצקין,4,2026,149
בנימינה,הוד השרון,4,2026,302
רעננה מערב,באר שבע צפון,4,2026,177
עכו,לוד,4,2026,337
בני ברק,נתניה קריית ספיר,4,2026,226
קרית אריה,"רשל""צ משה דיין",4,2026,1444
כפר ברוך,עפולה,4,2026,169
נתניה,רעננה מערב,4,2026,331
חדרה מערב,מרכזית המפרץ/קו החוף,4,2026,1344
רחובות,אופקים,4,2026,447
בני ברק,חדרה מערב,4,2026,367
פאתי מודיעין,רמלה,4,2026,3
נתניה,בני ברק,4,2026,430
באר שבע מרכז,כרמיאל,4,2026,1030
ראשונים,באר יעקב,4,2026,8
באר שבע צפון,בית שאן,4,2026,103
כפר חבד,אופקים,4,2026,37
שדרות,באר שבע מרכז,4,2026,2139
כפר יהושע,אשקלון,4,2026,16
נתניה קריית ספיר,כפר יהושע,4,2026,8
הרצליה,חיפה מרכז,4,2026,1181
נהריה,יבנה מזרח,4,2026,53
ראשונים,חוף הכרמל,4,2026,76
חדרה מערב,שדרות,4,2026,233
ראש העין צפון,"נתב""ג",4,2026,90
חדרה מערב,נתניה,4,2026,2411
עתלית,מודיעין מרכז,4,2026,169
"רשל""צ משה דיין",חדרה מערב,4,2026,711
תא אוניברסיטה,בנימינה,4,2026,10342
נתניה קריית ספיר,מרכזית המפרץ/קו החוף,4,2026,452
יבנה מערב,אשקלון,4,2026,3645
חיפה מרכז,ירושלים/יצחק נבון,4,2026,1461
באר שבע מרכז,קרית מוצקין,4,2026,1368
חולון וולפסון,בנימינה,4,2026,521
לוד גני אביב,בית שמש,4,2026,131
עכו,קרית חיים,4,2026,262
"נתב""ג",באר שבע צפון,4,2026,655
בית יהושע,עתלית,4,2026,84
סגולה,"רשל""צ משה דיין",4,2026,564
תא אוניברסיטה,"רשל""צ משה דיין",4,2026,4240
כרמיאל,עתלית,4,2026,102
תל אביב ההגנה,אופקים,4,2026,867
קרית אריה,הוד השרון,4,2026,1459
בני ברק,עכו,4,2026,89
מרכזית המפרץ/קו החוף,ראש העין צפון,4,2026,349
מזכרת בתיה,עפולה,4,2026,55
מזכרת בתיה,קרית מוצקין,4,2026,142
נתיבות,עפולה,4,2026,8
חולון וולפסון,שדרות,4,2026,438
בת גלים,השלום,4,2026,5386
חוצות מפרץ,באר שבע מרכז,4,2026,79
מזכרת בתיה,כרמיאל,4,2026,25
סגולה,להבים רהט,4,2026,20
בת ים קוממיות,קרית גת,4,2026,50
בני ברק,עפולה,4,2026,18
יבנה מערב,יבנה מזרח,4,2026,5
בית שמש,רחובות,4,2026,468
דימונה,עפולה,4,2026,1
קרית חיים,נתניה,4,2026,79
כפר יהושע,עכו,4,2026,22
אשקלון,מרכזית המפרץ/קו החוף,4,2026,727
רחובות,ירושלים/יצחק נבון,4,2026,884
כפר חבד,יבנה מערב,4,2026,10
רחובות,תא אוניברסיטה,4,2026,8116
נתניה,אופקים,4,2026,380
לוד גני אביב,כפר ברוך,4,2026,4
באר שבע מרכז,אחיהוד,4,2026,104
אשקלון,מזכרת בתיה,4,2026,21
נתיבות,כפר ברוך,4,2026,16
סגולה,מרכזית המפרץ/קו החוף,4,2026,123
באר שבע צפון,חולון וולפסון,4,2026,290
בית שאן,פאתי מודיעין,4,2026,43
בנימינה,השלום,4,2026,22760
קרית מלאכי,שדרות,4,2026,14
רעננה דרום,ראשונים,4,2026,4
עפולה,בית שאן,4,2026,1143
נהריה,הרצליה,4,2026,2174
חדרה מערב,השלום,4,2026,17113
בנימינה,מזכרת בתיה,4,2026,208
קרית מלאכי,מרכזית המפרץ/קו החוף,4,2026,391
השלום,עפולה,4,2026,1642
כפר יהושע,בית שאן,4,2026,451
אופקים,קרית אריה,4,2026,409
"נתב""ג",נהריה,4,2026,1909
מרכזית המפרץ/קו החוף,באר שבע צפון,4,2026,891
שדרות,נתניה,4,2026,366
עפולה,אופקים,4,2026,53
עתלית,קיסריה פרדס חנה,4,2026,140
הרצליה,באר שבע צפון,4,2026,2572
בת גלים,מזכרת בתיה,4,2026,149
"רשל""צ משה דיין",תל אביב ההגנה,4,2026,1474
ירושלים/יצחק נבון,תל אביב מרכז,4,2026,43287
בני ברק,לוד גני אביב,4,2026,88
נתיבות,לוד גני אביב,4,2026,21
קרית אריה,שדרות,4,2026,507
חדרה מערב,דימונה,4,2026,12
קרית חיים,בת גלים,4,2026,893
רעננה דרום,בית יהושע,4,2026,3
יבנה מזרח,תא אוניברסיטה,4,2026,883
חולון וולפסון,מרכזית המפרץ/קו החוף,4,2026,168
"נתב""ג","רשל""צ משה דיין",4,2026,303
כפר יהושע,רעננה דרום,4,2026,4
חיפה מרכז,ראשונים,4,2026,32
באר יעקב,קיסריה פרדס חנה,4,2026,272
בת ים קוממיות,נהריה,4,2026,40
קרית מוצקין,כרמיאל,4,2026,2906
בית שמש,עפולה,4,2026,42
מודיעין מרכז,תא אוניברסיטה,4,2026,5955
"נתב""ג",הוד השרון,4,2026,299
מרכזית המפרץ/קו החוף,קרית אריה,4,2026,278
אשדוד עד הלום,נתניה,4,2026,1912
השלום,קרית מוצקין,4,2026,7938
שדרות,קרית גת,4,2026,7
דימונה,רחובות,4,2026,12
לוד גני אביב,כרמיאל,4,2026,28
חוף הכרמל,כפר יהושע,4,2026,375
רחובות,קרית מוצקין,4,2026,452
נתניה קריית ספיר,בת גלים,4,2026,459
הרצליה,לוד,4,2026,1882
שדרות,הוד השרון,4,2026,174
קיסריה פרדס חנה,קרית גת,4,2026,79
כרמיאל,תל אביב ההגנה,4,2026,1143
כפר ברוך,"רשל""צ משה דיין",4,2026,46
קיסריה פרדס חנה,הוד השרון,4,2026,146
חיפה מרכז,רעננה דרום,4,2026,35
שדרות,"רשל""צ משה דיין",4,2026,1155
חוף הכרמל,לוד גני אביב,4,2026,50
