Year,Month,WeekPeriod,train_station_code,StationName,Train_number,Planned_Train_Arrivel_Time,PassengersAscending,PassengersDescending,event_type
2025,11,יום חול,2800,בנימינה,1008,04:00:00,0.0,32.0,to_tlv
2025,11,יום חול,2800,בנימינה,8,04:00:00,4.0,112.0,to_tlv
2025,11,שישי,2800,בנימינה,6008,04:00:00,4.0,34.0,to_tlv
2025,11,שישי,2800,בנימינה,6008,04:00:00,0.0,28.0,to_tlv
2025,11,שישי,2800,בנימינה,8008,04:00:00,3.0,1.0,to_tlv
2025,11,יום חול,1400,קרית מוצקין,7,04:01:00,403.0,3.0,from_tlv
2025,11,יום חול,3100,חדרה מערב,5,04:01:00,175.0,1.0,from_tlv
2025,11,יום חול,3100,חדרה מערב,1005,04:01:00,57.0,1.0,from_tlv
2025,11,יום חול,8600,"נתב""ג",707,04:01:00,43.0,82.0,to_tlv
2025,11,יום חול,8600,"נתב""ג",9707,04:01:00,0.0,27.0,to_tlv
2025,11,שישי,3100,חדרה מערב,6005,04:01:00,24.0,0.0,from_tlv
2025,11,יום חול,8600,"נתב""ג",707,04:01:00,172.0,44.0,to_tlv
2025,11,יום חול,8600,,707,04:01:00,,,to_tlv
2025,11,שישי,8600,"נתב""ג",6707,04:01:00,23.0,7.0,to_tlv
2025,11,שישי,1400,קרית מוצקין,6007,04:01:00,75.0,4.0,from_tlv
2025,11,שישי,8600,"נתב""ג",6707,04:01:00,0.0,27.0,to_tlv
2025,11,שישי,1400,קרית מוצקין,8007,04:01:00,8.0,1.0,from_tlv
2025,11,שישי,3100,חדרה מערב,8005,04:01:00,0.0,13.0,from_tlv
2025,11,יום חול,1500,עכו,6,04:03:00,8.0,185.0,to_tlv
2025,11,יום חול,1500,,6,04:03:00,,,to_tlv
2025,11,שישי,1500,עכו,6006,04:03:00,0.0,36.0,to_tlv
2025,11,שישי,1500,עכו,8006,04:03:00,0.0,9.0,to_tlv
2025,11,שישי,4900,,6706,04:04:00,,,to_tlv
2025,11,יום חול,8600,"נתב""ג",10,04:06:00,60.0,0.0,from_tlv
2025,11,יום חול,8600,,1010,04:06:00,,,from_tlv
2025,11,שישי,8600,,6010,04:06:00,,,from_tlv
2025,11,יום חול,8600,,10,04:06:00,,,from_tlv
2025,11,יום חול,3700,תל אביב מרכז,706,04:07:00,1.0,210.0,to_tlv
2025,11,יום חול,3700,תל אביב מרכז,9706,04:07:00,2.0,25.0,to_tlv
2025,11,שישי,3700,תל אביב מרכז,6706,04:07:00,6.0,45.0,to_tlv
2025,11,שישי,3700,תל אביב מרכז,6706,04:08:00,1.0,0.0,to_tlv
2025,11,יום חול,3300,נתניה,5,04:11:00,216.0,20.0,from_tlv
2025,11,יום חול,3300,נתניה,1005,04:11:00,85.0,0.0,from_tlv
2025,11,שישי,3300,נתניה,6005,04:11:00,37.0,1.0,from_tlv
2025,11,שישי,3300,,6005,04:12:00,,,from_tlv
2025,11,יום חול,1600,נהריה,6,04:16:00,0.0,168.0,to_tlv
2025,11,יום חול,1600,,6,04:16:00,,,to_tlv
2025,11,שישי,1600,נהריה,8006,04:16:00,0.0,13.0,to_tlv
2025,11,שישי,4900,,6010,04:16:00,,,to_tlv
2025,11,שישי,1600,נהריה,6006,04:16:00,0.0,46.0,to_tlv
2025,11,יום חול,2100,חיפה מרכז,7,04:17:00,276.0,21.0,from_tlv
2025,11,יום חול,3500,הרצליה,706,04:17:00,0.0,143.0,to_tlv
2025,11,יום חול,3500,הרצליה,9706,04:17:00,0.0,9.0,to_tlv
2025,11,שישי,2100,חיפה מרכז,8007,04:17:00,7.0,0.0,from_tlv
2025,11,שישי,2100,חיפה מרכז,6007,04:17:00,57.0,2.0,from_tlv
2025,11,שישי,3500,הרצליה,6706,04:17:00,0.0,70.0,to_tlv
2025,11,יום חול,3700,תל אביב מרכז,10,04:19:00,137.0,95.0,to_tlv
2025,11,שישי,3700,תל אביב מרכז,6010,04:19:00,120.0,10.0,to_tlv
