FromStationName,ToStationName,Month,Year,SUM_Values_Pass
בת ים יוספטל,קרית מוצקין,2,2026,239
כפר ברוך,עכו,2,2026,83
כפר חבד,אופקים,2,2026,61
כפר ברוך,יבנה מערב,2,2026,40
רעננה דרום,מרכזית המפרץ/קו החוף,2,2026,181
קיסריה פרדס חנה,יבנה מזרח,2,2026,168
קרית אריה,באר שבע צפון,2,2026,806
צומת חולון,הוד השרון,2,2026,254
קרית אריה,פאתי מודיעין,2,2026,89
בית שאן,דימונה,2,2026,2
קרית מוצקין,קרית אריה,2,2026,450
חולון וולפסון,כפר סבא,2,2026,463
חולון וולפסון,כפר חבד,2,2026,156
באר יעקב,תא אוניברסיטה,2,2026,4002
חולון וולפסון,באר שבע צפון,2,2026,256
בית יהושע,קרית מלאכי,2,2026,100
ראשונים,באר שבע מרכז,2,2026,664
עכו,אשדוד עד הלום,2,2026,267
כפר יהושע,צומת חולון,2,2026,4
"נתב""ג",כפר יהושע,2,2026,314
קרית חיים,בית שאן,2,2026,38
תל אביב מרכז,מזכרת בתיה,2,2026,4507
בית שאן,יבנה מערב,2,2026,107
תא אוניברסיטה,רחובות,2,2026,11764
בנימינה,יבנה מזרח,2,2026,212
כפר יהושע,הוד השרון,2,2026,46
כפר חבד,בית יהושע,2,2026,200
קרית גת,לוד,2,2026,2636
באר שבע מרכז,יבנה מזרח,2,2026,88
בית יהושע,יבנה מערב,2,2026,312
בת גלים,קרית גת,2,2026,172
בנימינה,הוד השרון,2,2026,416
סגולה,קרית מלאכי,2,2026,69
צומת חולון,בית יהושע,2,2026,105
דימונה,חדרה מערב,2,2026,31
"רשל""צ משה דיין",רמלה,2,2026,112
תל אביב מרכז,"נתב""ג",2,2026,14480
דימונה,בית יהושע,2,2026,2
בני ברק,בית יהושע,2,2026,259
עכו,קיסריה פרדס חנה,2,2026,174
נתיבות,אשקלון,2,2026,2168
חיפה מרכז,נהריה,2,2026,8431
רעננה מערב,השלום,2,2026,7902
בת ים קוממיות,כפר יהושע,2,2026,22
חיפה מרכז,"רשל""צ משה דיין",2,2026,432
השלום,חדרה מערב,2,2026,24598
בית שמש,חדרה מערב,2,2026,328
יבנה מזרח,תל אביב מרכז,2,2026,2723
כפר סבא,נתניה,2,2026,379
כפר סבא,באר יעקב,2,2026,64
חוף הכרמל,הרצליה,2,2026,9145
כרמיאל,רחובות,2,2026,418
דימונה,נהריה,2,2026,5
בית יהושע,חיפה מרכז,2,2026,322
פאתי מודיעין,יבנה מערב,2,2026,48
נתיבות,חדרה מערב,2,2026,165
"רשל""צ משה דיין",ירושלים/יצחק נבון,2,2026,2108
באר יעקב,רעננה מערב,2,2026,75
עפולה,מודיעין מרכז,2,2026,279
נתניה,הרצליה,2,2026,5393
עתלית,תא אוניברסיטה,2,2026,1558
עתלית,רעננה מערב,2,2026,43
נהריה,כפר סבא,2,2026,313
מודיעין מרכז,השלום,2,2026,26532
מרכזית המפרץ/קו החוף,רמלה,2,2026,429
קרית חיים,אחיהוד,2,2026,84
חולון וולפסון,בית יהושע,2,2026,166
בת ים קוממיות,ירושלים/יצחק נבון,2,2026,1159
כרמיאל,מודיעין מרכז,2,2026,513
תא אוניברסיטה,עכו,2,2026,2692
שדרות,עפולה,2,2026,46
באר שבע מרכז,לוד גני אביב,2,2026,95
עתלית,חוצות מפרץ,2,2026,222
נתניה,תא אוניברסיטה,2,2026,8317
לוד גני אביב,מודיעין מרכז,2,2026,42
קיסריה פרדס חנה,השלום,2,2026,14473
חולון וולפסון,כפר יהושע,2,2026,9
יבנה מערב,כפר חבד,2,2026,19
להבים רהט,מודיעין מרכז,2,2026,81
בת גלים,מזכרת בתיה,2,2026,187
כפר חבד,שדרות,2,2026,29
סגולה,נתניה קריית ספיר,2,2026,98
