Year,Month,WeekPeriod,train_station_code,StationName,Train_number,Planned_Train_Arrivel_Time,PassengersAscending,PassengersDescending
2025,10,יום חול,3100,חדרה מערב,1007,04:55:00,175.0,4.0
2025,10,יום חול,3100,חדרה מערב,8007,04:55:00,56.0,4.0
2025,10,יום חול,3100,חדרה מערב,6007,04:55:00,63.0,0.0
2025,10,שישי,3100,חדרה מערב,6007,04:55:00,80.0,2.0
2025,11,יום חול,1500,עכו,101,04:55:00,2148.0,25.0
2025,11,יום חול,3100,חדרה מערב,7,04:55:00,715.0,23.0
2025,11,יום חול,3100,חדרה מערב,1007,04:55:00,339.0,2.0
2025,11,שישי,3100,חדרה מערב,6007,04:55:00,55.0,4.0
2025,11,שישי,3100,חדרה מערב,8007,04:55:00,0.0,14.0
2025,10,יום חול,2100,חיפה מרכז,6021,04:59:00,29.0,5.0
2025,10,יום חול,2200,בת גלים,149,04:59:00,173.0,2.0
2025,10,יום חול,8550,להבים רהט,20,04:59:00,237.0,19.0
2025,10,שישי,2100,חיפה מרכז,8021,04:59:00,5.0,1.0
2025,10,שישי,2100,חיפה מרכז,6021,04:59:00,47.0,11.0
2025,11,יום חול,2200,בת גלים,149,04:59:00,275.0,5.0
2025,11,יום חול,8550,להבים רהט,20,04:59:00,497.0,39.0
2025,11,שישי,2100,חיפה מרכז,6021,04:59:00,25.0,4.0
2025,11,שישי,2100,חיפה מרכז,8021,04:59:00,5.0,7.0
2025,10,יום חול,7300,באר שבע צפון,6842,05:01:00,1.0,0.0
2025,10,שישי,7300,באר שבע צפון,6842,05:01:00,0.0,0.0
2025,11,שישי,7300,באר שבע צפון,6842,05:01:00,2.0,0.0
2025,10,שישי,5800,אשדוד עד הלום,6616,05:02:00,57.0,8.0
2025,10,יום חול,5800,אשדוד עד הלום,6616,05:02:00,57.0,2.0
2025,11,שישי,5800,אשדוד עד הלום,6616,05:02:00,43.0,6.0
2025,10,יום חול,2200,בת גלים,6021,05:04:00,27.0,8.0
2025,10,שישי,2200,בת גלים,6021,05:04:00,65.0,6.0
2025,10,שישי,2200,בת גלים,8021,05:04:00,2.0,2.0
2025,11,שישי,2200,בת גלים,8021,05:04:00,0.0,5.0
2025,11,שישי,2200,בת גלים,6021,05:04:00,25.0,7.0
2025,10,יום חול,1400,קרית מוצקין,101,05:05:00,897.0,60.0
2025,10,יום חול,2300,חוף הכרמל,149,05:05:00,858.0,14.0
2025,10,יום חול,3300,נתניה,8007,05:05:00,94.0,5.0
2025,10,יום חול,3300,נתניה,1007,05:05:00,253.0,6.0
2025,10,יום חול,3300,נתניה,6007,05:05:00,120.0,5.0
2025,10,יום חול,3300,נתניה,7,05:05:00,543.0,61.0
2025,10,יום חול,8550,להבים רהט,6020,05:05:00,20.0,1.0
2025,10,שישי,3300,נתניה,6007,05:05:00,205.0,9.0
