Year,Month,WeekPeriod,train_station_code,StationName,Train_number,Planned_Train_Arrivel_Time,PassengersAscending,PassengersDescending,event_type
2025,12,יום חול,2800,בנימינה,8,04:00:00,10.0,181.0,to_tlv
2025,12,יום חול,2800,בנימינה,1008,04:00:00,0.0,19.0,to_tlv
2025,12,שישי,2800,בנימינה,6008,04:00:00,1.0,72.0,to_tlv
2025,12,יום חול,1400,קרית מוצקין,7,04:01:00,569.0,10.0,from_tlv
2025,12,יום חול,3100,חדרה מערב,5,04:01:00,250.0,1.0,from_tlv
2025,12,יום חול,3100,חדרה מערב,1005,04:01:00,74.0,0.0,from_tlv
2025,12,יום חול,3100,,5,04:01:00,,,from_tlv
2025,12,שישי,1400,קרית מוצקין,6007,04:01:00,185.0,6.0,from_tlv
2025,12,שישי,8600,"נתב""ג",6707,04:01:00,102.0,71.0,to_tlv
2025,12,יום חול,8600,"נתב""ג",9707,04:01:00,0.0,47.0,to_tlv
2025,12,יום חול,8600,"נתב""ג",707,04:01:00,308.0,203.0,to_tlv
2025,12,שישי,3100,חדרה מערב,6005,04:01:00,61.0,4.0,from_tlv
2025,12,יום חול,1500,,6,04:03:00,,,to_tlv
2025,12,יום חול,1500,עכו,6,04:03:00,14.0,256.0,to_tlv
2025,12,שישי,1500,עכו,6006,04:03:00,6.0,80.0,to_tlv
2025,12,יום חול,8600,,1010,04:06:00,,,from_tlv
2025,12,יום חול,8600,,10,04:06:00,,,from_tlv
2025,12,שישי,8600,,6010,04:06:00,,,from_tlv
2025,12,יום חול,3700,תל אביב מרכז,706,04:07:00,2.0,255.0,to_tlv
2025,12,יום חול,3700,תל אביב מרכז,9706,04:07:00,0.0,20.0,to_tlv
2025,12,שישי,3700,תל אביב מרכז,6706,04:07:00,4.0,131.0,to_tlv
2025,12,יום חול,3300,נתניה,5,04:11:00,361.0,15.0,from_tlv
2025,12,יום חול,3300,נתניה,1005,04:11:00,90.0,1.0,from_tlv
2025,12,שישי,3300,נתניה,6005,04:11:00,77.0,14.0,from_tlv
2025,12,יום חול,1600,נהריה,6,04:16:00,0.0,268.0,to_tlv
2025,12,שישי,1600,נהריה,6006,04:16:00,0.0,89.0,to_tlv
2025,12,שישי,1600,,6006,04:16:00,,,to_tlv
2025,12,יום חול,2100,,7,04:17:00,,,from_tlv
2025,12,יום חול,2100,חיפה מרכז,7,04:17:00,367.0,29.0,from_tlv
2025,12,יום חול,3500,הרצליה,706,04:17:00,0.0,131.0,to_tlv
2025,12,יום חול,3500,הרצליה,9706,04:17:00,0.0,24.0,to_tlv
2025,12,שישי,2100,חיפה מרכז,6007,04:17:00,204.0,4.0,from_tlv
2025,12,שישי,3500,הרצליה,6706,04:17:00,0.0,121.0,to_tlv
2025,12,יום חול,2300,חוף הכרמל,8,04:19:00,27.0,201.0,to_tlv
2025,12,יום חול,3700,תל אביב מרכז,1010,04:19:00,53.0,8.0,to_tlv
2025,12,יום חול,3700,תל אביב מרכז,10,04:19:00,192.0,101.0,to_tlv
2025,12,שישי,3700,תל אביב מרכז,6010,04:19:00,182.0,13.0,to_tlv
2025,12,שישי,2300,חוף הכרמל,6008,04:19:00,12.0,111.0,to_tlv
2025,12,שישי,1600,,6021,04:20:00,,,from_tlv
2025,12,יום חול,3500,הרצליה,5,04:23:00,86.0,48.0,from_tlv
2025,12,יום חול,3500,הרצליה,1005,04:23:00,19.0,4.0,from_tlv
2025,12,שישי,3500,הרצליה,6005,04:23:00,24.0,15.0,from_tlv
2025,12,יום חול,2300,חוף הכרמל,7,04:26:00,514.0,39.0,from_tlv
2025,12,שישי,2300,חוף הכרמל,6007,04:26:00,236.0,10.0,from_tlv
2025,12,שישי,1500,,6021,04:27:00,,,from_tlv
2025,12,שישי,1500,עכו,6021,04:27:00,45.0,5.0,from_tlv
2025,12,יום חול,2100,חיפה מרכז,8,04:28:00,31.0,165.0,to_tlv
2025,12,שישי,2100,חיפה מרכז,6008,04:28:00,6.0,54.0,to_tlv
2025,12,יום חול,680,ירושלים/יצחק נבון,707,04:29:00,0.0,455.0,to_tlv
2025,12,יום חול,3500,הרצליה,1010,04:29:00,14.0,14.0,to_tlv
2025,12,יום חול,3500,הרצליה,10,04:29:00,48.0,61.0,to_tlv
2025,12,שישי,680,ירושלים/יצחק נבון,6707,04:29:00,0.0,166.0,to_tlv
2025,12,שישי,3500,הרצליה,6010,04:29:00,95.0,16.0,to_tlv
2025,12,יום חול,680,,708,04:32:00,,,to_tlv
2025,12,יום חול,3700,תל אביב מרכז,1005,04:32:00,26.0,35.0,to_tlv
2025,12,יום חול,3700,תל אביב מרכז,5,04:32:00,139.0,268.0,to_tlv
2025,12,שישי,3700,תל אביב מרכז,6005,04:32:00,42.0,96.0,to_tlv
2025,12,שישי,680,,6708,04:33:00,,,to_tlv
2025,12,יום חול,1400,קרית מוצקין,8,04:39:00,32.0,203.0,to_tlv
2025,12,שישי,1400,קרית מוצקין,6021,04:39:00,38.0,2.0,from_tlv
2025,12,שישי,1400,קרית מוצקין,6008,04:39:00,9.0,95.0,to_tlv
2025,12,יום חול,3500,,9709,04:40:00,,,from_tlv
2025,12,יום חול,3500,,709,04:40:00,,,from_tlv
2025,12,שישי,3500,,6709,04:40:00,,,from_tlv
2025,12,יום חול,3300,נתניה,10,04:41:00,30.0,209.0,to_tlv
2025,12,שישי,3300,נתניה,6010,04:41:00,24.0,99.0,to_tlv
2025,12,יום חול,7320,,20,04:41:00,,,from_tlv
2025,12,יום חול,3300,נתניה,1010,04:42:00,22.0,19.0,to_tlv
2025,12,שישי,700,קרית חיים,6021,04:43:00,21.0,4.0,from_tlv
2025,12,שישי,3700,,6843,04:43:00,,,to_tlv
2025,12,יום חול,2800,בנימינה,7,04:45:00,639.0,42.0,from_tlv
2025,12,שישי,4600,השלום,6843,04:45:00,19.0,1.0,to_tlv
2025,12,שישי,7320,,6020,04:45:00,,,from_tlv
2025,12,שישי,2800,בנימינה,6007,04:45:00,139.0,11.0,from_tlv
2025,12,יום חול,2800,,1007,04:47:00,,,from_tlv
2025,12,יום חול,3700,תל אביב מרכז,9709,04:47:00,46.0,5.0,to_tlv
2025,12,יום חול,3700,תל אביב מרכז,709,04:47:00,214.0,14.0,to_tlv
2025,12,שישי,1300,חוצות מפרץ,6021,04:47:00,20.0,3.0,to_tlv
2025,12,שישי,8600,"נתב""ג",6005,04:47:00,0.0,635.0,to_tlv
2025,12,יום חול,8600,"נתב""ג",5,04:47:00,0.0,2525.0,to_tlv
2025,12,שישי,3700,תל אביב מרכז,6709,04:47:00,106.0,5.0,to_tlv
2025,12,יום חול,8600,"נתב""ג",1005,04:47:00,0.0,275.0,to_tlv
2025,12,יום חול,1220,מרכזית המפרץ/קו החוף,149,04:48:00,574.0,2.0,from_tlv
2025,12,יום חול,1600,,101,04:48:00,,,from_tlv
2025,12,יום חול,7300,באר שבע צפון,20,04:48:00,916.0,2.0,from_tlv
2025,12,יום חול,1500,עכו,8,04:49:00,47.0,235.0,to_tlv
2025,12,שישי,1500,עכו,6008,04:49:00,9.0,90.0,to_tlv
2025,12,שישי,4900,תל אביב ההגנה,6843,04:49:00,20.0,4.0,to_tlv
2025,12,יום חול,3100,חדרה מערב,10,04:51:00,49.0,140.0,to_tlv
2025,12,שישי,1220,מרכזית המפרץ/קו החוף,6021,04:51:00,36.0,13.0,from_tlv
2025,12,שישי,3100,חדרה מערב,6010,04:51:00,17.0,87.0,to_tlv
2025,12,יום חול,8600,"נתב""ג",708,04:53:00,265.0,465.0,from_tlv
2025,12,שישי,8600,"נתב""ג",6708,04:53:00,95.0,73.0,from_tlv
2025,12,שישי,7300,באר שבע צפון,6020,04:53:00,43.0,0.0,from_tlv
2025,12,יום חול,2100,חיפה מרכז,149,04:54:00,669.0,6.0,from_tlv
2025,12,יום חול,3100,חדרה מערב,1010,04:54:00,16.0,21.0,to_tlv
2025,12,שישי,5900,,6616,04:54:00,,,from_tlv
2025,12,שישי,7320,,6842,04:54:00,,,from_tlv
2025,12,יום חול,3100,חדרה מערב,1007,04:55:00,275.0,3.0,from_tlv
2025,12,יום חול,1500,עכו,101,04:55:00,2408.0,21.0,from_tlv
2025,12,יום חול,3100,חדרה מערב,7,04:55:00,968.0,28.0,from_tlv
2025,12,שישי,3100,חדרה מערב,6007,04:55:00,136.0,6.0,from_tlv
2025,12,שישי,9700,,6841,04:55:00,,,to_tlv
2025,12,יום חול,8600,,9708,04:55:00,,,from_tlv
2025,12,שישי,9800,"רשל""צ משה דיין",6843,04:58:00,2.0,1.0,to_tlv
2025,12,יום חול,2200,בת גלים,149,04:59:00,348.0,1.0,from_tlv
2025,12,יום חול,8550,להבים רהט,20,04:59:00,412.0,32.0,from_tlv
2025,12,שישי,2100,חיפה מרכז,6021,04:59:00,80.0,3.0,from_tlv
2025,12,יום חול,1600,נהריה,8,05:00:00,0.0,258.0,to_tlv
2025,12,יום חול,2800,בנימינה,10,05:00:00,57.0,277.0,to_tlv
2025,12,יום חול,8600,,12,05:00:00,,,from_tlv
2025,12,יום חול,5900,,222,05:00:00,,,from_tlv
2025,12,שישי,1600,נהריה,6008,05:00:00,0.0,112.0,to_tlv
2025,12,שישי,2800,בנימינה,6010,05:00:00,2.0,85.0,to_tlv
2025,12,שישי,4900,תל אביב ההגנה,6220,05:01:00,96.0,7.0,to_tlv
2025,12,יום חול,8600,"נתב""ג",9709,05:01:00,61.0,61.0,to_tlv
2025,12,יום חול,8600,"נתב""ג",709,05:01:00,600.0,166.0,to_tlv
2025,12,שישי,8600,"נתב""ג",6709,05:01:00,162.0,61.0,to_tlv
2025,12,שישי,7300,באר שבע צפון,6842,05:01:00,8.0,0.0,from_tlv
2025,12,יום חול,9700,,841,05:02:00,,,to_tlv
2025,12,שישי,5800,אשדוד עד הלום,6616,05:02:00,68.0,7.0,from_tlv
2025,12,שישי,5900,,6222,05:03:00,,,from_tlv
2025,12,שישי,2200,בת גלים,6021,05:04:00,62.0,13.0,from_tlv
2025,12,שישי,4600,,6220,05:04:00,,,to_tlv
2025,12,שישי,4600,השלום,6220,05:04:00,15.0,2.0,to_tlv
2025,12,יום חול,7320,,840,05:04:00,,,from_tlv
2025,12,יום חול,1400,קרית מוצקין,101,05:05:00,1217.0,85.0,from_tlv
2025,12,יום חול,2300,חוף הכרמל,149,05:05:00,1446.0,13.0,from_tlv
2025,12,יום חול,2800,בנימינה,1010,05:05:00,10.0,32.0,to_tlv
2025,12,יום חול,3300,נתניה,1007,05:05:00,311.0,11.0,from_tlv
2025,12,יום חול,3300,נתניה,7,05:05:00,1196.0,148.0,from_tlv
2025,12,שישי,8550,להבים רהט,6020,05:05:00,22.0,3.0,from_tlv
2025,12,שישי,3300,נתניה,6007,05:05:00,179.0,9.0,from_tlv
2025,12,שישי,8600,,6012,05:05:00,,,from_tlv
2025,12,שישי,4900,,6708,05:06:00,,,to_tlv
2025,12,שישי,4900,תל אביב ההגנה,6708,05:06:00,11.0,101.0,to_tlv
2025,12,יום חול,3700,תל אביב מרכז,708,05:07:00,43.0,294.0,to_tlv
2025,12,יום חול,3700,תל אביב מרכז,9708,05:07:00,14.0,28.0,to_tlv
2025,12,שישי,9000,יבנה מערב,6843,05:07:00,3.0,5.0,to_tlv
2025,12,יום חול,700,קרית חיים,101,05:08:00,357.0,28.0,from_tlv
2025,12,יום חול,5800,אשדוד עד הלום,222,05:08:00,904.0,37.0,from_tlv
2025,12,שישי,3700,תל אביב מרכז,6220,05:09:00,59.0,4.0,to_tlv
2025,12,יום חול,7300,באר שבע צפון,840,05:11:00,10.0,1.0,from_tlv
2025,12,שישי,5800,אשדוד עד הלום,6222,05:11:00,25.0,3.0,from_tlv
2025,12,שישי,4600,השלום,6708,05:11:00,0.0,31.0,to_tlv
2025,12,שישי,2300,חוף הכרמל,6021,05:11:00,49.0,17.0,from_tlv
2025,12,שישי,7300,באר שבע צפון,6841,05:11:00,0.0,6.0,to_tlv
2025,12,שישי,4600,,6708,05:11:00,,,to_tlv
2025,12,יום חול,1300,חוצות מפרץ,101,05:12:00,523.0,101.0,to_tlv
2025,12,יום חול,3700,תל אביב מרכז,12,05:12:00,286.0,168.0,to_tlv
2025,12,יום חול,3500,,613,05:13:00,,,from_tlv
2025,12,יום חול,2500,עתלית,149,05:14:00,463.0,32.0,from_tlv
2025,12,שישי,9000,יבנה מערב,6616,05:14:00,18.0,7.0,from_tlv
2025,12,שישי,4900,,6012,05:14:00,,,to_tlv
2025,12,שישי,4900,תל אביב ההגנה,6012,05:14:00,58.0,18.0,to_tlv
2025,12,שישי,3600,תא אוניברסיטה,6220,05:14:00,7.0,11.0,to_tlv
2025,12,יום חול,1600,,151,05:15:00,,,from_tlv
2025,12,יום חול,7000,קרית גת,20,05:15:00,1039.0,40.0,from_tlv
2025,12,שישי,3700,תל אביב מרכז,6708,05:16:00,4.0,68.0,to_tlv
2025,12,שישי,1600,,6023,05:16:00,,,from_tlv
2025,12,יום חול,1220,מרכזית המפרץ/קו החוף,101,05:17:00,618.0,302.0,from_tlv
2025,12,יום חול,3500,הרצליה,7,05:17:00,202.0,275.0,from_tlv
2025,12,יום חול,3500,הרצליה,708,05:17:00,0.0,171.0,to_tlv
2025,12,יום חול,3500,הרצליה,1007,05:17:00,55.0,30.0,from_tlv
2025,12,יום חול,3500,הרצליה,9708,05:17:00,0.0,24.0,to_tlv
2025,12,שישי,9700,אופקים,6842,05:17:00,0.0,1.0,from_tlv
2025,12,שישי,3500,הרצליה,6007,05:17:00,53.0,39.0,from_tlv
2025,12,שישי,3700,,6019,05:17:00,,,to_tlv
2025,12,שישי,9700,אופקים,6842,05:17:00,1.0,1.0,from_tlv
2025,12,יום חול,5410,יבנה מזרח,222,05:18:00,325.0,56.0,from_tlv
2025,12,יום חול,7300,באר שבע צפון,841,05:18:00,2.0,9.0,to_tlv
2025,12,שישי,5800,אשדוד עד הלום,6843,05:18:00,0.0,9.0,to_tlv
2025,12,יום חול,2940,רעננה מערב,613,05:19:00,83.0,6.0,from_tlv
2025,12,יום חול,2300,חוף הכרמל,10,05:19:00,50.0,411.0,to_tlv
2025,12,יום חול,3700,,953,05:19:00,,,to_tlv
2025,12,שישי,4600,,6012,05:19:00,,,to_tlv
2025,12,שישי,2300,חוף הכרמל,6010,05:19:00,11.0,94.0,to_tlv
2025,12,שישי,4600,השלום,6012,05:19:00,67.0,5.0,to_tlv
2025,12,שישי,7320,באר שבע מרכז,6841,05:20:00,0.0,2.0,to_tlv
2025,12,שישי,4600,השלום,6019,05:20:00,44.0,0.0,to_tlv
2025,12,שישי,5900,,6609,05:20:00,,,to_tlv
2025,12,יום חול,3500,הרצליה,12,05:21:00,120.0,173.0,to_tlv
2025,12,שישי,3600,תא אוניברסיטה,6708,05:21:00,1.0,13.0,to_tlv
2025,12,שישי,3500,הרצליה,6220,05:21:00,6.0,53.0,to_tlv
2025,12,יום חול,1500,עכו,151,05:22:00,1316.0,36.0,from_tlv
2025,12,יום חול,1500,,151,05:22:00,,,from_tlv
2025,12,שישי,7000,קרית גת,6020,05:22:00,96.0,2.0,from_tlv
2025,12,יום חול,4600,השלום,953,05:22:00,64.0,2.0,to_tlv
2025,12,שישי,9800,"רשל""צ משה דיין",6616,05:22:00,42.0,22.0,from_tlv
