Year,Month,StationName,Ascending_pass,Descending_pass,Rank
2026,2,"רשל""צ משה דיין",87424,91898,22 מתוך 67
2026,2,עתלית,22668,21968,53 מתוך 67
2026,2,באר יעקב,47190,44891,35 מתוך 67
2026,2,נהריה,129539,128892,16 מתוך 67
2026,2,חולון וולפסון,25954,25081,51 מתוך 67
2026,2,קיסריה פרדס חנה,65875,64373,29 מתוך 67
2026,2,"נתב""ג",211622,215283,8 מתוך 67
2026,2,בית יהושע,83209,81169,23 מתוך 67
2026,2,חדרה מערב,124015,120758,17 מתוך 67
2026,2,שדרות,33293,33311,43 מתוך 67
2026,2,קרית אריה,45597,38336,37 מתוך 67
2026,2,בת גלים,105717,107902,19 מתוך 67
2026,2,אשקלון,137297,137250,14 מתוך 67
2026,2,עכו,71978,73393,27 מתוך 67
2026,2,כפר ברוך,11855,10926,65 מתוך 67
2026,2,רמלה,33940,33491,42 מתוך 67
2026,2,בת ים קוממיות,26895,27191,50 מתוך 67
2026,2,אחיהוד,12812,11997,64 מתוך 67
2026,2,לוד,147124,151669,12 מתוך 67
2026,2,מזכרת בתיה,29685,29559,45 מתוך 67
2026,2,חוף הכרמל,168506,180217,10 מתוך 67
2026,2,תל אביב מרכז,738489,714271,1 מתוך 67
2026,2,לוד גני אביב,21090,20752,55 מתוך 67
2026,2,רחובות,132066,131869,15 מתוך 67
2026,2,יבנה מזרח,20132,19297,56 מתוך 67
2026,2,ראשונים,7064,6445,66 מתוך 67
2026,2,נתניה קריית ספיר,57040,63875,30 מתוך 67
2026,2,בת ים יוספטל,54885,58729,32 מתוך 67
2026,2,נתניה,142563,147256,13 מתוך 67
2026,2,צומת חולון,13151,17273,63 מתוך 67
2026,2,בני ברק,30501,31063,44 מתוך 67
2026,2,עפולה,39225,37588,39 מתוך 67
2026,2,בית שמש,37435,36528,40 מתוך 67
2026,2,ראש העין צפון,56293,55463,31 מתוך 67
2026,2,רעננה דרום,14907,16220,62 מתוך 67
2026,2,מודיעין מרכז,104523,104543,20 מתוך 67
2026,2,חוצות מפרץ,27978,28204,49 מתוך 67
2026,2,קרית חיים,17264,16606,61 מתוך 67
2026,2,קרית גת,52299,51395,33 מתוך 67
2026,2,תא אוניברסיטה,396863,396017,3 מתוך 67
2026,2,כפר סבא,50813,51636,34 מתוך 67
2026,2,אשדוד עד הלום,148051,149100,11 מתוך 67
2026,2,מרכזית המפרץ/קו החוף,118250,120607,18 מתוך 67
2026,2,סגולה,24510,23974,52 מתוך 67
2026,2,כרמיאל,78552,72042,25 מתוך 67
2026,2,פאתי מודיעין,46616,47263,36 מתוך 67
2026,2,קרית מלאכי,18759,18889,59 מתוך 67
2026,2,ירושלים/יצחק נבון,388881,370529,4 מתוך 67
2026,2,קרית מוצקין,74197,72565,26 מתוך 67
2026,2,באר שבע צפון,82561,82150,24 מתוך 67
2026,2,בית שאן,22352,21404,54 מתוך 67
2026,2,דימונה,1289,1014,67 מתוך 67
2026,2,רעננה מערב,29035,28190,47 מתוך 67
2026,2,חיפה מרכז,173227,167967,9 מתוך 67
2026,2,תל אביב ההגנה,358107,368407,5 מתוך 67
2026,2,נתיבות,28078,27524,48 מתוך 67
2026,2,כפר יהושע,19157,17320,58 מתוך 67
2026,2,להבים רהט,19740,19889,57 מתוך 67
2026,2,באר שבע מרכז,99604,100266,21 מתוך 67
2026,2,יבנה מערב,70158,69719,28 מתוך 67
2026,2,הרצליה,302397,306302,6 מתוך 67
2026,2,בנימינה,232043,229671,7 מתוך 67
2026,2,אופקים,35398,34556,41 מתוך 67
2026,2,מרכזית המפרץ,17634,18271,60 מתוך 67
2026,2,הוד השרון,43086,42099,38 מתוך 67
2026,2,השלום,716061,741334,2 מתוך 67
2026,2,כפר חבד,29292,29221,46 מתוך 67
