Year,Month,StationName,Ascending_pass,Descending_pass,Rank
2026,1,תא אוניברסיטה,412556,410383,4 מתוך 67
2025,12,להבים רהט,21207,21649,57 מתוך 67
2026,1,קרית מלאכי,19655,20169,60 מתוך 67
2025,12,באר שבע מרכז,108059,109543,21 מתוך 67
2026,1,מזכרת בתיה,30496,30662,46 מתוך 67
2025,12,בית שאן,27066,24864,52 מתוך 67
2026,1,חוף הכרמל,175012,188525,10 מתוך 67
2026,1,אשדוד עד הלום,149503,152494,12 מתוך 67
2025,12,בנימינה,277113,270484,7 מתוך 67
2026,1,שדרות,33448,33156,43 מתוך 67
2025,12,תל אביב מרכז,872357,843778,1 מתוך 67
2025,12,כפר יהושע,22120,19729,56 מתוך 67
2025,12,רחובות,142003,149210,18 מתוך 67
2026,1,"נתב""ג",228414,230638,8 מתוך 67
2025,12,כפר חבד,29930,31352,50 מתוך 67
2025,12,תל אביב ההגנה,383382,377405,5 מתוך 67
2025,12,קרית אריה,55194,46701,35 מתוך 67
2026,1,עתלית,22594,21557,54 מתוך 67
2026,1,רמלה,34474,33971,42 מתוך 67
2026,1,בני ברק,31108,32305,45 מתוך 67
2025,12,אחיהוד,14107,13044,64 מתוך 67
2026,1,מרכזית המפרץ/קו החוף,130805,132096,17 מתוך 67
2026,1,עפולה,42282,40918,39 מתוך 67
2026,1,בית שמש,37360,36953,40 מתוך 67
2026,1,"רשל""צ משה דיין",84394,90398,24 מתוך 67
2026,1,תל אביב ההגנה,365853,377021,5 מתוך 67
2026,1,נתניה,147791,152903,13 מתוך 67
2026,1,בית יהושע,85956,85266,23 מתוך 67
2026,1,בת ים קוממיות,27136,27469,50 מתוך 67
2026,1,ראש העין צפון,56277,56755,31 מתוך 67
2026,1,קיסריה פרדס חנה,67646,66550,29 מתוך 67
2026,1,לוד,150736,156180,11 מתוך 67
2025,12,נתיבות,30658,29000,49 מתוך 67
2025,12,ירושלים/יצחק נבון,441645,471199,4 מתוך 67
2026,1,בת ים יוספטל,55562,60099,32 מתוך 67
