Year,Month,WeekPeriod,train_station_code,StationName,Train_number,Planned_Train_Arrivel_Time,PassengersAscending,PassengersDescending,event_type
2026,2,יום חול,2800,בנימינה,1008,04:00:00,0.0,19.0,to_tlv
2026,2,יום חול,2800,בנימינה,8,04:00:00,4.0,118.0,to_tlv
2026,2,שישי,2800,בנימינה,8008,04:00:00,1.0,4.0,to_tlv
2026,2,שישי,2800,בנימינה,6008,04:00:00,2.0,18.0,to_tlv
2026,2,שישי,2800,בנימינה,6008,04:00:00,0.0,61.0,to_tlv
2026,2,יום חול,1400,קרית מוצקין,7,04:01:00,336.0,9.0,from_tlv
2026,2,יום חול,3100,חדרה מערב,5,04:01:00,148.0,4.0,from_tlv
2026,2,יום חול,3100,חדרה מערב,1005,04:01:00,69.0,0.0,from_tlv
2026,2,שישי,3100,חדרה מערב,8005,04:01:00,0.0,1.0,from_tlv
2026,2,יום חול,8600,"נתב""ג",707,04:01:00,457.0,138.0,to_tlv
2026,2,שישי,3100,חדרה מערב,6005,04:01:00,16.0,1.0,from_tlv
2026,2,יום חול,8600,"נתב""ג",9707,04:01:00,0.0,47.0,to_tlv
2026,2,שישי,1400,קרית מוצקין,8007,04:01:00,6.0,4.0,from_tlv
2026,2,שישי,1400,קרית מוצקין,6007,04:01:00,44.0,1.0,from_tlv
2026,2,שישי,8600,"נתב""ג",6707,04:01:00,195.0,66.0,to_tlv
2026,2,שישי,3100,חדרה מערב,6005,04:02:00,17.0,0.0,from_tlv
2026,2,יום חול,1500,עכו,6,04:03:00,5.0,104.0,to_tlv
2026,2,שישי,1500,עכו,8006,04:03:00,1.0,13.0,to_tlv
2026,2,שישי,1500,עכו,6006,04:03:00,0.0,17.0,to_tlv
2026,2,שישי,1500,עכו,6006,04:03:00,0.0,17.0,to_tlv
2026,2,שישי,8600,"נתב""ג",6010,04:04:00,130.0,7.0,from_tlv
2026,2,יום חול,8600,,10,04:06:00,,,from_tlv
2026,2,יום חול,8600,"נתב""ג",10,04:06:00,252.0,0.0,from_tlv
2026,2,יום חול,8600,,1010,04:06:00,,,from_tlv
2026,2,שישי,8600,,6010,04:06:00,,,from_tlv
2026,2,יום חול,3700,תל אביב מרכז,706,04:07:00,2.0,205.0,to_tlv
2026,2,יום חול,3700,תל אביב מרכז,9706,04:07:00,2.0,14.0,to_tlv
2026,2,שישי,3700,תל אביב מרכז,6706,04:07:00,9.0,127.0,to_tlv
2026,2,שישי,5800,אשדוד עד הלום,8614,04:08:00,60.0,0.0,from_tlv
2026,2,יום חול,3300,נתניה,1005,04:11:00,70.0,4.0,from_tlv
2026,2,יום חול,3300,נתניה,5,04:11:00,203.0,12.0,from_tlv
2026,2,שישי,3300,נתניה,6005,04:11:00,13.0,3.0,from_tlv
2026,2,שישי,3300,נתניה,8005,04:11:00,0.0,2.0,from_tlv
2026,2,שישי,3300,נתניה,6005,04:12:00,32.0,1.0,from_tlv
2026,2,שישי,3600,תא אוניברסיטה,6706,04:12:00,0.0,21.0,to_tlv
2026,2,שישי,6150,קרית מלאכי,8018,04:12:00,8.0,1.0,from_tlv
2026,2,יום חול,1600,נהריה,6,04:16:00,0.0,136.0,to_tlv
2026,2,שישי,1600,נהריה,6006,04:16:00,0.0,20.0,to_tlv
2026,2,שישי,1600,נהריה,8006,04:16:00,0.0,30.0,to_tlv
2026,2,יום חול,3500,הרצליה,9706,04:17:00,0.0,13.0,to_tlv
2026,2,יום חול,2100,,7,04:17:00,,,from_tlv
2026,2,יום חול,2100,חיפה מרכז,7,04:17:00,244.0,14.0,from_tlv
2026,2,יום חול,3500,הרצליה,706,04:17:00,0.0,128.0,to_tlv
2026,2,שישי,2100,חיפה מרכז,6007,04:17:00,52.0,0.0,from_tlv
2026,2,שישי,2100,חיפה מרכז,8007,04:17:00,5.0,2.0,from_tlv
2026,2,שישי,3500,הרצליה,6706,04:17:00,0.0,112.0,to_tlv
2026,2,שישי,2800,בנימינה,8199,04:18:00,55.0,1.0,from_tlv
2026,2,יום חול,2300,חוף הכרמל,8,04:19:00,24.0,115.0,to_tlv
2026,2,יום חול,3700,תל אביב מרכז,10,04:19:00,166.0,93.0,to_tlv
2026,2,יום חול,3700,תל אביב מרכז,1010,04:19:00,50.0,16.0,to_tlv
2026,2,שישי,2300,חוף הכרמל,6008,04:19:00,4.0,40.0,to_tlv
2026,2,שישי,2300,חוף הכרמל,8008,04:19:00,5.0,2.0,to_tlv
2026,2,שישי,3700,תל אביב מרכז,6010,04:19:00,125.0,17.0,to_tlv
2026,2,שישי,3400,בית יהושע,6005,04:19:00,5.0,0.0,from_tlv
2026,2,שישי,3500,הרצליה,6706,04:19:00,0.0,23.0,to_tlv
2026,2,שישי,9000,יבנה מערב,8614,04:20:00,38.0,3.0,from_tlv
2026,2,שישי,1600,,6021,04:20:00,,,from_tlv
2026,2,שישי,400,,8120,04:20:00,,,from_tlv
2026,2,שישי,3500,,8611,04:20:00,,,from_tlv
2026,2,שישי,1600,,8021,04:20:00,,,from_tlv
2026,2,שישי,2300,,8008,04:21:00,,,to_tlv
2026,2,יום חול,3500,הרצליה,5,04:23:00,64.0,48.0,from_tlv
2026,2,יום חול,3500,הרצליה,1005,04:23:00,23.0,7.0,from_tlv
2026,2,שישי,3500,הרצליה,6005,04:23:00,11.0,2.0,from_tlv
2026,2,שישי,2820,קיסריה פרדס חנה,8199,04:23:00,24.0,0.0,from_tlv
2026,2,שישי,6900,מזכרת בתיה,8018,04:23:00,35.0,0.0,from_tlv
2026,2,שישי,3500,,6005,04:24:00,,,from_tlv
2026,2,שישי,9700,,6616,04:24:00,,,from_tlv
2026,2,שישי,3600,תא אוניברסיטה,6010,04:24:00,21.0,30.0,to_tlv
2026,2,שישי,2940,רעננה מערב,8611,04:25:00,23.0,0.0,from_tlv
2026,2,יום חול,2300,חוף הכרמל,7,04:26:00,431.0,21.0,from_tlv
2026,2,שישי,300,פאתי מודיעין,8120,04:26:00,16.0,0.0,to_tlv
2026,2,שישי,2300,חוף הכרמל,6007,04:26:00,144.0,3.0,from_tlv
2026,2,שישי,2300,חוף הכרמל,8007,04:26:00,0.0,14.0,from_tlv
2026,2,שישי,2300,חוף הכרמל,8007,04:26:00,1.0,1.0,from_tlv
2026,2,שישי,3500,הרצליה,6005,04:27:00,12.0,6.0,from_tlv
2026,2,שישי,1500,עכו,6021,04:27:00,11.0,2.0,from_tlv
2026,2,שישי,1500,עכו,8021,04:27:00,20.0,1.0,from_tlv
2026,2,יום חול,2100,חיפה מרכז,8,04:28:00,30.0,114.0,to_tlv
2026,2,שישי,2100,חיפה מרכז,8008,04:28:00,7.0,0.0,to_tlv
2026,2,שישי,2100,חיפה מרכז,6008,04:28:00,3.0,26.0,to_tlv
2026,2,שישי,9800,"רשל""צ משה דיין",8614,04:28:00,41.0,0.0,from_tlv
2026,2,יום חול,680,ירושלים/יצחק נבון,707,04:29:00,0.0,558.0,to_tlv
2026,2,יום חול,3500,הרצליה,1010,04:29:00,9.0,5.0,to_tlv
2026,2,יום חול,3500,הרצליה,10,04:29:00,38.0,44.0,to_tlv
2026,2,שישי,3500,הרצליה,6010,04:29:00,0.0,14.0,to_tlv
2026,2,שישי,1500,,6021,04:29:00,,,from_tlv
2026,2,שישי,680,ירושלים/יצחק נבון,6707,04:29:00,0.0,251.0,to_tlv
2026,2,שישי,3500,הרצליה,6010,04:29:00,40.0,5.0,to_tlv
2026,2,שישי,2960,רעננה דרום,8611,04:30:00,1.0,0.0,from_tlv
2026,2,שישי,3100,חדרה מערב,8199,04:30:00,36.0,0.0,from_tlv
2026,2,שישי,3500,הרצליה,6010,04:31:00,24.0,2.0,to_tlv
2026,2,שישי,9650,נתיבות,6616,04:31:00,0.0,0.0,from_tlv
2026,2,יום חול,680,,708,04:32:00,,,to_tlv
2026,2,יום חול,3700,תל אביב מרכז,5,04:32:00,117.0,239.0,to_tlv
2026,2,יום חול,3700,תל אביב מרכז,1005,04:32:00,26.0,48.0,to_tlv
2026,2,שישי,3700,תל אביב מרכז,6005,04:32:00,29.0,15.0,to_tlv
2026,2,שישי,4690,בת ים קוממיות,8614,04:32:00,22.0,0.0,from_tlv
2026,2,שישי,680,,6708,04:33:00,,,to_tlv
2026,2,שישי,5010,רמלה,8018,04:33:00,7.0,0.0,from_tlv
2026,2,שישי,9200,הוד השרון,8611,04:34:00,45.0,0.0,from_tlv
2026,2,שישי,3600,,6005,04:34:00,,,to_tlv
2026,2,שישי,4680,בת ים יוספטל,8614,04:35:00,30.0,1.0,from_tlv
2026,2,שישי,8600,"נתב""ג",8120,04:37:00,35.0,4.0,from_tlv
2026,2,שישי,8700,כפר סבא,8611,04:37:00,29.0,0.0,from_tlv
2026,2,שישי,3700,תל אביב מרכז,6005,04:38:00,9.0,18.0,to_tlv
2026,2,יום חול,1400,קרית מוצקין,8,04:39:00,39.0,159.0,to_tlv
2026,2,שישי,1400,קרית מוצקין,6008,04:39:00,4.0,42.0,to_tlv
2026,2,שישי,1400,קרית מוצקין,8008,04:39:00,4.0,7.0,to_tlv
2026,2,שישי,1400,קרית מוצקין,6021,04:39:00,18.0,2.0,from_tlv
2026,2,שישי,5000,לוד,8018,04:39:00,4.0,3.0,from_tlv
2026,2,שישי,1400,קרית מוצקין,8021,04:39:00,7.0,1.0,from_tlv
2026,2,יום חול,3500,,9709,04:40:00,,,from_tlv
2026,2,יום חול,3500,,709,04:40:00,,,from_tlv
2026,2,שישי,3500,,6709,04:40:00,,,from_tlv
2026,2,שישי,4660,חולון וולפסון,8614,04:40:00,69.0,2.0,from_tlv
2026,2,שישי,9600,שדרות,6616,04:40:00,7.0,0.0,from_tlv
2026,2,שישי,3300,נתניה,8199,04:40:00,72.0,0.0,from_tlv
2026,2,יום חול,3300,נתניה,10,04:41:00,27.0,146.0,to_tlv
2026,2,יום חול,3300,נתניה,1010,04:41:00,16.0,36.0,to_tlv
2026,2,שישי,3300,נתניה,6010,04:41:00,5.0,53.0,to_tlv
2026,2,יום חול,7320,,20,04:41:00,,,from_tlv
2026,2,שישי,3300,,8010,04:42:00,,,to_tlv
2026,2,שישי,700,קרית חיים,6021,04:43:00,8.0,0.0,from_tlv
2026,2,שישי,8800,ראש העין צפון,8611,04:43:00,48.0,0.0,from_tlv
2026,2,שישי,700,קרית חיים,8021,04:43:00,5.0,0.0,from_tlv
2026,2,שישי,3300,נתניה,6010,04:43:00,4.0,32.0,to_tlv
2026,2,שישי,4640,צומת חולון,8614,04:44:00,23.0,1.0,from_tlv
2026,2,יום חול,2800,בנימינה,7,04:45:00,456.0,36.0,from_tlv
2026,2,שישי,2800,בנימינה,8007,04:45:00,0.0,0.0,from_tlv
2026,2,שישי,7320,,6020,04:45:00,,,from_tlv
2026,2,שישי,2800,בנימינה,6007,04:45:00,116.0,1.0,from_tlv
2026,2,שישי,3400,בית יהושע,8199,04:46:00,56.0,0.0,from_tlv
2026,2,יום חול,2800,,1007,04:47:00,,,from_tlv
2026,2,יום חול,3700,תל אביב מרכז,709,04:47:00,204.0,18.0,to_tlv
2026,2,יום חול,8600,"נתב""ג",5,04:47:00,0.0,1227.0,to_tlv
2026,2,יום חול,3700,תל אביב מרכז,9709,04:47:00,32.0,2.0,to_tlv
2026,2,יום חול,8600,"נתב""ג",1005,04:47:00,0.0,209.0,to_tlv
2026,2,שישי,1300,חוצות מפרץ,8021,04:47:00,0.0,2.0,to_tlv
2026,2,שישי,2800,,6007,04:47:00,,,from_tlv
2026,2,שישי,3700,תל אביב מרכז,6709,04:47:00,120.0,7.0,to_tlv
2026,2,שישי,400,,6012,04:47:00,,,from_tlv
2026,2,שישי,1300,חוצות מפרץ,6021,04:47:00,6.0,1.0,to_tlv
2026,2,שישי,8600,"נתב""ג",6005,04:47:00,0.0,193.0,to_tlv
2026,2,יום חול,1220,מרכזית המפרץ/קו החוף,149,04:48:00,432.0,0.0,from_tlv
2026,2,יום חול,1600,,101,04:48:00,,,from_tlv
2026,2,שישי,4900,תל אביב ההגנה,8120,04:48:00,9.0,10.0,to_tlv
2026,2,יום חול,7300,באר שבע צפון,20,04:48:00,735.0,0.0,from_tlv
2026,2,יום חול,7300,,20,04:48:00,,,from_tlv
2026,2,שישי,4250,סגולה,8611,04:48:00,25.0,0.0,from_tlv
2026,2,שישי,4900,תל אביב ההגנה,8614,04:48:00,2.0,4.0,to_tlv
2026,2,יום חול,1500,עכו,8,04:49:00,41.0,98.0,to_tlv
2026,2,שישי,1500,עכו,6008,04:49:00,0.0,31.0,to_tlv
2026,2,שישי,1500,עכו,6008,04:49:00,4.0,6.0,to_tlv
2026,2,שישי,1500,עכו,8008,04:49:00,1.0,10.0,to_tlv
2026,2,שישי,2820,קיסריה פרדס חנה,6007,04:50:00,29.0,0.0,from_tlv
2026,2,שישי,5200,,8218,04:50:00,,,from_tlv
2026,2,יום חול,3100,חדרה מערב,1010,04:51:00,20.0,30.0,to_tlv
2026,2,יום חול,3100,חדרה מערב,10,04:51:00,53.0,81.0,to_tlv
2026,2,שישי,1220,מרכזית המפרץ/קו החוף,8021,04:51:00,1.0,1.0,from_tlv
2026,2,שישי,1220,מרכזית המפרץ/קו החוף,6021,04:51:00,23.0,1.0,from_tlv
2026,2,שישי,3100,חדרה מערב,6010,04:51:00,1.0,34.0,to_tlv
2026,2,שישי,3100,חדרה מערב,8010,04:51:00,0.0,4.0,to_tlv
2026,2,שישי,5900,אשקלון,6616,04:52:00,30.0,0.0,from_tlv
2026,2,שישי,4900,תל אביב ההגנה,8018,04:52:00,4.0,7.0,to_tlv
2026,2,שישי,7300,באר שבע צפון,6020,04:53:00,60.0,0.0,from_tlv
2026,2,שישי,8600,"נתב""ג",6005,04:53:00,0.0,152.0,to_tlv
2026,2,שישי,4170,קרית אריה,8611,04:53:00,70.0,0.0,from_tlv
2026,2,יום חול,8600,"נתב""ג",708,04:53:00,138.0,366.0,from_tlv
2026,2,שישי,4600,השלום,8120,04:53:00,49.0,2.0,to_tlv
2026,2,שישי,300,פאתי מודיעין,6012,04:53:00,67.0,0.0,to_tlv
2026,2,שישי,3100,חדרה מערב,6010,04:53:00,0.0,24.0,to_tlv
2026,2,שישי,4600,השלום,8614,04:53:00,1.0,6.0,to_tlv
2026,2,שישי,8600,"נתב""ג",6708,04:53:00,168.0,72.0,from_tlv
2026,2,יום חול,2100,חיפה מרכז,149,04:54:00,481.0,4.0,from_tlv
2026,2,שישי,3500,הרצליה,8199,04:54:00,41.0,2.0,from_tlv
2026,2,שישי,5300,באר יעקב,8218,04:54:00,32.0,0.0,from_tlv
2026,2,שישי,5900,,6616,04:54:00,,,from_tlv
2026,2,שישי,7320,,6842,04:54:00,,,from_tlv
2026,2,יום חול,1500,עכו,101,04:55:00,2024.0,13.0,from_tlv
2026,2,יום חול,3100,חדרה מערב,7,04:55:00,805.0,32.0,from_tlv
2026,2,יום חול,3100,חדרה מערב,1007,04:55:00,258.0,2.0,from_tlv
2026,2,יום חול,8600,,9708,04:55:00,,,from_tlv
2026,2,שישי,9700,,6841,04:55:00,,,to_tlv
2026,2,שישי,3100,חדרה מערב,8007,04:55:00,1.0,1.0,from_tlv
2026,2,שישי,3100,חדרה מערב,6007,04:55:00,56.0,1.0,from_tlv
2026,2,שישי,3700,תל אביב מרכז,8614,04:56:00,0.0,7.0,to_tlv
2026,2,שישי,3100,חדרה מערב,6007,04:57:00,53.0,1.0,from_tlv
2026,2,שישי,4600,השלום,8018,04:57:00,9.0,3.0,to_tlv
2026,2,שישי,3700,תל אביב מרכז,8120,04:58:00,21.0,14.0,to_tlv
2026,2,שישי,4100,בני ברק,8611,04:58:00,6.0,0.0,from_tlv
2026,2,יום חול,2200,בת גלים,149,04:59:00,299.0,1.0,from_tlv
2026,2,יום חול,8550,,20,04:59:00,,,from_tlv
2026,2,יום חול,8550,להבים רהט,20,04:59:00,343.0,14.0,from_tlv
2026,2,שישי,2100,חיפה מרכז,8021,04:59:00,9.0,0.0,from_tlv
2026,2,שישי,2100,חיפה מרכז,6021,04:59:00,15.0,2.0,from_tlv
2026,2,יום חול,1600,,8,05:00:00,,,to_tlv
2026,2,יום חול,2800,בנימינה,10,05:00:00,30.0,188.0,to_tlv
