Year,Month,WeekPeriod,train_station_code,StationName,Train_number,Planned_Train_Arrivel_Time,PassengersAscending,PassengersDescending,event_type
2026,1,יום חול,2800,בנימינה,8,04:00:00,6.0,147.0,to_tlv
2026,1,יום חול,2800,בנימינה,1008,04:00:00,0.0,27.0,to_tlv
2026,1,שישי,2800,בנימינה,6008,04:00:00,0.0,70.0,to_tlv
2026,1,שישי,2800,בנימינה,6008,04:00:00,0.0,48.0,to_tlv
2026,1,יום חול,1400,,7,04:01:00,,,from_tlv
2026,1,יום חול,3100,חדרה מערב,1005,04:01:00,33.0,0.0,from_tlv
2026,1,יום חול,1400,קרית מוצקין,7,04:01:00,293.0,12.0,from_tlv
2026,1,יום חול,3100,חדרה מערב,5,04:01:00,172.0,4.0,from_tlv
2026,1,שישי,1400,קרית מוצקין,6007,04:01:00,110.0,7.0,from_tlv
2026,1,שישי,8600,,6707,04:01:00,,,to_tlv
2026,1,יום חול,8600,"נתב""ג",707,04:01:00,431.0,198.0,to_tlv
2026,1,יום חול,8600,"נתב""ג",9707,04:01:00,0.0,49.0,to_tlv
2026,1,שישי,3100,חדרה מערב,6005,04:01:00,70.0,7.0,from_tlv
2026,1,שישי,1400,קרית מוצקין,8007,04:01:00,4.0,0.0,from_tlv
2026,1,שישי,8600,"נתב""ג",6707,04:01:00,137.0,47.0,to_tlv
2026,1,יום חול,1500,,6,04:03:00,,,to_tlv
2026,1,יום חול,1500,עכו,6,04:03:00,6.0,212.0,to_tlv
2026,1,שישי,1500,עכו,6006,04:03:00,1.0,53.0,to_tlv
2026,1,שישי,1500,עכו,8006,04:03:00,0.0,5.0,to_tlv
2026,1,יום חול,8600,,10,04:06:00,,,from_tlv
2026,1,יום חול,8600,,1010,04:06:00,,,from_tlv
2026,1,יום חול,8600,"נתב""ג",10,04:06:00,170.0,0.0,from_tlv
2026,1,שישי,8600,,6010,04:06:00,,,from_tlv
2026,1,יום חול,3700,,706,04:07:00,,,to_tlv
2026,1,יום חול,3700,תל אביב מרכז,9706,04:07:00,0.0,23.0,to_tlv
2026,1,יום חול,3700,תל אביב מרכז,706,04:07:00,12.0,224.0,to_tlv
2026,1,שישי,3700,תל אביב מרכז,6706,04:07:00,8.0,92.0,to_tlv
2026,1,יום חול,3300,נתניה,1005,04:11:00,65.0,2.0,from_tlv
2026,1,יום חול,3300,נתניה,5,04:11:00,206.0,14.0,from_tlv
2026,1,שישי,3300,נתניה,6005,04:11:00,79.0,3.0,from_tlv
2026,1,יום חול,1600,,6,04:16:00,,,to_tlv
2026,1,יום חול,1600,נהריה,6,04:16:00,0.0,194.0,to_tlv
2026,1,שישי,1600,נהריה,8006,04:16:00,0.0,22.0,to_tlv
2026,1,שישי,1600,נהריה,6006,04:16:00,0.0,90.0,to_tlv
2026,1,יום חול,2100,,7,04:17:00,,,from_tlv
2026,1,יום חול,2100,חיפה מרכז,7,04:17:00,255.0,14.0,from_tlv
2026,1,יום חול,3500,הרצליה,706,04:17:00,0.0,130.0,to_tlv
2026,1,יום חול,3500,הרצליה,9706,04:17:00,0.0,21.0,to_tlv
2026,1,שישי,2100,חיפה מרכז,8007,04:17:00,1.0,0.0,from_tlv
2026,1,שישי,3500,,6706,04:17:00,,,to_tlv
2026,1,שישי,2100,חיפה מרכז,6007,04:17:00,118.0,1.0,from_tlv
2026,1,שישי,3500,הרצליה,6706,04:17:00,0.0,115.0,to_tlv
2026,1,יום חול,2300,חוף הכרמל,8,04:19:00,16.0,232.0,to_tlv
2026,1,יום חול,2300,,8,04:19:00,,,to_tlv
2026,1,שישי,2300,,6008,04:19:00,,,to_tlv
2026,1,יום חול,3700,תל אביב מרכז,1010,04:19:00,37.0,17.0,to_tlv
2026,1,יום חול,3700,תל אביב מרכז,10,04:19:00,294.0,63.0,to_tlv
2026,1,שישי,3700,תל אביב מרכז,6010,04:19:00,176.0,20.0,to_tlv
2026,1,שישי,2300,חוף הכרמל,6008,04:19:00,6.0,47.0,to_tlv
2026,1,שישי,1600,,6021,04:20:00,,,from_tlv
2026,1,שישי,1600,,8021,04:20:00,,,from_tlv
