FromStationName,ToStationName,Month,Year,SUM_Values_Pass
חוף הכרמל,לוד גני אביב,1,2026,78
"רשל""צ משה דיין",עתלית,12,2025,115
חדרה מערב,תא אוניברסיטה,1,2026,10120
קרית מלאכי,עתלית,1,2026,52
אחיהוד,שדרות,1,2026,12
באר שבע צפון,באר יעקב,1,2026,206
לוד גני אביב,אשדוד עד הלום,12,2025,231
כפר סבא,ראש העין צפון,1,2026,963
כפר סבא,קרית מלאכי,1,2026,65
בית יהושע,חוצות מפרץ,1,2026,98
ראשונים,נתיבות,12,2025,20
מזכרת בתיה,כפר ברוך,1,2026,8
אשקלון,יבנה מזרח,1,2026,1177
עפולה,דימונה,12,2025,2
עתלית,אשקלון,1,2026,150
בית שמש,באר שבע מרכז,1,2026,378
אשקלון,כפר חבד,1,2026,511
חוצות מפרץ,סגולה,1,2026,64
יבנה מערב,נתניה קריית ספיר,1,2026,320
קרית מלאכי,קרית גת,1,2026,271
מזכרת בתיה,מרכזית המפרץ/קו החוף,12,2025,577
תל אביב מרכז,רעננה דרום,12,2025,1675
עתלית,עכו,1,2026,132
אחיהוד,ראשונים,12,2025,11
באר שבע מרכז,פאתי מודיעין,1,2026,100
הרצליה,חדרה מערב,12,2025,7731
עפולה,רחובות,12,2025,177
בנימינה,נהריה,12,2025,2618
יבנה מערב,"רשל""צ משה דיין",12,2025,3987
ראשונים,בית שמש,12,2025,307
תא אוניברסיטה,ראשונים,1,2026,247
בת ים קוממיות,יבנה מזרח,12,2025,1
בנימינה,חולון וולפסון,1,2026,690
לוד,צומת חולון,1,2026,77
כפר ברוך,בנימינה,12,2025,92
אשקלון,כפר יהושע,1,2026,45
מזכרת בתיה,נהריה,1,2026,257
כפר יהושע,אשדוד עד הלום,1,2026,58
"נתב""ג",להבים רהט,1,2026,340
יבנה מערב,רחובות,1,2026,55
כפר ברוך,קרית מלאכי,1,2026,13
קרית חיים,כפר חבד,1,2026,6
עתלית,השלום,1,2026,4149
נהריה,עכו,12,2025,8720
קרית מלאכי,ראשונים,12,2025,36
כפר יהושע,חדרה מערב,1,2026,91
נתניה,בית שאן,12,2025,188
בנימינה,קרית אריה,12,2025,1055
באר יעקב,קרית גת,1,2026,81
חוף הכרמל,נהריה,1,2026,8969
פאתי מודיעין,באר שבע מרכז,1,2026,90
הוד השרון,הרצליה,1,2026,1887
השלום,בני ברק,1,2026,1250
צומת חולון,באר שבע מרכז,12,2025,214
רמלה,השלום,12,2025,8383
תל אביב ההגנה,ראש העין צפון,1,2026,2223
אופקים,חולון וולפסון,12,2025,297
להבים רהט,תל אביב מרכז,1,2026,2909
עכו,נתניה,12,2025,917
נהריה,עפולה,12,2025,722
"נתב""ג",נתיבות,12,2025,470
רחובות,קרית אריה,12,2025,408
אשקלון,באר יעקב,1,2026,1386
מרכזית המפרץ/קו החוף,בת גלים,1,2026,2713
לוד גני אביב,נתניה קריית ספיר,12,2025,84
דימונה,נהריה,1,2026,9
נתיבות,כפר חבד,12,2025,99
באר יעקב,נתניה,12,2025,1114
אשדוד עד הלום,באר שבע צפון,12,2025,2838
מרכזית המפרץ/קו החוף,"רשל""צ משה דיין",1,2026,864
מרכזית המפרץ/קו החוף,חולון וולפסון,1,2026,161
חוף הכרמל,קיסריה פרדס חנה,12,2025,1774
לוד גני אביב,"נתב""ג",1,2026,236
שדרות,תל אביב ההגנה,12,2025,2761
באר שבע מרכז,פאתי מודיעין,12,2025,82
לוד,נהריה,12,2025,822
חולון וולפסון,עפולה,12,2025,69
עפולה,רחובות,1,2026,154
אופקים,בית שמש,1,2026,118
"נתב""ג",רעננה מערב,12,2025,612
מזכרת בתיה,אשקלון,12,2025,22
בית שמש,כפר חבד,12,2025,717
"נתב""ג",הרצליה,1,2026,8254
ראשונים,בת ים קוממיות,1,2026,3
חיפה מרכז,סגולה,1,2026,181
נתניה,מודיעין מרכז,1,2026,1176
דימונה,סגולה,1,2026,6
כפר סבא,קרית מלאכי,12,2025,59
ירושלים/יצחק נבון,אחיהוד,1,2026,178
שדרות,הרצליה,1,2026,639
קיסריה פרדס חנה,רעננה מערב,12,2025,320
תל אביב מרכז,חוף הכרמל,1,2026,29764
להבים רהט,הרצליה,1,2026,820
לוד גני אביב,בת ים יוספטל,1,2026,165
חוף הכרמל,ירושלים/יצחק נבון,1,2026,7248
נהריה,מרכזית המפרץ/קו החוף,12,2025,25900
כפר יהושע,חדרה מערב,12,2025,123
תל אביב מרכז,בית שאן,12,2025,1553
חדרה מערב,בני ברק,12,2025,628
חולון וולפסון,בת גלים,12,2025,248
עכו,כרמיאל,1,2026,80
עתלית,סגולה,12,2025,49
רמלה,"רשל""צ משה דיין",1,2026,112
רחובות,נתניה קריית ספיר,12,2025,1842
סגולה,כפר יהושע,12,2025,14
כפר יהושע,כרמיאל,1,2026,70
יבנה מזרח,קרית מוצקין,1,2026,34
מודיעין מרכז,לוד,1,2026,140
קיסריה פרדס חנה,תל אביב ההגנה,12,2025,3624
תל אביב מרכז,רעננה דרום,1,2026,1505
אופקים,רעננה מערב,12,2025,172
"נתב""ג",ירושלים/יצחק נבון,12,2025,46784
נתניה קריית ספיר,בית שאן,12,2025,102
חוף הכרמל,רמלה,1,2026,493
באר יעקב,אשקלון,1,2026,1380
אשקלון,יבנה מזרח,12,2025,1368
רמלה,לוד,12,2025,169
כפר סבא,ראש העין צפון,12,2025,961
נהריה,פאתי מודיעין,12,2025,425
קרית מוצקין,"רשל""צ משה דיין",12,2025,834
אופקים,רעננה דרום,12,2025,159
חוף הכרמל,נתניה קריית ספיר,1,2026,1890
"נתב""ג",רמלה,12,2025,304
"נתב""ג",תל אביב ההגנה,12,2025,13841
בת גלים,כפר סבא,12,2025,426
להבים רהט,נתיבות,1,2026,3
מודיעין מרכז,באר יעקב,1,2026,73
עכו,שדרות,12,2025,102
מרכזית המפרץ/קו החוף,קרית חיים,1,2026,916
קרית מוצקין,דימונה,1,2026,7
רחובות,צומת חולון,12,2025,68
ראשונים,אחיהוד,1,2026,8
נתניה קריית ספיר,מודיעין מרכז,12,2025,661
לוד,ירושלים/יצחק נבון,1,2026,1897
ירושלים/יצחק נבון,כפר יהושע,1,2026,283
קרית אריה,נהריה,1,2026,595
כרמיאל,חולון וולפסון,1,2026,156
הרצליה,רעננה מערב,12,2025,588
בית יהושע,תל אביב מרכז,12,2025,22857
בית שאן,בנימינה,12,2025,319
תא אוניברסיטה,באר שבע מרכז,12,2025,4475
ראשונים,בנימינה,1,2026,76
לוד גני אביב,נתניה קריית ספיר,1,2026,78
מזכרת בתיה,חולון וולפסון,1,2026,42
קרית מוצקין,אשדוד עד הלום,1,2026,459
באר יעקב,קרית גת,12,2025,81
לוד גני אביב,רחובות,1,2026,843
תא אוניברסיטה,יבנה מערב,12,2025,6502
באר יעקב,באר שבע מרכז,12,2025,455
לוד,צומת חולון,12,2025,82
תל אביב ההגנה,יבנה מערב,1,2026,4895
כפר יהושע,אשדוד עד הלום,12,2025,71
לוד,תל אביב מרכז,1,2026,12921
מזכרת בתיה,מודיעין מרכז,1,2026,52
רחובות,חוף הכרמל,1,2026,1791
בת ים קוממיות,תל אביב ההגנה,1,2026,761
ירושלים/יצחק נבון,הרצליה,1,2026,26364
כפר סבא,ראשונים,1,2026,20
חולון וולפסון,כפר ברוך,12,2025,23
לוד גני אביב,תא אוניברסיטה,1,2026,1619
הוד השרון,הרצליה,12,2025,2068
ראשונים,אשדוד עד הלום,1,2026,56
נהריה,בת ים יוספטל,12,2025,381
בית יהושע,"נתב""ג",12,2025,2970
רחובות,חדרה מערב,12,2025,2370
יבנה מערב,נהריה,1,2026,464
חדרה מערב,נתניה,12,2025,3425
לוד,שדרות,12,2025,429
קרית גת,בת גלים,1,2026,204
חדרה מערב,קרית גת,12,2025,730
פאתי מודיעין,בית שאן,12,2025,59
מזכרת בתיה,חיפה מרכז,1,2026,140
רעננה דרום,להבים רהט,12,2025,38
קרית מלאכי,כפר סבא,12,2025,69
תל אביב ההגנה,רעננה דרום,1,2026,601
רחובות,חוצות מפרץ,1,2026,126
מזכרת בתיה,ירושלים/יצחק נבון,1,2026,156
נהריה,חוף הכרמל,12,2025,9847
פאתי מודיעין,קרית אריה,1,2026,64
תל אביב ההגנה,אשקלון,12,2025,7353
עפולה,סגולה,1,2026,28
מרכזית המפרץ/קו החוף,קרית אריה,1,2026,598
לוד גני אביב,עפולה,1,2026,23
לוד,חדרה מערב,1,2026,1542
דימונה,השלום,12,2025,327
